Time_Stamp,ShoulderElevationAngle,Speed
335,118.0763215,0.085164832
366,113.326447,0.153221756
399,112.2178765,0.033593046
434,111.1039071,0.031827699
466,107.3849994,0.116215863
502,107.8882582,0.013979409
537,105.1713843,0.077624967
584,103.7075007,0.031146459
601,102.488558,0.071702511
634,98.4720028,0.121713795
665,95.72940353,0.088470944
700,88.32005134,0.211695777
734,88.13171587,0.005539279
769,87.59132433,0.015439758
801,85.74473965,0.057705771
833,84.68559823,0.033098169
869,84.39308752,0.008125298
898,83.37105306,0.035242568
934,83.25111295,0.00333167
968,82.95842555,0.008608453
1002,83.06289098,0.003072513
1032,82.83560286,0.007576271
1065,83.02610883,0.005772908
1101,83.117933,0.002550671
1132,83.24403325,0.00406775
1165,83.3344279,0.002739232
1201,83.07623035,0.007172154
1234,83.26227951,0.005637853
1266,83.48448729,0.006943993
1299,83.57898619,0.002863603
1334,83.61573666,0.001050014
1365,83.46609519,0.004827144
1401,83.46837807,6.34E-05
1433,83.35585577,0.003516322
1467,83.22269576,0.003916471
1500,82.83554838,0.011731739
1534,83.07323736,0.006990852
1566,83.06167466,0.000361334
1600,79.2559571,0.111932869
1636,79.32202635,0.001835257
1668,79.42639762,0.003261602
1701,79.42764182,3.77E-05
1733,79.50030784,0.002270813
1765,79.60529641,0.003280893
1800,79.66630327,0.001743053
1835,80.74241983,0.030746188
1870,79.82723639,0.026148098
1899,80.91046519,0.037352717
1933,81.22056407,0.009120556
1966,84.38792823,0.095980732
2000,84.44554005,0.001694465
2032,85.65869022,0.037910943
2069,85.3141489,0.009311927
2102,85.64407775,0.009997844
2133,86.27191869,0.020252934
2165,87.38970312,0.034930763
2199,88.99259803,0.047143968
2232,90.21659941,0.037090951
2266,90.63946691,0.01243728
2303,90.75640127,0.003160388
2334,90.84309898,0.0027967
2367,89.53458563,0.03965192
2400,83.10199118,0.194927105
2434,82.75543628,0.010192791
2466,80.79178505,0.061364101
2500,78.89281608,0.055852028
2533,74.92629472,0.120197617
2566,72.24899658,0.081130247
2598,72.51509629,0.008315616
2633,72.06913992,0.012741611
2664,72.18285369,0.003668186
2701,73.61033982,0.038580706
2735,73.51921614,0.002680108
2768,73.50598308,0.000401002
2797,73.49997107,0.00020731
2833,73.53573625,0.000993477
2866,73.96314401,0.01295175
2899,74.58172407,0.01874485
2933,73.89262085,0.020267742
2969,78.17606042,0.118984433
3002,80.52059438,0.071046484
3034,84.02039671,0.109368823
3068,87.53260832,0.103300342
3100,100.0554458,0.39133867
3135,254.0655295,4.400288105
3171,243.4955138,0.293611545
3203,241.9613949,0.047941218
3235,239.1966973,0.086396799
3268,237.9719721,0.037112884
3298,235.4110208,0.085365044
3336,233.8283632,0.041648884
3370,233.43703,0.0115098
3404,232.644482,0.023310234
3433,232.7592757,0.003958404
3469,231.4828105,0.035457368
3499,225.5083641,0.199148214
3535,223.3372913,0.060307578
3568,223.028342,0.009362098
3599,221.98901,0.033526839
3635,221.8962634,0.002576294
3668,221.6759883,0.006675003
3699,221.116659,0.018042881
3735,219.2247369,0.052553393
3769,218.696028,0.015550262
3801,218.5847709,0.003476782
3837,218.1032549,0.013375444
3867,217.7857228,0.010584404
3901,217.616821,0.0049677
3935,217.4635811,0.004507056
3966,217.2616128,0.006515107
3998,217.2052316,0.001761914
4035,216.9998086,0.005551972
4067,216.8544918,0.00454115
4100,216.7698059,0.002566238
4135,216.5780376,0.005479095
4168,215.9341322,0.019512287
4200,215.9166744,0.000545556
4237,215.8792914,0.00101035
4271,215.7006416,0.005254407
4299,215.3810629,0.011413525
4335,215.1761174,0.00569293
4368,214.722795,0.013737043
4400,212.4468155,0.07112436
4434,209.4979583,0.086731094
4469,203.6667984,0.166604567
4503,201.8004014,0.054894029
4533,198.3491189,0.115042751
4567,204.3072817,0.175240081
4601,149.4768268,1.612660436
4634,149.9596812,0.01463195
4667,141.3420155,0.261141383
4701,133.4992709,0.230668959
4735,128.8946414,0.13543028
4768,125.0106262,0.117697431
4800,124.320903,0.02155385
4834,119.0667399,0.154534206
4869,115.1474884,0.111978616
4902,106.5741306,0.259798722
4935,106.0163762,0.016901646
4969,105.5335297,0.014201368
5001,106.2238837,0.021573562
5033,105.3925951,0.025977769
5067,105.9019876,0.014982131
5100,105.5061367,0.011995479
5135,113.6009055,0.231279109
