Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-7016,13044,832,94.6246808783283,163.187908045784,0
31,-6180,12972,1205,94.4259010091281,162.937389831479,0
64,-6628,13284,1197,95.1274034170812,163.819258784651,0
97,-7020,13280,1148,95.219671231363,164.073720083491,0
132,-6580,13492,970,94.4540243019881,163.214666817148,0
164,-6532,13140,734,94.7339096165019,163.666714779772,0
202,-6720,13256,1614,94.4611962190228,163.30013649585,0
230,-6824,13628,1101,94.7746390237028,163.726837413167,0
266,-6924,13512,993,98.0621120709084,172.568848013099,0
297,-6820,13680,1117,98.3464389678241,172.859098870341,0
332,-6824,13304,779,98.8682176040379,173.370983066839,0
365,-6604,13344,1464,99.7104679877386,174.225834678693,0
397,-6652,13248,1000,99.6667384159368,174.290411871706,0
430,-6596,13112,1254,99.7295500424183,174.43181260667,0
463,-6896,13284,1049,99.5224180922407,174.332119089141,0
497,-6820,13268,714,95.732445602878,166.372660975376,0
531,-6972,13472,1000,101.299100137502,177.049015731823,0
566,-6880,13200,998,100.616032524858,177.026349020437,0
598,-6892,13364,840,100.484453828158,177.828212621341,0
630,-6796,13364,1145,96.7593919162904,174.29412731028,0
663,-7092,13420,1151,93.6432434149541,171.389194476214,0
696,-6744,13384,1196,94.7112544320628,172.251259889008,0
730,-7312,13176,1434,94.6229682269069,172.136182478436,0
763,-6620,13136,1090,94.6990488930665,172.127209585452,0
799,-6832,13280,1340,94.3113950026406,171.535719459211,0
833,-6920,13276,1236,92.932951656275,170.005074401329,0
865,-6712,13352,1016,93.9997950456179,170.079220279504,0
896,-6824,13508,1376,93.0626787958411,169.129946623211,0
930,-6776,13552,961,90.6360224479123,166.448746546621,0
963,-6968,13384,1152,93.0724314463903,167.688885406246,0
999,-6872,13428,916,90.6575537352628,165.08512296017,0
1032,-6840,13324,1191,93.6625085518441,167.955086961348,0
1064,-6864,13424,1343,93.1678724422354,167.464646695523,0
1098,-6776,13148,799,93.8614823114943,167.707955528969,0
1130,-6848,13212,1323,93.7245512703037,167.473570170382,0
1163,-6908,13360,1091,93.5582165418925,167.265450815978,0
1197,-6896,13416,1251,95.4987840872385,160.878552216543,0
1232,-7068,13456,1102,85.1862008700225,155.644284444861,0
1264,-6796,13220,1137,94.7617671365392,161.305487125842,0
1298,-6932,13380,1227,94.345179755409,161.166635517949,0
1330,-6892,13252,1207,94.0196952630155,161.02857074058,0
1364,-6944,13400,1276,94.0510122953148,161.031093758534,0
1396,-6836,13344,1005,94.0221330202741,160.99892781617,0
1430,-6836,13448,1203,95.4013929534084,162.527363688453,0
1465,-6952,13352,1166,94.6682790696261,162.08861047714,0
1497,-6816,13260,1096,93.8518424209922,161.53502907335,0
1530,-6728,13284,1119,94.081344051941,161.453200452303,0
1563,-6860,13236,1035,93.6946765121048,161.386067614273,0
1596,-6840,13320,1083,93.9190199158017,161.338227975689,0
1630,-6816,13472,1048,94.8186428778337,162.891321778759,0
1665,-6920,13476,1229,94.5608442738308,165.68991755094,0
1697,-6896,13596,993,93.4474409751826,165.76749002001,0
1731,-6740,13436,1000,93.569655340099,165.865748594258,0
1764,-6728,13308,1224,93.7948482240877,165.935099935577,0
1796,-6936,13196,1207,93.9088308626559,159.439364535995,0
1830,-6980,13256,1269,95.2680052446593,168.098984887621,0
