Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-912,-17656,2634,88.7080312246287,174.820456513356,0
36,-228,-17832,4709,88.6082198893938,174.81238420246,0
67,-1928,-17708,6124,88.5825991125309,174.778185553137,0
98,-2600,-18020,12197,88.7253524345648,174.793766744503,0
133,-4568,-17612,16530,88.5649269603112,174.905206250456,0
166,-9164,-17952,32768,88.5449000427172,174.910535133297,0
199,-6668,-16156,32768,88.2778524893373,174.876415958872,0
234,-12748,-11796,32768,88.3565825197792,174.852615918474,0
267,-13708,-9192,32768,88.3609687363774,174.859594100535,0
299,-12460,-2788,32768,88.4935604827302,174.864585631578,0
333,-14160,1372,32768,88.5973432601051,174.819710199364,0
366,-11940,5464,32768,88.6282406707148,174.807630426172,0
399,-8472,9836,19102,88.6981870268337,174.812248360038,0
436,-11840,11596,5490,88.7504690138785,174.898763443409,0
469,-12316,12296,776,88.7905237751766,174.871285712388,0
499,-12812,11864,-1382,88.700637961639,174.898429706007,0
540,-11552,11448,-457,87.1315519646756,174.611184362985,0
567,-12108,10788,-1709,88.6738924164658,174.714104580348,0
599,-11912,10476,-1216,86.1612302199933,175.021246478645,0
634,-11596,10236,-1209,85.7185435063662,175.037044266215,0
668,-12008,10176,-2130,86.6717054340618,175.1171226003,0
699,-12008,9852,-964,87.4573586002871,175.126322581219,0
735,-11816,10060,-1588,89.6309934765351,175.126391802073,0
766,-12260,10080,-1377,112.733571389295,175.177296557809,0
799,-11872,10312,-1002,112.78192229559,175.220103985957,0
835,-12016,10200,-1339,112.640366848897,175.24911058021,0
867,-12244,10368,-1264,112.575844008873,175.268172981171,0
901,-11812,10296,-920,95.1678935578588,175.266586755557,0
934,-12104,10284,-1137,95.4938258258397,175.165665307845,0
966,-11740,10392,-530,112.62829461291,175.1598528373,0
999,-11876,10440,-1161,112.619857827064,175.132680604431,0
1034,-12012,10512,-1243,112.579425805263,175.14489715773,0
1067,-11940,10652,-655,112.244274631032,175.2128925145,0
1101,-11820,10840,-1676,111.86163053218,175.055155115813,0
1135,-12076,10504,-1630,111.957367118363,175.115894913404,0
1166,-11576,10568,-2087,111.676328101287,175.111175848634,0
1201,-11936,10440,-5693,111.682463564622,175.078004740659,0
1235,-11904,9972,-13054,111.823538776746,175.07882844844,0
1267,-13464,8588,-23910,111.772159441491,175.049623296213,0
1300,-13396,6376,-28821,111.750547864596,175.023621482563,0
1335,-14164,2732,-32767,112.014434429568,175.201718138958,0
1367,-15584,-1472,-32767,111.897862696455,175.046945886362,0
1399,-15652,-5460,-32767,112.176304956961,175.181964843341,0
1434,-13028,-9036,-32767,87.5900450717568,175.170245728674,0
1466,-10792,-12164,-32767,86.3485549200608,175.131561992209,0
1500,-7092,-14868,-32767,86.0462808833894,175.09728654367,0
1535,-5424,-16508,-32767,85.8555025623864,175.04593970025,0
1567,-3448,-17620,-28624,85.8260827989492,175.067183363108,0
1599,-1776,-18920,-9722,88.4692534398342,175.066951987203,0
1636,360,-19112,-1258,88.4053258781602,175.08719549465,0
1667,376,-18340,-135,88.3622463809746,175.03876729078,0
1700,-1784,-17816,1738,85.4138130693387,175.060576596973,0
1735,-2872,-18604,10829,88.2778716329169,175.009394178493,0
1768,-2852,-18572,18217,88.2619698719747,174.98089445126,0
1800,-4212,-17240,21279,88.1288153063941,174.512571108158,0
1836,-6952,-15868,18404,84.7987735464298,174.558896506956,0
1867,-9340,-14752,25273,87.1236747003144,174.659015961906,0
1900,-11824,-13376,30314,87.2184225586089,174.666217811122,0
1936,-13816,-11540,32768,87.4480375347028,174.644927133352,1
1970,-13172,-6908,32768,85.8262389718995,174.692574749663,1
2001,-14092,-1504,32768,88.2390274387001,174.685220797196,1
2036,-14180,2076,31669,88.202461152066,174.636138415219,1
2067,-12600,5328,32586,88.2252563162551,174.691098326039,1
2100,-10632,8640,22719,88.160930100159,174.693658496669,1
2133,-9900,10872,15716,86.128796337777,174.780114210385,1
