Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-14280,5632,-1211,104.689002797762,160.760558955358,0
34,-13820,5372,-1279,104.491464506342,160.802214550433,0
69,-13968,5108,-2536,104.865353523368,160.708961616703,0
103,-14484,4964,-3772,104.879341155899,160.681502723413,0
135,-14880,4448,-5242,105.199070599929,160.628424695858,0
167,-15040,3992,-6021,105.036488992193,160.740658566578,0
201,-14620,3504,-9472,104.548103211912,160.958904951187,0
234,-15616,2816,-9781,104.421493307013,160.962682391327,0
268,-15252,1648,-9919,104.337823444122,161.010297035757,0
300,-16020,608,-11430,104.566003335056,160.981809879219,0
335,-14952,-344,-10218,104.653978404107,160.967502629485,0
370,-15684,-1528,-11560,105.01979666622,160.435142932054,0
403,-15116,-2824,-9992,104.806776727624,160.445808252617,0
434,-15008,-4100,-14540,104.767131830569,160.469712347744,0
468,-15908,-5392,-13229,105.284190764546,160.407788881323,0
501,-14812,-6468,-10664,105.235196652535,160.437082927579,0
537,-14408,-7648,-10518,106.15907966387,157.766334326952,0
568,-14112,-8344,-8373,106.054331654684,158.496436520358,0
603,-13648,-9004,-9988,106.372844783315,158.525294788695,0
634,-13348,-9724,-9310,106.154671712676,158.804763237482,0
668,-12672,-10424,-11131,106.006509004938,158.995734855985,0
700,-12400,-11268,-9714,105.257634908691,159.76962407342,0
735,-11300,-12088,-11461,104.458735139799,159.702824323305,0
767,-10568,-12708,-8460,104.320672302737,160.05283142089,0
800,-10100,-13328,-9800,104.222952767304,160.648198813396,0
833,-8980,-13908,-9619,104.010723819541,160.890430237003,0
867,-9544,-14652,-7632,104.063728373344,160.878055358176,0
900,-8852,-15168,-3572,104.068689860779,160.9400868679,0
933,-8384,-15260,333,104.144064437636,160.919013099634,0
969,-7964,-14912,3349,104.204797784117,160.898016630697,0
1000,-8740,-14796,2837,103.325938947669,161.935973578132,0
1033,-9648,-14556,8334,103.375798978702,161.96127448691,0
1065,-9816,-14260,8472,103.235226434097,162.112999812881,0
1101,-11128,-13328,12159,103.341963601676,161.948046033086,0
1135,-11408,-12344,12360,103.094958594975,162.186011012357,0
1168,-12324,-11012,14368,103.150139126789,162.105756307345,0
1200,-12804,-9600,11913,103.081396769588,162.205127097959,0
1233,-13564,-8544,10294,103.021008590728,162.26664155479,0
1266,-14252,-7324,9847,102.998965551059,162.487697383127,0
1300,-14628,-6676,9583,103.157603889839,162.317641065889,0
1334,-15200,-5772,8081,103.11996535991,162.365896408832,0
1366,-15032,-5004,6535,103.298521202724,162.230580046912,0
1401,-15416,-4160,4520,103.338612123425,162.167802414327,0
1433,-15856,-3984,5263,103.746575345099,161.192133632747,0
1467,-15640,-3516,5774,103.679450282447,161.317361759757,0
1500,-15776,-2692,6776,103.818727502314,161.321285249784,0
1532,-15412,-2184,6223,104.100543531759,161.11210321554,0
1566,-15784,-1420,4275,104.665340906342,160.317489216522,0
1601,-15896,-1052,5076,104.719551050231,160.288445424933,0
1634,-15892,-332,5196,104.761560819584,160.428548678615,0
1666,-15828,328,5964,105.10229965208,160.211485011872,0
1700,-16648,852,11398,105.144004277873,160.14164547386,0
1733,-14760,2232,9818,105.333680807163,160.023545191192,0
1766,-14840,3344,6666,105.491256726952,159.950491697017,0
1799,-14916,3876,4515,105.437744042176,160.066714444168,0
1834,-15548,4428,5328,105.497642173817,160.013285100185,0
1869,-14688,4892,7369,105.556411366108,159.958845022353,0
1900,-14044,5476,4120,104.60037289019,160.348344749129,0
1933,-14584,6056,3234,103.645949202166,160.451788333814,0
1965,-14076,6180,3670,103.957901139462,160.291999811739,0
2000,-14700,6660,2913,103.61287719958,160.366469188054,1
2032,-13544,6800,3284,103.633311774639,160.316101952199,1
2068,-13644,7160,-270,103.633899918471,160.36924169028,1
2101,-13852,7140,-356,103.684076994553,160.393520619044,1
2133,-13848,7096,-556,103.422342914303,160.413812640468,1
2166,-13948,6976,-425,103.99256914445,160.396133380323,1
2199,-13984,6996,-503,104.179052672407,160.218800196606,1
2232,-14060,6912,-455,104.015554717649,160.381214137436,1
2268,-13980,6836,-478,103.377825090219,160.483160585284,1
2354,-14096,6876,-414,103.447963101431,160.374491272056,1
2373,-13952,6932,-524,103.331535057648,160.348816127199,1
2400,-14076,6912,-459,102.671589235353,160.348791325079,1
2432,-13996,6772,-442,104.294441564248,160.402316091314,1
2466,-14060,6724,-463,104.374487444898,160.349628926701,1
2502,-14012,7000,-360,104.245296947365,160.366435456078,1
2535,-14024,6912,-297,104.280148244854,160.349160051881,1
2566,-14024,6936,-249,105.415970668533,159.324410636637,1
2599,-14072,6820,-235,105.25747156774,159.459082602426,1
2632,-14132,6936,-255,105.556550198985,159.344249562631,1
2666,-14052,6680,-304,105.551671335265,159.456469037751,1
2700,-13932,6704,-271,105.535703130135,159.505135991586,1
2734,-14044,6692,-264,105.597908259098,159.415713737992,1
2766,-14136,6900,-260,105.561214179287,159.471190069882,1
2799,-13976,6932,-124,105.550958311098,159.535134052469,1
2832,-13828,6980,-244,104.707616077544,160.376351337911,1
2865,-13940,6932,-194,104.548804948329,160.551786085052,1
2900,-13912,6760,-239,104.567715749302,160.571500161785,1
2935,-13956,6644,-242,104.428565182359,160.653437821501,1
2968,-13940,6684,-235,104.425597317143,160.704832334499,1
3000,-13944,6840,-178,104.323512713815,160.785293952728,1
3032,-14000,6972,-235,104.279010545385,160.806502552756,1
3065,-13976,6956,-278,103.69921174618,161.432251429296,1
3100,-14068,6932,-368,103.6162131978,161.512784973544,1
3133,-13944,6716,-242,103.666752023405,161.490106839752,1
3169,-13880,6900,-277,103.787828675256,161.381139724039,1
3204,-13824,6832,-365,103.837788060609,161.371567214113,1
3232,-13864,6740,-287,103.641946076853,161.697132808882,1
3265,-13936,6588,-454,103.595264247126,161.703905343413,1
3300,-14116,6676,-1304,103.627924664886,161.69323512744,1
3335,-14284,6784,-1100,103.240577347407,161.726497281888,1
3367,-13832,6764,-1215,103.259605854592,161.792096775052,1
3402,-13360,6536,-4769,103.484166723577,160.72100275542,1
3433,-14104,5900,-7693,103.569075650521,160.76912307986,1
3475,-13372,4892,-14574,103.325471435662,161.305151013705,1
3517,-15564,3416,-16966,103.361019867783,161.320003469878,1
3536,-15680,1444,-15541,103.04822250724,161.732558621233,1
3566,-16212,32,-13981,102.767293495629,162.136628383941,1
3602,-15772,-1292,-12100,104.10112715955,159.529324377317,1
3634,-15592,-2388,-12712,104.011872759967,159.830568185148,1
3666,-15496,-3564,-12466,103.983319009222,160.378536480267,1
3700,-15312,-4896,-13248,103.759469544171,160.757892865348,1
