Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-15652,4548,-28375,140.862331261594,121.446538324841,0
33,-17676,1564,-29507,140.466104089034,121.782821732742,0
69,-16360,-892,-24467,140.517155276883,121.714986894708,0
101,-17160,-4232,-28389,140.545182267638,121.848292333589,0
136,-14024,-6972,-24365,136.38551971435,132.383716142754,0
170,-14204,-7852,-15284,143.14763807412,122.683050223603,0
215,-13440,-8720,-10807,141.072903008479,122.549698514835,0
236,-13376,-10280,-6313,146.591506320082,122.789371889335,0
269,-12296,-11152,-5558,148.31137781825,123.022209318605,0
303,-12872,-10948,-3345,147.534008334927,123.34543451336,0
335,-13412,-11032,-4498,147.376922116191,123.449961088338,0
371,-12064,-11564,-3975,146.714018485692,123.771437366373,0
400,-10716,-12080,-5747,146.759439826458,123.793979503708,0
433,-11988,-11604,-3162,143.591291383029,125.925678511328,0
468,-13116,-12528,1605,143.872008548588,125.929118760173,0
499,-13444,-12152,1700,144.427409365587,125.815718359514,0
536,-12392,-11300,-2603,144.861650483882,125.920493771074,0
570,-10888,-10828,-1288,145.376275972002,125.866470751118,0
602,-12956,-10556,87,144.242671970994,127.087666457739,0
633,-11344,-11104,6025,144.764611448418,126.79473425198,0
668,-16332,-10384,13920,145.323938915147,126.622877015098,0
699,-11612,-10928,22022,145.688609302615,126.573049699381,0
732,-15660,-5692,7782,146.30235829563,126.357061246938,0
771,-17144,-4472,21701,146.400960579688,126.337029239191,0
801,-14992,-3220,22964,147.151452060102,126.080639293287,0
833,-14192,-2280,14765,147.325401812466,126.130880872318,0
870,-18272,2060,22918,147.437435077146,126.06420719929,0
899,-14436,992,19065,147.878885462313,125.743686126009,0
933,-12732,3812,19049,147.714395478204,125.731867951517,0
969,-16760,7764,15189,146.422742784205,126.873716545301,0
1005,-11336,5824,18757,146.738448848527,126.383628562255,0
1037,-12736,10036,19709,147.704813902999,125.549456509133,0
1070,-6960,9584,12942,147.916646429984,125.074292330075,0
1100,-10020,12224,-891,148.09240635718,124.777768085119,0
1132,-11024,12956,3485,147.086923054468,124.498860907282,0
1169,-8448,11432,-2517,146.511299591488,124.289086416592,0
1203,-11504,12712,-993,145.12958243678,124.24177723444,0
1238,-9500,11820,356,143.703668141033,124.074301419542,0
1269,-10776,12344,-2032,140.720328371867,123.678650334156,0
1303,-10732,12180,967,140.188505313469,123.664315162839,0
1332,-10260,11996,-2613,137.906131469468,126.131612693561,0
1367,-10312,12012,1025,137.695726601781,126.555182109435,0
1401,-10108,12104,-1674,138.310407998973,123.958286407985,0
1439,-10564,12116,1385,138.524652110188,123.394139764775,0
1469,-9204,11284,-2472,138.608844327878,123.031097491049,0
1503,-10804,12420,-1351,138.425891533797,122.960187894378,0
1535,-10544,12488,991,138.571728387706,122.854430084671,0
1568,-9104,11784,-1855,138.554689122402,122.831289268178,0
1599,-10660,12740,-219,138.663244729986,122.530911143608,0
1635,-9620,12424,68,138.554610297613,122.477377308208,0
1670,-9432,12088,-2670,138.541037693366,122.472749321457,0
1703,-10192,12312,-553,138.595671066702,122.44979150092,0
1734,-9692,12340,-1454,138.776798370926,122.44898694259,0
1766,-9904,12848,-503,138.811176564305,122.444219148054,0
1802,-9888,12716,-547,138.956311555461,122.434901812822,0
1837,-9516,12480,282,138.97796730497,122.593957902046,0
1871,-9784,12700,-733,139.222163486246,122.514879968932,0
1901,-9836,12744,-170,139.187303322694,122.515471618411,0
1932,-9656,12724,583,139.137802976002,122.504629023325,1
1969,-8956,12424,-1255,139.234648118471,122.527751913905,1
2000,-9952,13092,-1564,139.492925626841,122.52425594074,1
2033,-9528,12692,-586,139.478014398945,122.530943259958,1
2072,-9228,12544,-96,139.638927023274,122.466747248628,1
2103,-9380,12540,-457,139.717271308595,122.430253440909,1
2133,-8868,12708,-618,139.950801136149,122.475253361461,1
2169,-9224,13072,-1303,139.960338434441,122.463096537812,1
2200,-9456,12900,-803,139.978137176891,122.424595209998,1
2233,-8892,12404,-945,140.040497096439,122.496623946619,1
2266,-9292,12888,-1753,139.894447616528,122.508102373212,1
2305,-9192,12668,-1764,140.107072352096,122.541007818331,1
2338,-9740,13260,-1520,140.034512356763,122.567875543835,1
2369,-8748,12564,-2728,140.012506969398,122.560496128556,1
2400,-9656,12904,-2981,140.231487243351,122.557884940551,1
2463,-9468,12320,-662,140.139774019277,122.564605804446,1
2479,-9476,12436,-1129,140.17493533678,122.669930079513,1
2502,-9596,12732,-656,140.100342789152,122.921521689361,1
2537,-9112,12432,-593,139.695471158562,123.383564690007,1
2571,-9668,12988,-2670,128.871595720484,136.325387228258,1
2601,-9444,12448,-356,139.536997951491,123.882603837664,1
2633,-8604,12228,-4019,140.775448871342,123.950169109242,1
2669,-10804,13012,-3788,139.63485790639,124.683300016675,1
2700,-9928,12144,649,139.947657796455,124.753406313569,1
2737,-9912,12496,-1241,142.595091151665,124.763774640665,1
2771,-9584,12396,-1000,141.207523198332,124.811716213637,1
2802,-9556,12644,-3002,145.975650662512,124.83347591087,1
2833,-9636,12108,-3745,142.667427652347,124.785022396974,1
