Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-12328,9480,17204,133.851507157817,22.1792354515766,0
33,-9436,10380,11774,133.865298516535,22.2016627216559,0
68,-9056,11176,1826,133.878600383696,22.2328796516126,0
99,-11836,11604,-1050,133.823438786398,22.2259193768233,0
133,-11692,11160,1395,133.849810425796,22.2754432509293,0
167,-11812,11040,716,134.011961525582,22.3611857606684,0
199,-12108,11052,1470,134.011551557252,22.3837129504419,0
232,-11832,10964,1089,133.938796224484,22.3485354221779,0
268,-12152,10944,1270,133.911404171727,22.3286592223357,0
301,-12028,10824,1398,133.873273189523,22.2697166420831,0
333,-11824,11168,804,133.806020736865,22.2440154021255,0
366,-11936,11072,1115,134.23681461837,22.5769589437513,0
399,-11756,10976,772,134.202223123019,22.5311291376192,0
433,-11536,10996,1215,134.255232171484,22.6064694359911,0
467,-11644,10888,1304,133.830256574175,22.2321174320855,0
501,-11892,11232,1002,133.560901571658,21.9876112087672,0
532,-11928,11084,1451,133.306081055196,21.7056954781867,0
566,-11932,11136,452,133.147913359212,21.4925102231491,0
598,-11840,10804,-451,133.044966348291,21.3380687659602,0
632,-11868,10916,-941,132.929248852638,21.1737002299907,0
666,-11708,10312,-7437,132.98553315843,21.0363342411705,0
700,-13688,10004,-5975,132.988832237446,20.990376833636,0
734,-12348,8156,-14430,132.887108764392,20.9176227729045,0
766,-15332,7712,-8585,132.881189542173,20.8748400323984,0
799,-13448,5956,-12406,133.120279060614,21.128336161182,0
833,-16240,5172,-12853,133.105846250861,21.1224078969449,0
866,-14840,3076,-18529,132.816177198076,20.832866067227,0
899,-15468,776,-24316,132.844670330524,20.8178391346879,0
934,-16888,-2196,-30541,132.790054971868,20.7714221603081,0
968,-16356,-4904,-21706,132.797953496526,20.7578829580655,0
1000,-16276,-7052,-16632,132.697335440429,20.6930608928886,0
1033,-15204,-8696,-10576,133.041778172022,21.0294335327786,0
1067,-12444,-10420,-6520,133.272296909148,21.2952781898136,0
1099,-15492,-10528,-6031,133.491051423347,21.2467338639873,0
1136,-17768,-10480,21013,133.801365069102,21.504417065512,0
1169,-16380,-9640,32767,134.385295821707,22.045305271267,0
1199,-18196,-6296,32767,134.072587708261,21.7448993815491,0
1232,-16616,-3120,32767,133.670606651591,21.7820815287715,0
1267,-12964,2312,26037,132.234730788509,21.4245746201125,0
1298,-13360,5524,11788,131.102592973065,20.8857640851904,0
1333,-14356,8208,10493,130.192557253899,20.3695551425851,0
1370,-12820,8664,12521,129.899771687469,19.2729518081116,0
1400,-12512,9708,10770,132.212948334422,18.1215246765269,0
1433,-12308,10184,9275,133.242697252904,17.6471549778281,0
1468,-11820,10488,9057,133.232312552027,17.0831478656743,0
1498,-11304,10648,8098,131.927592541228,16.7045194546359,0
1533,-11424,11100,6979,131.275991291605,16.3772698470287,0
1568,-11184,11364,4977,131.198407368633,16.2504260368777,0
1601,-11040,11588,1442,131.004205427271,15.9694038463572,0
1633,-11552,11708,-71,130.948530570741,15.7099192837617,0
1666,-11660,11220,876,130.727918047218,15.4235245934686,0
1699,-11032,11684,1138,130.799744312687,15.4728286393139,0
1733,-10996,11268,1100,130.4503682278,15.1609202636434,0
1767,-10668,11460,728,130.307043428354,14.9330722151883,0
1802,-10852,11168,302,130.669396454296,14.8171330970427,0
1833,-10820,11376,187,130.683842717864,15.0262038452294,0
1867,-10940,11080,-802,128.415486475065,15.1635256660418,0
1899,-11572,11120,-1381,129.43987234388,15.3330647498068,0
1933,-11180,10520,-4111,131.174950970096,15.1844553128491,0
1967,-10260,9164,-19259,127.533511908668,15.2520471147311,0
2001,-14792,8136,-19916,129.341268389342,15.4297539713014,0
2034,-12884,4636,-27055,124.607398858252,17.8039492969922,0
2068,-17900,3168,-24409,126.375952103771,19.0463641681052,0
2098,-17100,-480,-25569,127.587378679424,19.190689724713,0
2133,-17272,-2716,-22227,127.697510548067,19.395807127214,0
2167,-16116,-5296,-21626,127.987955485098,19.6628610897033,0
2199,-14916,-8020,-20193,129.235471131955,19.6098550529353,0
2235,-14648,-8972,-16218,129.615542268571,19.800794309262,0
2268,-13344,-10584,-14022,130.224977404496,20.115491601255,0
2298,-12752,-11584,-7504,130.436407830148,20.1293462725302,0
2333,-11636,-13044,-7212,130.659800213668,20.1286848403417,0
2367,-12876,-12780,-793,131.12034786503,20.3501777633949,0
2399,-10620,-13324,5973,131.04833346886,20.3005546806602,0
2436,-13572,-12144,9114,131.387560737581,20.5443633484213,0
2468,-15004,-11776,27786,131.486056834884,20.5399501116249,0
2499,-15628,-9888,32767,131.813174558631,20.7297638142384,0
2534,-16184,-7964,32767,131.940809342212,20.7225388992072,0
2566,-14804,-3520,28987,131.902242191212,20.5613454527451,0
2599,-15584,200,25675,132.205937143682,20.7948127217348,0
2634,-14748,2760,20443,132.499270944429,21.111794027962,0
2668,-14592,5040,11743,132.371029019958,20.9726936024513,0
2700,-16116,6464,11857,132.374672353507,20.8779607454868,0
2733,-13892,6732,10851,132.253218240992,20.8381534986468,0
2766,-13672,7432,2693,132.411682419073,20.9536993465198,0
2798,-14760,7832,778,132.367226801473,20.9033186052453,0
2833,-14728,7656,623,132.612055479974,21.1436101157659,0
2866,-14364,6864,534,132.585344820077,21.0872316741091,1
2902,-14408,6692,495,132.442406181346,20.9458325041091,1
2933,-14964,6580,-675,132.532272109818,20.9545076234237,1
2966,-14748,6608,1121,132.760473777462,21.1618668740387,1
3001,-14740,6896,494,132.730677272997,21.1115715700401,1
3033,-14528,6780,715,132.677314416214,21.0222564383361,1
3068,-15088,6644,1010,132.57377491955,20.9259306180905,1
3100,-15020,6228,947,132.704150729677,21.0865897931776,1
3135,-14840,5804,618,132.588460719203,21.0316601505539,1
3167,-14812,6132,-1022,132.579371390486,21.0973549702396,1
3200,-15520,6752,801,132.5868698151,21.2118646542004,1
3233,-14560,6480,1339,132.41894168558,21.4931122748869,1
3266,-15040,6596,1443,132.365049362442,21.4876343719769,1
3298,-14836,6476,1016,132.142669065762,21.2647384550283,1
3338,-14844,6500,1484,132.146545474914,21.1820636066968,1
3369,-14736,6308,1125,130.901689756759,20.6422340084589,1
3400,-14904,6220,1256,130.124418462841,20.0316470504151,1
3433,-15052,6536,1270,130.65081846427,19.9367581153873,1
3468,-15000,6648,1849,128.850369954165,18.4600644876541,1
3499,-14972,6412,1337,130.057360870247,18.378535674463,1
3534,-15008,6316,1000,131.685660013118,18.189456565359,1
3568,-15060,6304,1334,133.437936642447,18.131702527032,1
3601,-14740,6188,1245,133.098390577869,17.7650004354595,1
3634,-14992,6448,1179,134.981604867388,17.7046105752467,1
3667,-14732,6572,1468,134.350111385873,17.0251855268149,1
3700,-14688,6484,1087,134.124258196273,17.0202129062917,1
3734,-15044,6732,1567,133.592125857618,16.5262626496461,1
3767,-14884,6588,1322,132.977697858763,16.4894253335609,1
3799,-15224,6376,1253,132.40254004173,16.0107359511258,1
3834,-14704,6608,890,132.212158584466,15.6613561279025,1
3868,-15092,6716,1114,132.322108572252,15.6813030655941,1
3900,-14828,6552,1283,131.857095823051,15.1022679439895,1
3934,-14936,6576,1174,129.952855353764,13.1890015900465,1
3967,-15172,6836,1606,127.919059390486,14.1455984723777,1
4000,-14816,6764,1489,132.953794194281,13.1461041413133,1
4034,-14676,6760,830,127.641892806001,13.7567734238935,1
4066,-14852,6532,1140,129.192733985785,16.0464066091971,1
4100,-14936,6704,1993,128.669980660585,16.2073522992388,1
4133,-14868,6728,1102,128.592392859885,16.7205088013231,1
4167,-14616,6448,435,127.964538796725,16.9428415879952,1
4200,-14792,6516,1015,128.715309052866,17.4535992016205,1
4235,-14868,6940,1273,129.300010433233,17.8165065730512,1
4268,-15020,7064,1455,129.402308407111,17.8867781714098,1
4299,-15300,6988,1040,129.735453001296,18.2840550953029,1
4333,-15220,6932,747,130.207666246129,18.5142077814607,1
4365,-15012,6768,532,130.515825613987,18.8190662314734,1
4400,-14864,6560,1231,130.802624274796,19.0224268166204,1
4433,-14428,6348,880,132.061239651086,20.0215953383167,1
4468,-14128,5988,602,132.267878211825,20.2197349807571,1
4501,-14832,5920,958,132.209817732378,20.1329344271009,1
4533,-14792,6308,2101,132.177906878135,20.0835772927257,1
4567,-15068,6676,2106,132.184880650058,20.0293460894468,1
4599,-15068,6968,1599,132.127454076407,19.9345715275189,1
4632,-15224,6880,2388,132.128807727157,19.8824685258444,1
4667,-14932,7296,3773,132.250943418143,19.9935331282455,1
4700,-14684,7148,2630,132.176549007162,19.8863469896896,1
4735,-14720,7652,2900,132.595046376154,20.3253462831844,1
4766,-14544,7532,3438,132.392195567113,20.1442266661159,1
4799,-14556,7508,4925,132.468407527106,20.2030296105992,1
4832,-14124,7892,5263,132.497777114851,20.2401040306363,1
4866,-14004,8480,5102,132.647505633688,20.3882076371063,1
4900,-13692,9072,4265,132.543339367528,20.2803043772939,1
4953,-13324,8916,3942,132.765813083272,20.4748273849325,1
5001,-12928,9092,2251,132.733268588249,20.4373050032929,1
5046,-13132,9140,1494,132.888557164108,20.618057973,1
5067,-12856,8940,1582,132.728592606268,20.4275970020847,2
5102,-13092,8916,1164,132.811179588765,20.5288095868444,2
5133,-13460,9016,1176,132.763787929986,20.4577322167085,2
5166,-13104,9180,121,132.814697161489,20.7743513473155,2
5199,-13500,8952,-466,132.113985667074,20.7957872958447,2
5233,-13548,9160,899,130.439019588731,20.2810777204334,2
5265,-13568,9272,924,126.553863793818,18.6718166675391,2
5299,-13636,9360,1217,126.293545349021,18.5592214590985,2
5335,-13620,9160,457,125.428662568678,18.5665580576488,2
5366,-13576,9076,947,125.13968358226,18.4785442355133,2
5398,-13612,8912,1031,129.129701942993,18.4119484493312,2
5433,-13472,8808,1230,129.346508166032,18.2633376196762,2
5466,-13512,8804,1223,132.219796022293,17.9532479238119,2
5498,-13464,8808,1317,133.301143675023,17.8645284073602,2
5533,-13576,8684,575,133.173462762683,17.2961406133547,2
5571,-13560,8828,1099,132.337077821473,17.2316748966367,2
5600,-13596,8972,662,132.352319122719,17.1118051461889,2
5632,-13296,8896,269,132.121381573619,16.7303794754551,2
5666,-13644,8868,957,132.514187821041,16.894335640419,2
5698,-13892,8776,1072,132.310580941064,16.4983153486631,2
5735,-14156,8912,1659,132.292955262685,16.4991997554915,2
5767,-13816,9132,1135,131.913675190863,16.1391439516577,2
5800,-13500,9000,562,131.318750794761,16.1436729374071,2
5833,-12416,8512,-1684,129.578773773602,16.1993812233004,2
5866,-14276,8024,-4955,131.064005047296,16.2402501735536,2
5898,-15268,7980,282,131.081840681395,16.3796226569862,2
5933,-13692,7664,972,129.286090147366,16.6818456975687,2
5967,-14540,7656,-495,132.318806146306,16.3809113511845,2
6001,-14160,7220,-7121,129.445135342835,16.0642824419866,2
6034,-15352,6304,-14249,126.404784272576,15.9253393075719,2
6066,-13852,4120,-12175,126.085314547147,16.4952410765655,2
6098,-16728,1404,-32768,125.217097928933,17.0106977038274,2
6133,-16988,-1136,-30115,127.533299924393,17.6958605694222,2
6166,-17600,-3992,-26416,126.891617566958,17.579954410981,2
6201,-16048,-7028,-20681,128.627127993969,18.116629141953,2
6234,-13088,-9452,-20287,130.246380431417,18.5090973407309,2
6266,-12652,-11244,-17757,130.542693151273,18.6100921484029,2
6299,-12292,-12580,-13939,130.911743800681,19.0271108176802,2
6334,-11980,-13768,-9567,130.920514966257,19.0245081164825,2
6366,-11260,-14412,-1260,130.956931760046,19.0563591738019,2
6400,-9844,-14680,4294,131.167154954068,19.1511529863595,2
6436,-11740,-14216,5937,131.186999908708,19.1102547094916,2
6466,-12072,-13440,12336,131.159849110871,19.0149410359604,2
6500,-14168,-12124,21912,131.048548746548,18.854070990306,2
6534,-14788,-10408,28304,131.552833090938,19.1003388718984,2
6567,-16012,-7708,31278,131.719510227758,19.1372018356192,2
6599,-15300,-5088,30398,131.874754629112,19.1959500835975,2
6635,-14912,-2176,24796,131.950132587016,19.1628104660384,2
6667,-15396,912,19516,131.946691933419,19.0732785009726,2
6699,-15464,2672,17144,131.901383548241,18.9467639642251,2
6733,-15132,4236,16550,131.993611247181,18.9812996248685,2
6766,-14360,5704,10348,132.104539580417,19.0493557697443,2
6799,-15116,6956,6480,132.281991627468,19.1407220411481,2
6833,-14912,7140,3579,132.516215849874,19.2720030304087,2
6867,-15428,7324,1292,132.805268230212,19.2301240205904,2
6901,-15380,7000,1937,132.983507594699,19.3162456695447,2
6934,-15100,6992,2277,132.963825056021,19.3538441349949,3
6966,-14784,6748,2516,133.371272425281,19.7961569865688,3
7000,-14632,6456,189,133.37529735187,19.7913228214039,3
7033,-15048,6752,1594,133.321465377101,19.7608560032428,3
7388,-14528,6428,1273,134.184861755498,20.6009282451511,3
7400,-14916,6636,1543,134.091486762794,20.4622478225911,3
7432,-14772,6756,2075,133.994841982425,20.3916014940046,3
7467,-14724,7296,945,133.909588739489,20.3364140942961,3
7502,-15028,7080,1505,133.839212842615,20.2098868020007,3
7534,-15160,7240,2420,133.852057168146,20.2063615722404,3
7566,-14228,7168,3529,133.838031563002,20.2073939336919,3
7599,-14144,7508,309,133.86212620541,20.1929281146435,3
