Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-13996,7216,-4360,88.9897237351934,11.6681887923425,0
34,-14304,6964,-3837,89.0031704567855,11.6223843044531,0
67,-14284,6500,-4857,89.030564237159,11.5866466206792,0
103,-14600,6332,-4320,89.0644262036278,11.5319387281275,0
135,-14476,5808,-3091,89.0688661526992,11.513541015574,0
168,-14636,5724,-2755,88.7393908127698,11.8095047711638,0
201,-14520,5596,-2228,88.4613029833869,12.1038674875217,0
235,-14776,5704,-2689,88.484996385188,12.0755959779839,0
266,-14940,5616,-3557,88.6280167684462,11.8912813924987,0
300,-14660,5208,-4487,88.6438192360295,11.8524511539668,0
338,-14968,5020,-6074,88.5559659062826,11.7242259000126,0
367,-15020,4468,-7676,88.4978665771758,11.6778040839799,0
400,-15544,3596,-8098,88.3908810974893,11.6401483134262,0
435,-16052,3028,-7806,88.3017858174442,11.6858406908061,0
466,-15724,2008,-7850,87.7688147355059,12.1250719069985,0
499,-16020,1336,-7936,87.6628385373377,12.1948825945583,0
535,-15748,820,-6710,87.6019371499621,12.1869430485095,0
569,-15492,144,-8274,87.8981590330596,12.2116320611829,0
605,-15796,-264,-10243,87.7929527206149,12.4082023214763,0
636,-15356,-1292,-11223,87.6711710823422,12.4092567323476,0
668,-15560,-1828,-13602,89.5729835089291,8.29475701683674,0
700,-15420,-3436,-13697,91.1212571602408,5.69175381314619,0
753,-15316,-4616,-14293,91.7023496873853,4.96053024007009,0
772,-15276,-6220,-13487,92.3242951083831,4.40237520609388,0
803,-14408,-7820,-11816,92.2632248393223,4.35033512361239,0
836,-13608,-8880,-12618,87.5481932457267,12.2298107705284,0
869,-12728,-9704,-13899,93.4446071311359,4.01524383199653,0
900,-11668,-11000,-16628,94.1899778110518,2.61347171895966,0
934,-10788,-12380,-18987,89.011790529668,11.3265032140275,0
971,-10732,-13976,-19230,96.8542464072499,0.747425183869472,0
1004,-9484,-14104,-15133,96.783033214945,0.461737812268282,0
1038,-8340,-15560,-9331,96.8798959539092,0.507801686554997,0
1068,-7616,-15968,-5847,96.996364323967,0.53773767888416,0
1100,-7560,-16088,-1226,96.8777257705037,0.293226966645482,0
1133,-6960,-16176,2794,96.5475166196577,0.0206062375674847,0
1167,-7984,-15772,5627,87.1210388966145,14.4558438917213,0
1203,-7968,-15240,7635,96.9543390317191,0.530775982445942,0
1237,-9872,-14752,9959,97.0309402523329,0.500559380141126,0
1272,-9440,-14392,21124,96.8780770996731,0.530506989893745,0
1300,-12572,-11796,18994,87.6397737173471,13.8705928280587,0
1337,-10812,-10636,23830,96.4389875634395,0.269665655814639,0
1367,-14248,-7600,14466,87.3257849513712,13.5133193891438,0
1400,-13748,-6968,19866,96.5715618459534,0.100797645999923,0
1436,-15104,-4680,8123,87.0000599067653,14.1236567213007,0
1469,-16660,-3544,14063,86.8970361716511,14.2072374439356,0
1499,-15228,-2476,10308,86.9011533150747,14.1785168832597,0
1534,-17968,-716,18361,86.846362512093,14.2563922888176,0
1567,-13684,440,17581,86.9007354911117,14.1413628702627,0
1600,-15372,3244,10716,87.1287268291362,13.9852743173428,1
1636,-14632,4384,11338,87.1458218260234,13.9374761725032,1
1670,-15120,6312,8769,87.3669497141199,13.7992982787908,1
1699,-14484,7468,9462,87.4964925071824,13.7618203610387,1
1734,-14124,8156,7758,87.3665614033509,13.8724437194782,1
1769,-13180,8380,9730,87.1211499216561,14.0908936808226,1
1800,-11960,9096,4629,87.3886405230482,13.9349759958253,1
1835,-12524,9440,-524,87.5733833679987,13.7944330405832,1
1871,-12684,9436,-83,87.7439607607412,13.7032576178636,1
1902,-12456,9484,1082,87.8974882711938,13.6588566466205,1
1937,-12116,9828,553,88.0099032396784,13.5929669681894,1
1967,-12248,9804,-1197,88.3646169840241,13.2541913131524,1
2001,-12516,10024,-954,88.4873087962181,13.1900689267213,1
2035,-12492,9896,-1194,88.3006717226502,13.1984163345412,1
2067,-12316,9976,-1529,88.0636052793348,13.4111105261437,1
2104,-12584,9756,-1153,88.1174143405539,13.3194752091127,1
2135,-12124,9540,-1065,88.15589847064,13.1975427556494,1
2167,-12560,9680,-1459,88.0142096206483,13.2800793938368,1
2200,-12456,9660,-1253,87.9505832054044,13.2822025399503,1
2235,-12236,9568,-1159,88.15268443716,13.1245787530223,1
2294,-12452,9732,-1316,88.065238102015,13.1649535681504,1
2319,-12472,9768,-1211,88.2252894983157,13.0814821844568,1
2335,-12588,9748,-1305,88.395864310449,12.9214683375485,1
2368,-12364,9640,-1306,88.3854743748271,12.9422248811674,1
2401,-12560,9664,-1060,88.4632765257254,12.883857525633,1
2435,-12496,9604,-1318,88.5094607856634,12.8357604130228,1
2468,-12560,9612,-1217,88.5328924453365,12.8288104229296,1
2502,-12496,9660,-1243,88.5647065861309,12.7993477825452,1
2538,-12580,9852,-1180,88.6124801730278,12.8104933362013,1
2569,-12472,9612,-1241,88.6720500609255,12.77769269865,1
2601,-12384,9600,-1233,88.6476851576079,12.8229334656478,1
2635,-12492,9552,-1409,88.2416264953974,13.0988772963687,1
2668,-12844,9676,-1174,88.3058068056569,13.0205862551788,1
2744,-12520,9588,-1155,87.985131431163,13.1580749849806,1
2796,-12672,9660,-1472,88.058285428312,13.0654611629224,1
2807,-12720,9452,-1075,87.6749260453553,13.0609472991852,1
2834,-12636,9580,-1431,87.1336667246216,13.3142588971827,1
2868,-12556,9476,-1116,87.2496613571469,13.047686711233,1
2900,-12512,9508,-1366,87.0395549509073,13.0163108883472,1
2936,-12492,9696,-1238,86.4416965578155,13.0869815078871,1
2970,-12400,9656,-1358,86.1215311990626,13.0899101070865,1
3001,-12500,9500,-2151,85.8405646024086,13.1592987758531,1
3034,-12380,9432,-3631,87.9631730380485,7.93574640912088,1
3068,-12448,9124,-5944,87.9921308854892,7.54728662960616,1
3102,-12740,8492,-9585,88.1525514204824,7.45102784535698,1
3135,-13636,7796,-12593,87.7021401274033,7.67936678363528,1
3169,-14596,6720,-12943,88.5904626638789,6.69385980213388,1
3202,-15104,5768,-9975,88.6019653996221,6.62484118282503,1
3233,-14940,4872,-8561,91.6646723425129,1.81364122365749,1
3268,-14832,4068,-11161,93.1283077310692,0.377301428510872,1
3302,-15140,3020,-14584,93.3487416406385,0.149525042490379,1
3381,-15388,1612,-14663,94.1478138013479,0.164472013136646,1
3403,-15948,220,-13788,94.8518836926374,0.209833886489688,1
3448,-15604,-876,-12192,95.0058190195729,0.00230856305032079,1
3489,-15836,-2040,-11781,95.162920225558,0.166983181453655,1
3532,-15400,-3060,-10822,95.4993726565858,0.179268012091131,1
3616,-15320,-4392,-12035,94.4732132836652,1.73642383123291,1
3634,-15348,-5304,-12023,88.1358945859383,13.0248595178844,1
3668,-15452,-6704,-10326,88.1306921943289,13.0671839530467,1
3701,-15124,-7516,-5308,88.3574766724012,12.9548025041691,1
3735,-14360,-7580,-4106,88.4501695682325,13.0248842573799,1
3767,-13912,-7692,-5586,88.3315311797499,13.1261615593804,1
3803,-13280,-8240,-9439,88.4220752613433,13.1247933853497,1
3837,-12336,-8976,-13715,88.479040030587,13.1164570922647,2
3869,-11664,-10440,-20360,88.5464126097301,13.1267506846057,2
3901,-12136,-11668,-19614,88.5440466141876,13.1967873503409,2
3935,-11932,-13440,-10956,88.521778678404,13.2701275651276,2
3966,-10832,-13988,-950,88.550888310504,13.2854205136872,2
4015,-10180,-14176,1208,88.6880714534333,13.1653408474784,2
4036,-9916,-13600,1716,88.5946641438049,13.366958179249,2
4072,-10660,-13140,2416,88.1827745615253,13.7098196401638,2
4100,-10404,-12960,5027,88.2695371088413,13.6545341074713,2
4135,-11708,-12560,5223,88.3492459444178,13.5936586963629,2
4168,-12052,-11680,6665,88.3636821535432,13.5708991895417,2
4200,-13036,-11120,9861,88.2085392951734,13.6559214690669,2
4234,-13124,-10028,14099,88.2238815377861,13.684825936648,2
4267,-14164,-8700,12535,87.9792872263984,13.8754524240236,2
4302,-14572,-7048,14400,87.7512519820758,14.0494142909208,2
4336,-14944,-5448,10878,87.3939808135166,14.4223519626885,2
4370,-15688,-4260,13735,87.4645716211388,14.1932576617259,2
4402,-14664,-3128,11693,87.4022257896782,14.1615404397693,2
4435,-16552,-856,11916,87.4053852852326,14.1243363286832,2
4470,-15268,-300,14709,87.6178219994479,14.0015739759608,2
4501,-16452,1872,9596,87.7391159794064,13.9241868957007,2
4535,-16104,2736,11322,87.8439169644187,13.8372916069102,2
4570,-14608,3408,8971,87.9008403526373,13.7781328579301,2
4600,-15632,4944,7934,87.9575684563143,13.7157256701566,2
4635,-14568,5680,10695,87.9970199878261,13.6685887339925,2
4668,-13748,6488,8116,88.0382083422391,13.6268260964426,2
4703,-14020,7300,9927,88.0397504063311,13.5817571807034,2
4734,-13120,8428,10848,88.1000361765036,13.5105598129918,2
4769,-12680,9444,12142,88.193720580085,13.3760923291223,2
