Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-1164,-16912,1154,106.001533370677,9.11668444129206,0
44,-1104,-16984,1149,106.050527382957,9.03810553047617,0
61,-1116,-17000,1138,106.061243618574,8.965888760687,0
93,-1256,-16776,1169,106.19174985122,8.84014223041259,0
128,-1072,-16972,1188,106.337418844476,8.71327191445839,0
159,-1224,-16964,1154,106.275265168589,8.62748683582947,0
193,-1200,-16980,1160,106.242961209391,8.55901039803568,0
228,-1304,-17028,1148,106.176947161758,8.53626849459882,0
259,-1180,-17076,1163,106.085223665991,8.50983812420498,0
293,-1276,-16780,1152,105.893581320748,8.54455498440554,0
327,-1168,-17060,1165,105.903468478268,8.54838841610839,0
361,-1188,-16856,1186,105.699015960854,8.61384236896013,0
393,-1212,-16920,1165,105.449016907204,8.6886295066296,0
426,-1288,-16984,1161,105.351121664833,8.63947537797949,0
476,-1168,-16944,1143,105.18807170726,8.67943105369918,0
495,-1144,-16896,1128,104.553260238381,8.97787372996515,0
525,-1260,-17024,1152,104.55603435906,8.98052483491936,0
559,-1152,-16716,1153,103.865872806894,8.79385631446531,0
593,-1188,-16960,1161,103.844151251095,8.74471784759193,0
627,-1264,-17068,1143,104.780737323282,8.69619969195154,0
661,-1192,-17128,1163,104.658915947187,8.87878171405492,0
693,-1148,-17168,1181,106.87975464236,8.93771995913315,0
726,-1236,-16968,1169,106.699019020409,8.87638892768516,0
759,-1056,-17016,1157,108.059994714607,6.87090529666465,0
793,-1196,-16864,1166,108.592324697186,6.06608632967445,0
825,-1240,-16880,1165,109.828267158308,5.21618888965572,0
860,-1288,-16988,1185,111.254356774547,4.8620365423396,0
895,-1220,-16824,1168,113.115211166405,3.65990802035607,0
926,-1212,-16932,1170,112.094967249845,4.32272236388362,0
959,-1152,-17024,1161,110.199554722294,5.10418547410181,0
993,-1180,-17048,1175,109.405134061299,5.02591308162441,0
1027,-1168,-17036,1205,106.108545398665,6.72229445447735,0
1058,-1236,-16972,1169,103.605695945379,7.66393083011031,0
1094,-1224,-17104,1171,103.948733963456,7.77746265289625,0
1128,-1220,-17020,1163,102.221845112443,8.75546757168496,0
1161,-1224,-17028,1155,101.181233332209,9.44799295970341,0
1194,-1172,-16876,1164,101.22914287861,9.66158488719454,0
1227,-1148,-16824,1174,101.886211174318,9.50268845476525,0
1259,-1232,-17112,1153,101.806147333499,9.64466178818667,0
1296,-1028,-16788,1173,101.414196884893,10.1893039645109,0
1330,-1216,-17012,1151,108.416877012971,10.2740469476202,0
1361,-1168,-16880,1161,109.300933578886,9.7617099462262,0
1394,-1144,-16920,1152,109.232174622661,9.71944892986107,0
1426,-1192,-16968,1166,106.798902246519,10.6534537021015,0
1458,-1172,-17096,1174,106.730439117932,9.75378418729633,0
1493,-1296,-16968,1165,107.968331229743,9.17352315711497,0
1530,-1052,-16904,1144,107.308050653952,8.53167208152615,0
1561,-1120,-16900,1163,107.320815803119,8.26763189858328,0
1595,-1164,-16912,1172,107.02987188326,8.06148213155353,0
1627,-1168,-17080,1159,107.493405328398,7.36964132214467,0
1660,-1192,-16928,1180,108.172694244784,6.82829558827848,0
1696,-1192,-17116,1163,109.762584462977,5.29985659746243,0
1726,-1160,-16900,1166,110.949077694858,4.13496856518247,0
1763,-1348,-17068,1155,111.924606924912,3.32881517517937,0
1794,-1264,-16968,1164,111.346582960987,3.75395824609137,0
1827,-1188,-17020,1181,111.352627879835,4.29479378929268,0
1861,-1196,-17040,1165,108.823740051163,4.61777622049395,0
1896,-1256,-16856,1173,105.836404501977,4.78671681202103,0
1926,-1224,-16924,1168,105.288753305894,4.35032607325677,0
1960,-1184,-16968,1154,104.962762798245,4.49265263497227,0
1995,-1296,-16856,1138,104.352349614812,4.91952755815924,0
2028,-1160,-16932,1150,103.652228428745,5.25530188119483,0
2059,-1184,-16924,1159,103.797463514328,5.37790056870797,0
2095,-1152,-17104,1175,103.421841742809,5.58999733849485,0
2126,-1140,-16944,1159,102.842850242123,6.28442848269263,0
2162,-1260,-17080,1168,102.806497699247,6.33078926467468,0
2197,-1160,-16908,1157,102.35637661321,6.77332845647191,0
2247,-1076,-16844,1172,102.066278266352,7.09152945447249,0
2261,-1160,-17000,1154,101.777795448207,7.34496319254905,0
2293,-1200,-16852,1158,101.428695151565,7.7631594961675,0
2326,-1180,-16808,1169,101.274701746324,7.92011371988349,0
2360,-1188,-16860,1159,101.106757836678,8.14027825130573,0
2394,-1172,-16904,1174,101.160554200826,8.15206268662111,0
2428,-1128,-16804,1168,101.177956444933,8.24718621393729,0
2460,-1164,-17020,1151,101.20848800336,8.36044294262307,0
2493,-1136,-16956,1154,101.069877588464,8.55402742764351,0
2526,-1092,-16900,1163,100.958449600422,8.78021637842164,0
2559,-1136,-16980,1172,101.066423945103,8.95669535887448,0
2595,-1164,-16908,1180,101.092669707311,9.25392741575129,0
2630,-1120,-16824,1174,100.959446428785,9.50321806127375,0
2660,-1168,-16952,1137,101.155460960395,9.53990798122329,0
2693,-1152,-17112,1171,101.18076009835,9.61978062285253,1
2729,-1144,-16844,1137,101.212057120297,9.77119527420791,1
2761,-1272,-16868,1175,101.290422550089,10.1976831820255,1
2795,-1152,-16848,1172,101.321249028282,10.276256824679,1
2829,-1200,-16872,1168,101.284007388005,10.4616883951701,1
2860,-1124,-16984,1158,101.273691746592,10.7078711290694,1
2894,-1160,-16848,1165,101.215616518951,10.8530143456439,1
2928,-1228,-17004,1159,101.26480090568,11.0817419613756,1
2960,-1160,-16956,1153,101.265588856938,11.1022950040314,1
2994,-1160,-17032,1175,101.194118489157,11.1783684636506,1
3029,-1208,-17024,1192,101.191326924577,11.2451190353299,1
3061,-1200,-16884,1173,101.250490991803,11.2714639710512,1
3094,-1216,-17036,1173,101.217376120982,11.3294065147442,1
3129,-1148,-16756,1149,101.149964028779,11.5771632427097,1
3160,-1068,-16884,1148,101.109884791543,11.6345826697441,1
3194,-1104,-17020,1153,101.111254662654,11.8289684879653,1
3228,-1152,-16964,1168,101.059493694283,11.9428741451402,1
3260,-1128,-17052,1149,101.080833810753,11.9886296625107,1
3294,-1120,-16820,1167,101.075839298652,12.0718977742164,1
3328,-1160,-16988,1181,101.065365003843,12.1042621164749,1
3360,-1224,-16996,1196,100.951652608226,12.3221063561783,1
3394,-1172,-16880,1152,100.957682779956,12.3443086230961,1
3428,-1180,-16976,1168,100.979748225815,12.3229409711284,1
3462,-1260,-17040,1155,100.942429639735,12.4035198454297,1
3495,-1184,-16988,1147,100.931491575867,12.4184133167208,1
3529,-1196,-16980,1172,100.843091767241,12.5397005900298,1
3560,-1164,-17136,1190,100.849480980796,12.5432040392514,1
3593,-1200,-16960,1160,100.823900715423,12.5772994833117,1
3628,-1172,-16976,1163,100.814285241487,12.5836342249158,1
3659,-1152,-16912,1161,100.799677798119,12.6103453478666,1
3734,-1200,-16868,1141,100.820604970667,12.6878376739692,1
3760,-1120,-16976,1151,100.848768948097,12.7000612006521,1
3792,-1172,-16996,1169,100.841276721708,12.7308094889188,1
3827,-1148,-16984,1182,100.88365667173,12.7882847042621,1
3860,-1120,-17004,1178,100.874229248835,12.8226790866466,1
3897,-1188,-16852,1163,100.866662607951,12.8506187597795,1
3929,-1224,-17012,1169,100.840975236264,12.8756002916613,1
3961,-1132,-17000,1165,100.805320594162,12.9294848601213,1
3995,-1180,-16896,1183,100.799460268571,12.9577849391349,1
4029,-1220,-16944,1150,100.758912232866,13.0385385463908,1
4060,-1212,-16984,1154,100.811845567231,12.9821880931129,1
4095,-1128,-16924,1145,100.82608216499,12.9646228872887,1
4129,-1232,-16960,1180,100.810227445002,12.9809394869298,1
4163,-1192,-16980,1160,100.788425019131,13.0003147085682,1
4197,-1200,-17004,1168,100.641296856863,13.1740738995009,1
4229,-1256,-16808,1177,100.433930475412,13.3833574293255,1
4261,-1164,-17016,1155,100.397235316742,13.4006486767425,1
4294,-1180,-16852,1135,100.205724050066,13.6020298005419,1
4329,-1088,-16812,1148,100.176419136588,13.6194536876399,1
4363,-1176,-17100,1167,100.145448501116,13.6554684301809,1
4396,-1104,-16968,1171,100.100055462815,13.7319797445217,1
4429,-1196,-16936,1175,100.055331504722,13.7918534535235,1
4461,-1192,-16964,1159,99.8695364300261,14.0037643442448,1
4495,-1136,-17004,1164,99.8775529096485,14.0184697622363,1
4528,-1192,-16828,1154,99.8904498562761,14.0157191534252,1
4561,-1172,-17008,1149,99.8671488170049,14.0539105659884,1
4597,-1192,-16896,1192,99.8752083224879,14.0589802673057,1
4627,-1156,-17040,1176,99.8568983928668,14.1014571890109,1
4661,-1240,-16944,1186,99.761132531025,14.2441494807946,1
4693,-1400,-17160,1180,99.719865598012,14.3237744930417,1
4728,-1212,-16912,1164,99.6645052488074,14.3864987802709,1
4760,-1188,-17020,1173,99.567921124097,14.5010348104058,1
4799,-1340,-16884,1169,99.4105738631324,14.7476041469677,1
4831,-1308,-16916,1168,99.5005124109053,14.8931996935305,1
4860,-1084,-16892,1181,99.4205128822953,15.3765115663739,1
4894,-1208,-17016,1175,99.2706593938712,15.684753966298,1
4927,-1220,-17008,1171,99.2896288702606,15.8512754523028,1
4960,-1252,-16964,1165,99.2497720273126,16.54110771724,1
4995,-1304,-16940,1180,99.2694530306775,16.5089616941039,1
5031,-1224,-16876,1162,99.7715695577216,16.6412019817816,1
5061,-1124,-16884,1148,100.559516563922,16.6707478064353,1
5094,-1236,-17028,1159,100.758247108376,16.7979988783651,1
5128,-1236,-17048,1147,100.891453949058,16.6011226161732,1
5160,-1112,-16924,1167,100.938823991206,16.2372026166409,1
