Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-5708,-16468,2749,139.724446638862,30.5677805669579,0
34,-4864,-16836,191,140.039072847222,30.7624882986359,0
65,-5616,-16292,638,139.961822380583,30.5133346182913,0
100,-5008,-16952,2309,139.825196131324,30.4138646554788,0
132,-5428,-16156,-3475,139.841679534932,30.283339503217,0
165,-6484,-16376,4077,139.338060684091,30.2005308057436,0
200,-5520,-17056,10504,140.824749100218,31.1780960440195,0
234,-8764,-16980,20947,138.936544729561,31.1538069659608,0
268,-9124,-15776,29349,138.731288790442,30.4948359237678,0
299,-9188,-13824,18672,139.412805773083,30.4446136456832,0
332,-10268,-12020,1380,139.087501690265,30.5878513491837,0
365,-14880,-11272,6815,138.89082224872,30.5246078550228,0
399,-12636,-12004,17390,138.882001683488,30.6141591204629,0
433,-12680,-10860,7706,138.902201372866,30.5317277782198,0
467,-14952,-9392,10043,138.950016905249,30.383349714692,0
499,-14200,-8988,11001,140.321232141327,31.5295229658994,0
533,-15144,-7780,10804,141.544606478881,31.7699352792444,0
565,-15260,-7432,11589,141.162013679942,31.8622708180222,0
599,-16208,-6180,15950,141.428013858865,31.9031465481336,0
632,-15384,-4952,16899,141.608134548386,32.1084939901662,0
667,-15816,-3124,13315,141.733283748083,32.0553702987988,0
700,-16940,-1332,10527,141.047824833076,31.7156864875864,0
734,-16608,-172,15808,141.132134412442,32.0523064617465,0
766,-16548,580,14837,141.318863662404,31.9694748627443,0
798,-14784,2284,15395,140.353760282741,32.0902985545325,0
832,-15620,4176,9266,140.49566492103,32.3373179447767,0
866,-15520,5068,6779,140.370622168087,32.29546080494,0
901,-16140,5164,9078,140.419601825272,32.3668498644195,0
934,-14564,5484,9911,140.269552075217,33.308727720619,0
965,-14468,6804,5800,139.85314919212,33.20968234193,0
1000,-14040,6948,5485,140.211570530571,33.3378046841756,0
1032,-14460,7208,3971,140.805157929109,33.2713834899392,0
1065,-14280,7244,9414,140.440774455097,33.1422019364969,0
1100,-12888,8212,3624,139.800963470228,32.4173054942039,0
1133,-14184,9084,7718,139.442056731659,32.0317018978021,0
1164,-11888,9084,6443,139.398323175998,32.2768059055664,0
1198,-12704,9432,7598,139.966932023438,32.3325911376391,0
1232,-11268,9512,4703,140.369535682341,32.9024624695544,0
1265,-13900,10504,8281,139.383149974142,32.1364837118107,0
1298,-9420,10676,6845,139.553263091333,32.3601958516117,0
1334,-12640,11416,6467,139.632799801669,32.3377479162502,0
1365,-8668,11216,5764,138.769986003109,32.5557499325995,0
1398,-10292,11536,-3794,139.375159484082,32.7922193326252,0
1431,-10952,11720,668,139.186901131794,32.7984162796959,0
1464,-10656,11456,3637,141.630526221146,32.7656418714915,0
1498,-9868,11272,-641,141.527312521106,32.7308176402595,0
1533,-11536,11532,598,139.415273538115,32.7307748145235,0
1566,-9968,11132,2068,139.890711505311,33.0455328124251,0
1598,-10284,11032,544,141.611807455811,33.5765119926553,0
1632,-11020,11556,1501,140.355027913465,32.2905417701241,0
1664,-10552,11280,1128,139.574945383056,31.3559918719746,0
1699,-10416,11336,365,140.586738733643,32.1678024996265,0
1732,-10864,11508,476,140.807448988458,32.1481251471791,0
1766,-10064,10940,111,141.059106757339,32.3518199537169,0
1800,-11376,10868,-841,135.043437817012,30.8373962101675,0
1831,-11064,11108,1671,140.277162835101,30.0220408976497,0
1865,-10996,10816,772,138.300851705079,29.9300965746111,0
1898,-10712,10808,1083,138.291095479333,30.0387344991998,0
1931,-11308,10792,-1202,138.284461470992,30.2635359566728,0
1966,-11520,10912,1299,134.597217191617,29.4648887402054,0
2000,-11336,10908,1945,139.427937925402,29.4056126053644,0
2032,-10704,10976,1086,138.692784132025,29.2320007216714,0
2066,-11468,10876,977,138.630668662728,29.3653987498334,0
2099,-10596,10776,1807,139.161734830544,29.9570905122163,0
2131,-11096,10788,687,139.291098848903,29.9424912363773,0
2164,-10928,10904,2274,139.195048358687,29.940471871259,0
2201,-10744,10728,928,136.418822969222,27.7595496487885,0
2231,-11276,11000,1873,135.787667189644,27.2162116444859,0
2265,-10760,10936,1466,122.48997941065,13.5529493404753,0
2299,-10936,11272,1429,144.682362326516,33.9527161406014,0
2331,-10804,10872,1124,144.7655475013,34.0651735410761,0
2365,-10924,10856,1989,146.106035164198,34.0797598033673,0
2400,-10640,11216,1023,144.216341199533,34.0423741051929,0
2434,-11024,11208,1164,149.504397086468,34.0222890991204,0
2464,-11116,11500,634,124.003014122641,13.2601953770964,0
2500,-10796,11224,-350,147.478207413775,32.3649014473811,0
2531,-10960,10788,1897,147.413179394351,32.3435579762248,0
2564,-10892,10756,1117,133.069230831943,27.8211362830856,0
2653,-10968,10980,1351,135.239910458622,24.7427895154415,0
2669,-10924,10780,1182,123.093398087307,13.0053224520799,0
2699,-11024,10892,1065,138.102551630829,26.5576486188094,0
2731,-11028,11000,1172,124.387116805273,13.558940347507,0
2765,-10836,10928,1199,144.651019319615,32.3220392072238,0
2798,-10960,10964,1222,123.28661989975,12.7757500071796,0
2832,-10764,10852,1272,139.086469757271,27.6544383469743,0
2866,-10992,10700,1390,128.478650683718,24.6358734841267,0
2899,-10956,10884,1024,139.140789046096,27.0332581779201,0
2931,-11228,10768,1158,139.734973676447,29.2752676214496,0
2964,-11192,10740,1585,139.560908606588,29.4177060197892,0
2998,-10900,11036,1122,133.715486054559,28.1324936381346,0
3031,-11264,11360,1470,123.154250950305,11.7833001162321,0
3066,-10720,11156,1569,140.620126195637,29.165598294945,0
3100,-10740,11492,1263,122.286498357576,11.5669012049557,0
3132,-10368,11120,1363,122.620559789851,11.6810738591553,0
3165,-10996,11180,1071,122.677297960842,11.6652294366552,0
3198,-11028,10888,1126,122.787592143016,11.6401530081993,0
3232,-11080,10932,1258,122.051889001794,11.4851705655769,0
3266,-10956,10824,1183,122.389539017016,11.7443988817654,0
3301,-11012,10828,1317,107.692785406583,11.0982226149884,0
3333,-10660,11028,1268,124.370434552229,12.6808570086966,0
3365,-10772,11264,1113,118.073651844635,18.0835692818894,0
3398,-10652,11256,1381,118.038119107737,17.9547916982589,0
3431,-10828,11200,973,117.260695490585,17.9257284973692,0
3464,-11096,10928,1135,112.310346123432,14.2358629992824,0
3500,-10756,11192,1600,112.808969649334,13.9885214907011,0
3534,-10700,10960,1086,123.852786376752,20.9395183068157,0
3564,-10788,11160,1471,109.39968818769,11.934626784192,0
3598,-10780,10900,861,110.629632350619,12.9224994114336,0
3631,-10920,11028,1231,111.126752470598,13.0248142131378,0
3664,-10944,11128,1115,111.091006500672,13.0694665538169,0
