Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-6604,-16252,-12959,96.7537570519451,176.595159631868,0
35,-2612,-17272,-20365,98.3138847674994,176.549980980166,0
64,-2348,-17048,-13524,102.444566969835,176.640616257953,0
98,-60,-17436,-12971,97.0389436132997,176.57707611625,0
133,1088,-16836,-8979,102.681550697058,176.629217692494,0
166,2148,-16168,-13070,102.644869549843,176.632797813076,0
200,3364,-16304,-3104,102.575754082792,176.624986466069,0
234,5860,-16796,-4258,102.360795131094,176.735394686019,0
264,4056,-15592,663,102.141517617613,176.723258304835,0
310,4900,-15792,-2210,101.706335818751,176.751421137862,0
333,4996,-15632,1070,101.17591557578,176.802634877402,0
368,4788,-15432,934,100.832866795709,176.800548817014,0
401,5328,-16204,1410,99.4567726819528,177.073621429206,0
434,5144,-15696,1247,105.224686940654,177.29535169816,0
466,5056,-15476,1687,110.054735754894,177.557114126362,0
498,5116,-15992,1707,114.302683714394,178.87519573783,0
532,4368,-15724,2899,113.382809252557,179.789954706714,0
566,4672,-15428,1080,135.832779072033,158.170812470085,0
600,4628,-15784,2002,136.394891449809,157.909264609516,0
634,5560,-16344,3484,136.540813545131,157.599131500133,0
666,3416,-15792,2435,115.601777463555,178.163312446533,0
698,3568,-16256,8663,110.086609260014,156.1197514619,0
732,3276,-15920,3288,116.796218637557,156.180733811302,0
766,1048,-16860,19801,129.137144686397,156.260252598171,0
799,2828,-17716,15061,128.886334915923,156.385426280903,0
834,-1568,-16556,12963,127.883995683806,156.859932994626,0
865,-3340,-17304,22172,127.102923162416,157.33747497281,0
899,-2936,-17912,19716,126.566083850756,157.451060082369,0
932,-7488,-15696,21016,126.276784549734,157.557063961357,0
967,-6912,-16400,28235,125.451239813319,157.914476245652,0
998,-12420,-13240,22817,125.107408332935,158.116564358049,0
1033,-12612,-13728,32767,123.045026259014,159.896298311354,0
1066,-12568,-9312,23219,122.243344395352,159.914647530656,0
1100,-14448,-6532,21038,121.846973060952,159.957461450131,0
1131,-17252,-3896,21646,121.518903526938,160.195392023698,0
1164,-16832,-2400,32149,120.495425983254,160.235334413971,0
1199,-16400,864,27581,120.533330766674,160.247378310638,0
1232,-15832,3740,31277,120.463076853005,161.072013826285,0
1267,-13644,7340,26651,120.59683750376,161.022599747874,0
1298,-12228,9176,20797,120.206915416145,161.297702450021,0
1333,-10500,10224,21047,109.473422341911,161.292252371921,0
1365,-8948,11740,12688,117.577070195899,161.390635422394,0
1398,-8836,13148,8283,110.881760107955,161.560188346741,0
1433,-8396,13572,2637,110.189017473641,161.145925360413,0
1466,-8884,13640,2243,116.050273788285,161.313094360491,0
1501,-9328,13480,744,116.679009709803,161.360520131699,0
1532,-8548,13412,1028,118.277761484994,161.250529967079,0
1564,-9080,13348,767,119.36379347704,160.570115749626,0
1598,-8360,12936,631,119.907339461123,160.338216966905,0
1633,-8736,12704,1013,120.32825830322,160.103931990605,0
1665,-9484,13084,2354,100.40480361367,158.890539401018,0
1700,-9880,13372,567,115.297856750719,158.73764743354,0
1734,-8576,13076,89,110.656936475695,158.264853493305,0
1766,-8632,12900,1785,112.132435965634,157.741083769743,0
1797,-9484,13208,1603,111.304131117372,156.070658569063,0
1832,-9388,13192,-236,113.072098105732,155.444563359712,0
1866,-8728,12784,-277,107.481529165807,154.990163889484,0
1900,-9452,12912,1613,107.436267539095,154.84223155325,0
1934,-9872,13316,877,108.363803464987,154.08480515398,0
1966,-9612,13000,750,108.383742722392,154.081814312656,0
1999,-9280,12868,774,107.618543336897,154.354699886984,0
2033,-9080,12620,1329,129.864447527343,154.183573055954,0
2064,-8996,12852,1657,107.726305781407,154.101750086741,0
2099,-9816,12780,1555,108.703703653201,154.445540263098,0
2134,-9628,12700,587,109.978625014496,155.27758960141,0
2165,-9124,12704,764,110.3738861168,155.370786990967,0
2199,-9056,13040,1515,110.134741162659,155.43084493809,0
2233,-9736,12940,1160,109.823071556745,155.851009240162,0
2264,-9364,12520,615,129.458429171175,155.149402824043,0
