Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,2468,-16928,-2932,97.4961800666409,167.898524628222,0
33,2584,-17136,-1865,101.845025567748,167.951637361376,0
66,3008,-17040,-1624,96.5529619443108,167.968929760065,0
99,3092,-16772,-845,96.0886548934462,168.06664750212,0
134,3088,-16884,484,96.4844375039561,168.236586398094,0
167,2196,-16716,420,98.0824792700888,168.258671241371,0
200,-792,-16848,14527,97.4617348492531,168.298688961651,0
234,-340,-17820,18681,97.3738694491349,168.302749051207,0
266,-4584,-17512,30726,97.3237474420883,168.308033880301,0
299,-4528,-18132,29475,97.5953340291415,168.347800250847,0
333,-9600,-15692,32768,97.4459016103293,168.343057257429,0
366,-8096,-13672,28292,97.5878611623626,168.345673555641,0
403,-15624,-8880,22191,97.6888106205065,168.432240172999,0
436,-14336,-8820,32768,97.7191013898465,168.404813673178,0
469,-15008,-3384,28306,102.169753429486,168.431621055285,0
500,-16500,-248,32768,97.8270667988679,168.415377338717,0
537,-14244,3464,29816,105.761911579407,177.757292067195,0
567,-13304,6324,32768,106.488961128473,177.755024067929,0
600,-12012,9940,23177,107.084254007192,177.594987794829,0
635,-7956,11348,22068,107.827295885601,177.5951548217,0
667,-6640,12804,11593,98.1312503336176,177.135574934902,0
699,-8808,14744,8537,108.295364848367,175.937279515661,0
736,-6632,14584,1179,100.7810880543,174.777686597191,0
767,-5992,14512,2591,107.467723558333,174.850405805783,0
802,-6584,14664,786,107.73160922477,174.56004451877,0
837,-6116,14544,-916,108.300671762357,174.036070749804,0
866,-6624,14684,500,108.491262995577,173.865472241138,0
899,-5900,14332,256,109.17026404837,173.222377381266,0
935,-6340,14528,-992,109.118764915442,173.285913174094,0
966,-5300,14328,-1473,108.691506214052,173.662311176742,0
1001,-6040,14744,-1581,108.648009060865,173.663742614677,0
1040,-6324,14580,-1408,108.694618794074,173.652817140173,0
1068,-6244,14376,-1206,108.602387840193,173.750666214079,0
1102,-6168,14236,-832,108.645808347851,173.575907346364,0
1134,-6580,14776,1208,108.136087040506,174.030201200364,0
1167,-7464,15124,-709,108.099487431258,174.050166070875,0
1200,-5420,14436,-2643,108.383923806128,173.916226820778,0
1237,-5324,13988,-1581,108.367978420868,174.091900071723,0
1269,-6204,14016,-1553,108.145689713581,174.15693965571,0
1301,-6436,14452,-178,107.542227709574,174.183766534116,0
1336,-6708,14584,-1615,98.2563506099195,167.771364939776,0
1367,-6716,14800,-1017,103.602254713758,174.811188276804,0
1400,-6560,14796,-1488,105.509998483832,173.194918684903,0
1435,-6340,14660,-1048,104.980287407664,173.665839775544,0
1469,-6272,14624,-1183,102.985546095185,173.58004163228,0
1502,-6592,14516,-833,103.278955462908,173.36678867041,0
1536,-6244,14212,-1193,103.493550915693,172.884432073253,0
1567,-6832,14632,-684,105.864743606162,171.333377538686,0
1601,-6268,14820,-1181,106.89646236069,171.821609935432,0
1635,-6392,14520,-1054,94.5399586038553,167.567637061255,0
1669,-6372,14460,-1287,112.15687784295,166.956672292376,0
1702,-6480,14228,-945,96.9242438620422,168.002099594619,0
1736,-6076,14388,-1135,103.626193382401,174.005272251101,0
1767,-5956,14524,-635,103.176021444407,174.008547526345,0
1801,-6340,14496,-630,104.042056534868,173.374467511987,0
1834,-6876,14632,-724,103.671480397825,173.392799942432,0
1869,-7084,14780,-1068,105.396119571518,171.256293933254,0
1902,-6008,14448,-2230,105.625268638255,171.899373972506,0
1937,-5776,14440,-1256,105.346762522452,172.204752010744,0
1968,-6780,14588,-445,104.83495113324,172.757190047253,0
2000,-7052,14684,-1922,104.565226402024,172.939788594391,0
2034,-5932,14420,-1611,104.540369428454,173.619248778893,0
2075,-6552,14620,-238,104.516437621405,173.604562035522,0
2103,-6480,14488,-2200,104.651858252348,174.074602138397,1
2135,-6588,14344,-1518,104.78244659075,174.034877866625,1
2168,-6020,14172,-1576,105.086419986695,173.801127825475,1
2199,-6492,14476,-204,104.697940104583,174.377925646152,1
2235,-7068,14744,-1350,104.874165091525,174.35796093829,1
2267,-6268,14320,-1840,104.931169512331,174.833809215794,1
2302,-6260,14364,-752,103.934556201411,173.806138784181,1
2335,-6604,14504,-1126,104.071113332929,175.089652158598,1
2369,-6280,14620,-1077,104.346592047246,175.224138693135,1
2401,-6456,14580,-1247,104.323496732203,174.672262078002,1
2443,-6672,14480,-1183,107.607270294946,174.554916146506,1
2467,-6612,14460,-854,106.607400407143,174.30878932863,1
2534,-6728,14620,-1062,106.332145885308,174.124700224619,1
2555,-6808,14552,-1129,106.103661584566,174.090539891876,1
2568,-6356,14340,-1202,105.425536843801,174.629693467814,1
2603,-6412,14296,-1039,106.542511040686,173.157846911486,1
2635,-6260,14188,-1026,104.958883295301,173.924321834121,1
2668,-6292,14392,-989,104.732298142768,173.982263108294,1
2701,-6392,14612,-996,104.308979255228,174.802298806081,1
2734,-6604,14508,-1067,106.201901467791,175.406491012267,1
2769,-6532,14652,-933,102.264686465106,175.668013674011,1
2802,-6648,14604,-1054,102.371065143834,175.91226987243,1
2835,-6504,14596,-988,102.653054714003,176.00900670378,1
2868,-5992,14356,-771,102.880522528405,176.059929645074,1
2901,-5944,14604,-608,97.4449286899042,176.202590468994,1
2935,-6300,14564,-1235,106.316298817721,176.448581363552,1
2969,-6620,15012,-388,110.040898895605,176.388777926003,1
3002,-6488,14416,-804,110.002592259263,175.929267882898,1
3034,-5964,14640,-387,107.475733518457,176.112486416879,1
3067,-5944,14580,-1113,106.918263474224,175.971339510647,1
3102,-6164,14400,-1811,106.766729327862,175.802766684588,1
3134,-6156,13936,-1414,107.784556108761,173.515846317027,1
