Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-6504,14448,-1190,94.5989509648984,175.193073309765,0
39,-6660,14332,-1229,94.9493765858039,175.162073221585,0
91,-6808,14264,-1124,95.3430772625667,175.061448685539,0
100,-6604,14332,-1048,95.2709416162082,174.948741449905,0
135,-6344,14224,-1022,95.2901730361823,175.031652468843,0
163,-6692,14348,-1149,94.9918047014575,175.034265109938,0
197,-6520,14220,-1236,95.1303365811913,175.145383987625,0
234,-6592,14344,-1164,93.4471173911303,175.346540525688,0
266,-6720,14300,-1390,96.2007229378527,175.52507718113,0
301,-6500,14356,-1131,121.878830223603,175.611104829017,0
334,-6536,14284,-1619,95.5584227456615,175.60503730695,0
363,-6696,14416,-1293,122.243618341914,175.54651505912,0
399,-6440,14464,-1342,96.4473631595938,175.853631826808,0
430,-6680,14520,-1516,96.9084021561545,176.141871798317,0
467,-6852,14340,-1163,96.8766033632228,176.20580892603,0
499,-6628,14396,-1084,97.0841442526345,176.31896162202,0
533,-6816,14304,-1476,97.4482746832028,176.402183769923,0
564,-6944,14452,-1519,98.0914200563543,176.685673521605,0
598,-6852,14128,-1496,97.8978342863687,176.786889904917,0
631,-6768,14280,-1291,98.11598226622,176.859218950101,0
664,-6916,14452,-1189,98.4662401832791,177.051545561812,0
701,-6784,14236,-1250,98.6274616980555,177.195307327112,0
731,-6808,14280,-1269,98.6954964050456,177.219841811038,0
766,-6876,14344,-1483,97.9505490410808,176.708875837981,0
799,-6912,14252,-1090,98.2780477529518,176.708145511966,0
831,-6928,14152,-1144,97.9777440129543,176.764707886408,0
862,-6712,14312,-1053,121.376020237526,176.648679406674,0
901,-7012,14316,-1275,121.594216406988,176.55657039481,0
933,-6972,14240,-1126,94.4618011914334,176.109921537554,0
967,-6948,14392,-1080,94.8606258858114,176.06151962958,0
1001,-6660,14416,-1232,102.712140335557,176.04659941601,0
1031,-6784,14100,-1157,99.5525059685992,175.75455928692,0
1065,-7020,14224,-1138,89.6933463229402,175.30219799604,0
1099,-6648,14172,-1109,94.0767597694534,175.2018474411,0
1133,-6756,14128,-1167,92.5904642898406,174.782614327185,0
1166,-6780,14212,-1104,91.7568360367615,174.517592415884,0
1201,-6988,14204,-1221,89.1715122373482,174.309283771246,0
1231,-6852,14308,-962,89.767848417974,174.336468284683,0
1264,-6968,14404,-1078,90.1406451024218,174.413353908965,0
1298,-6844,14204,-1075,90.2394782194027,174.133616415538,0
1333,-7124,14228,-1116,90.4603785107421,174.099350350882,0
1365,-6688,14088,-1037,90.77352201024,174.082094325121,0
1399,-6976,14440,-982,90.9386856328577,173.924740692399,0
1431,-6728,14140,-1303,91.2697305882895,173.836110584135,0
1464,-6736,14140,-1080,91.8860239942944,173.864299253839,0
1499,-6656,14424,-1070,115.789433721853,173.904015731417,0
1531,-6824,14128,-1143,116.029865935795,173.935766005196,0
1565,-6836,13876,-1520,116.21298650355,173.938240758795,0
1599,-6796,14324,-960,116.14576229913,173.782942688881,0
1632,-6812,14156,-1610,92.4620806657286,173.540241704132,0
1663,-6676,14132,-1166,92.254054844033,173.415847375508,0
1698,-6716,14188,-1523,92.3575617499946,173.452352449619,0
1733,-6992,14404,-1055,92.2411032280768,173.333451568223,0
1764,-6956,14320,-1348,92.1205903228886,173.336298803662,0
1799,-6700,14532,-1239,91.9057870228696,173.126061523253,0
1832,-7012,14452,-1378,91.8502966575705,173.088561134938,1
1864,-6848,14300,-1244,116.341372716547,173.267394709293,1
1899,-7084,14080,-1280,92.2968347920544,173.412471892528,1
1932,-6836,14088,-1332,92.1976447909033,173.368603626567,1
1964,-7192,13816,-1284,92.1096487766005,173.276837981821,1
1999,-6744,13832,-1236,115.624651607591,173.271820400885,1
2034,-6772,14096,-1563,115.640520156296,173.274969872278,1
2066,-6832,13956,-1405,91.9293908223452,172.912666247448,1
2099,-6756,14152,-1396,91.9072291172489,172.908003876261,1
2132,-7124,13964,-1572,114.82262059292,172.910316566581,1
2164,-6720,14252,-1419,91.4575186751045,172.868605692138,1
2198,-7164,14180,-1462,91.5230790093961,172.918130883691,1
2232,-6912,14256,-1604,92.0557975848633,173.214248351149,1
2265,-7384,14088,-1481,92.1538493623015,173.382709070364,1
2300,-7180,14092,-1721,92.2504228528375,173.46474572916,1
2330,-7184,14108,-1143,92.2296733818358,173.448574249545,1
2367,-7432,14076,-1580,92.1705808922762,173.476181116096,1
2399,-7348,14044,-1294,92.9151637768338,173.31814945727,1
2431,-7380,14024,-1431,92.4224191732205,173.271842885151,1
2467,-7196,13880,-1262,92.8098062237171,173.605047016213,1
2499,-7492,13904,-1051,93.2526365219673,173.599207402592,1
2531,-7252,13912,-1262,93.0226554079618,173.562313033775,1
2564,-7492,14076,-1145,94.3991939216453,173.758163841228,1
2598,-7456,13816,-1284,97.2284790921269,173.86720934941,1
2631,-7296,13796,-1174,96.8293772674208,173.93717518642,1
2666,-7252,13764,-1049,95.8104262613098,174.444491763123,1
2701,-7320,14056,-1200,93.8751658103961,174.665800344588,1
2730,-7320,13880,-1278,93.7469545298429,174.901033449001,1
2763,-7248,13820,-1036,94.1567001322257,175.261450019132,1
2799,-7348,13972,-1092,94.1591721344253,175.171513407853,1
2830,-7240,13948,-949,95.1105716637235,175.380884755299,1
2864,-7240,13924,-1208,96.2103783710045,175.946980606341,1
2899,-7312,13808,-996,113.614341587233,163.593016262879,1
2932,-7420,13736,-1204,98.1855934062822,176.479195915563,1
2965,-7248,13864,-1124,98.199756868428,176.490689762519,1
2998,-7400,13792,-1269,98.227436834774,176.477144700998,1
3031,-7116,14080,-1114,98.3783863836448,176.507877521112,1
3064,-7400,13996,-1361,98.3371703139143,176.514144335075,1
3102,-7348,13800,-1007,98.3156476679883,176.5162525905,1
3133,-7312,13748,-1280,98.3870234008427,176.553936490005,1
3163,-7332,13884,-1039,132.211583719927,164.752900956664,1
3199,-7252,13864,-1264,99.134692050089,177.210562929406,1
3231,-7324,13880,-1197,99.2476914121224,177.28913165503,1
3264,-7272,13752,-1211,98.8309266230692,177.17632550296,1
3299,-7348,13776,-1111,98.631552406415,177.098086023212,1
3332,-7276,14196,-1216,100.376463849722,176.642023231784,1
3365,-7516,14012,-1144,100.764940813723,176.214648069328,1
3398,-7300,13896,-1251,98.9274082221911,175.54408667902,1
3430,-7288,13728,-1072,95.2649261534963,174.686351836898,1
3464,-7320,13964,-1097,123.335820954415,171.257642088283,1
3499,-7176,13844,-1244,123.351453664032,171.271778457501,1
3531,-7236,13780,-1182,86.7189055528511,172.384181854498,1
3567,-7404,13744,-1153,86.4859201972237,172.455008064645,1
3603,-7092,13768,-1224,90.4203512847934,173.603978454354,1
3631,-7280,13804,-1004,90.3587775252124,173.611766990306,1
3663,-7344,13760,-1171,89.8928802372064,173.431615881887,1
3698,-7460,13716,-1341,90.6013653553649,173.58339455008,1
3732,-7288,13832,-1152,90.6224621279946,173.577032313418,1
3811,-7264,13796,-1178,91.6569839494965,174.03436931159,1
3830,-7268,13848,-1235,91.4846031858615,173.794148333848,1
3863,-7224,13920,-1071,91.6010585067713,173.725786475295,1
3898,-7328,13860,-1096,91.4803798745814,173.611629018805,1
3930,-7296,13956,-918,91.5608221398935,173.54450608636,1
3963,-7412,14120,-986,91.3999728770447,173.438436846137,1
4001,-7428,13904,-1157,91.402832465349,173.415797178804,1
4032,-7436,13764,-1096,90.9090482759239,173.052725712134,1
4063,-7292,13640,-1159,91.3441676906405,173.163580947087,1
4099,-7216,13668,-1014,90.9433209001163,172.897648917422,1
4131,-7340,13788,-1152,90.810058803847,172.826953285848,1
4163,-7320,14104,-1132,90.8381866114024,172.848895393978,1
4199,-7248,13900,-1121,90.5408840512724,172.773176312405,1
4231,-7152,13924,-1175,91.2330378296057,173.187873386511,1
4263,-7136,13764,-1288,91.1270683716555,173.102361043045,1
4298,-7360,13840,-968,91.0885543609197,173.075153028626,1
4331,-7420,13752,-1138,91.1349378592286,173.125532639497,1
4364,-7332,13780,-1040,92.4854594747914,173.910355456387,1
4399,-7084,13880,-1177,92.5512427617372,173.914226902076,1
4431,-7444,13764,-885,92.4649712910282,173.832374326408,1
4466,-7348,13852,-1156,92.4874240245476,173.931612426672,1
4498,-7196,13876,-959,92.4951737521721,173.915447956339,1
4531,-7032,13872,-1169,92.0388036668916,173.565038850287,1
4564,-7296,13752,-1070,92.060809840689,173.649307918735,1
4604,-7204,13848,-966,91.8249938634337,173.495810436241,1
4631,-7304,13944,-911,91.804856143134,173.423352639157,1
4665,-6820,13992,-1067,92.0069360139889,173.50678543655,1
4698,-7316,13984,-1164,92.0357725014835,173.55841554505,1
4732,-7176,13808,-1192,91.7195316452459,173.402813045214,1
4763,-7080,13748,-1003,91.6156356206346,173.340429141092,1
4799,-7096,13932,-1085,91.7035404526156,173.337835646437,2
4833,-7152,13772,-1035,91.7162113419955,173.334658013529,2
4867,-7268,13864,-1102,91.5383316449375,173.198364955019,2
4902,-7260,13768,-1169,116.257215786276,173.179292725637,2
4931,-7208,13748,-1228,91.8704392017448,173.258600691507,2
4965,-7020,13840,-1005,92.2577883137614,173.558206721983,2
5001,-7112,13836,-1185,92.1973657461104,173.524259336543,2
5033,-7144,13976,-1129,92.4442161724986,173.767067347812,2
5066,-7052,14004,-1326,93.0036082764303,174.170857351687,2
5103,-7220,13932,-1144,92.5084625041233,173.825658391841,2
5135,-7224,13932,-1229,92.2010391921356,173.620130420149,2
5163,-7088,13876,-1172,117.204018752826,173.918512199995,2
5202,-7136,13788,-1167,117.385650746218,174.133869795384,2
5231,-7076,14020,-1120,93.4013019944072,174.072729689868,2
5266,-7228,13876,-1155,93.7445890204895,174.475978470794,2
5301,-7308,13628,-1230,93.938976468633,174.646261070437,2
5334,-7168,13964,-1048,93.7233941663746,174.436102567554,2
5366,-7212,13836,-1134,93.3621202871298,174.185890077179,2
5396,-7124,13816,-1317,93.6944590456144,173.991255318714,2
5435,-7268,13944,-984,93.4672663831707,174.186844069924,2
5465,-7232,13876,-1357,103.097097647705,174.117802502241,2
5500,-7096,13748,-1118,101.359745250313,174.238635983894,2
5535,-7184,13720,-1490,95.1071958478749,174.377209628877,2
5567,-7104,13752,-1212,95.3523631795274,174.710176801511,2
5600,-7056,13792,-1174,96.2992901134864,175.750783029795,2
5634,-7172,14108,-1085,98.1322196614885,176.551802809234,2
5666,-7308,13896,-1196,98.7245897245575,176.770954454714,2
5698,-7288,13756,-1190,98.5604935476572,176.665783353025,2
5731,-7224,13772,-1184,114.945323758305,164.86356970857,2
5766,-7256,13692,-1316,133.000826057014,164.564506283928,2
5800,-7376,13772,-1234,114.82064695443,164.710118625414,2
5834,-7304,13940,-1223,121.749375488604,164.881409665213,2
5866,-7244,14236,-1057,118.827501157333,165.045684698294,2
5898,-7004,13984,-1230,117.983061961884,164.738285220161,2
5934,-7268,13908,-1067,117.695479282443,164.622794555109,2
5967,-6976,13672,-1320,117.000933987363,164.697071126192,2
5998,-7184,13732,-894,115.845967071788,164.739747651541,2
6030,-7296,13544,-1322,114.508203997438,165.119050105114,2
6065,-7144,13964,-1206,132.736303677641,165.20379877722,2
6097,-7400,13844,-1192,114.083520216864,165.272186415104,2
6130,-7364,13784,-1318,131.959809230659,165.738592579204,2
6167,-7216,13992,-1173,131.844532929088,165.780871759513,2
6198,-7204,13788,-1326,131.624224700966,166.004700939971,2
6232,-7348,13760,-1080,90.8428321721758,174.907930131638,2
6263,-7168,13740,-1311,119.294098622226,174.831972496901,2
6299,-7224,13604,-993,97.7213798284253,174.930725870469,2
6330,-7392,13708,-1355,90.0021531395485,174.785857923982,2
6366,-7508,13716,-1037,89.0230696861274,174.687982739433,2
6402,-7232,14020,-1380,88.3466107442497,174.333932218455,2
6434,-7560,13876,-1081,88.6347624254324,174.155445637466,2
6466,-7320,14056,-1079,89.8145914895514,174.094539894497,2
6499,-7096,14168,-1237,90.1618344520099,174.118104574358,2
6532,-6676,14152,-1596,90.2529408714169,173.899792283666,2
6567,-6796,13988,-1974,90.2222597791311,173.724488162304,2
6600,-6688,12980,-2627,90.3328398614378,173.806842037013,2
6634,-7144,12560,-1698,91.2275975507666,174.272626988807,2
6663,-7784,13332,-532,91.8223040100262,174.179986493732,2
6700,-8528,13988,-660,91.8461688732056,174.219204894675,2
6729,-8600,13736,-553,91.9391458969222,174.2712025063,2
6762,-8688,13960,-206,91.6201783106679,173.983406444406,2
6798,-8448,14264,44,91.5717290788684,173.950954290674,2
6837,-8008,14284,-53,91.5234743865139,173.920694172329,2
6864,-7500,13964,-1157,91.4136704124935,173.852280355685,2
6898,-7416,13672,-958,91.193098563092,173.69270142138,2
6932,-7176,13212,-1561,93.187484331786,174.917956837078,2
6966,-7368,13040,-1135,92.7569905412913,174.568135887737,2
6998,-6852,13316,-934,92.5423069305835,174.413773623871,2
7033,-6772,13696,-948,92.2334284342234,174.217909516966,2
7067,-6848,14004,-659,91.9845599956531,174.031442555166,2
7101,-6848,14296,-895,91.5196997192973,173.78258925276,2
7132,-7204,14408,-699,91.7890998337272,173.967550915945,2
7165,-6920,14304,-822,91.6499848051744,173.851666907773,2
7199,-6888,13928,-655,91.4762016559343,173.779114620858,2
7233,-6908,13892,-829,91.2001510760353,173.587559725608,2
7268,-6980,13868,-920,91.4720566589117,173.80810971368,2
7300,-6952,13736,-809,91.393735173542,173.742673736359,2
7332,-6984,14008,-723,90.9438116993784,173.368669412058,2
7366,-6872,14092,-680,90.7779176290372,173.215817161783,2
7398,-6976,13744,-854,91.6987128236329,173.755416086393,2
7431,-7056,14128,-653,91.351057338677,173.549406804186,2
