Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-13320,-728,1163,122.629128611868,19.828518701467,0
42,-12380,-660,1253,122.621171787836,19.8087822783397,0
65,-12992,-428,1132,122.270515123719,19.4512941218161,0
101,-12496,-760,788,122.267734102166,19.4406936912265,0
132,-12664,-616,469,121.005199263551,18.2922201053341,0
164,-12964,-960,867,120.982528767363,18.2409366604998,0
198,-12596,-524,1331,120.950943838394,18.210670637606,0
231,-12876,-716,426,121.151909312864,18.4241388488286,0
265,-14280,-596,636,121.065722129494,18.3879099620385,0
301,-13588,-500,367,120.965898199998,18.360744028553,0
332,-13896,-376,-1503,121.104845331903,18.5103453865548,0
363,-15984,-948,-452,121.107509478994,18.6218868971385,0
398,-17396,-1248,122,120.616666113686,18.5750636215099,0
431,-18572,-2256,-942,121.142068158911,18.7398232695406,0
464,-19352,-1876,2784,120.870346827595,18.9335424275841,0
500,-18952,-2700,3476,120.621616355379,18.7723668407213,0
535,-18716,-2816,3218,120.860261725043,18.9204699193658,0
565,-17264,-3132,4306,120.653050254208,18.8016685309373,0
599,-17136,-1252,4182,120.426715571568,18.7472121800136,0
632,-15748,-1520,5536,120.41031559159,18.7200766661695,0
663,-15952,-1440,5476,120.916909050109,19.0617618559353,0
699,-14796,264,5190,121.210395209201,19.2669877484088,0
733,-14216,-364,7235,121.673040740031,19.6076413199314,0
766,-14636,1980,5506,121.594274696054,19.5184162789761,0
798,-12948,1028,6828,121.524867911564,19.4418630754304,0
831,-12208,2188,6852,121.325920041046,19.2590925746607,0
864,-9952,1864,6394,121.398794997878,19.3419067689276,0
898,-9308,2792,7452,121.587940955941,19.5183622126931,0
932,-6464,2576,8597,121.309445908781,19.3749146514294,0
966,-7792,2608,2479,121.449490060421,19.5019074758293,0
999,-6876,4280,6328,122.890082911094,20.9163296780562,0
1032,-7488,3852,5063,122.902369048924,20.9099086544098,0
1064,-4508,4100,4344,122.640783623435,20.7004813077385,0
1099,-3948,3220,6770,122.441654891065,20.4712140057002,0
1132,-476,4896,5389,122.500294042753,20.5011524302353,0
1166,2500,6688,7444,122.543083436833,20.5427043684086,0
1198,4828,5892,6371,122.387908284455,20.4199021965645,0
1232,4072,6300,-1056,122.134561579693,20.1707323212445,0
1264,1340,6544,-513,121.924508010417,19.9844348750406,0
1298,840,5328,-906,121.63518387488,19.8053509532013,0
1331,-324,5052,-2452,121.536471637154,19.6810556731666,0
1366,-620,5484,324,121.434905883319,19.5686083453658,0
1400,-240,4936,272,121.203377780511,19.3846628212443,0
1432,-1944,5984,101,120.655660998531,19.024346389237,0
1465,-3228,5220,1003,120.776082480608,19.1158425939843,0
1499,-4448,4144,-1390,120.790813523275,19.3731588813837,0
1531,-5876,4676,-6653,120.928422247269,19.5205252881012,0
1565,-6436,3188,-6868,120.915695355667,19.5727331658992,0
1601,-7572,3096,-4400,120.771314375377,19.5206635695263,0
1637,-7948,2800,-3395,120.961945950709,19.7116913030213,0
1665,-9632,3108,-2617,121.007404037365,19.8325535965857,0
1698,-9396,2060,-1876,120.608884615399,19.7205861249299,0
1731,-8992,508,-7983,119.426850483703,19.4607209294553,0
1765,-10692,1084,-7270,117.188730494778,18.0082954971493,0
1799,-10232,532,-2312,115.714998240645,18.2139134699226,0
1833,-12396,728,-1917,114.967929572014,18.4116222897933,0
1864,-14076,124,-1270,131.208915159861,18.513836814399,0
1899,-14808,4,-2449,110.883815234821,16.391483731022,0
1946,-15880,-316,-3252,112.789092705447,17.3672125183002,0
1991,-16620,-488,-2458,112.874629869934,17.9248598563085,0
2054,-17464,104,-2201,111.81760082805,18.8185603679505,0
2123,-16608,-2388,-4512,108.271799335454,18.0238456569905,0
