Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-12832,-5056,203,148.6202396,159.3039347,0
34,-12740,-5460,606,148.5319624,159.2885994,0
68,-12576,-5356,896,148.5439425,159.2849736,0
101,-12720,-5168,226,148.4304012,159.4049922,0
156,-14532,-6216,-520,148.6752053,159.2753263,0
172,-22312,-4384,4012,148.4918374,159.4643241,0
200,-27220,-7724,4475,148.277001,159.5173783,0
233,-31580,-7012,-1836,147.8235721,159.7746361,0
267,-27440,-8572,2152,147.3326342,160.0643815,0
300,-22848,-8624,2969,146.9889308,159.816597,0
332,-19612,-8364,2853,146.9796675,159.7860735,0
370,-16488,-8544,4296,146.635441,159.9431489,0
400,-13640,-7936,5984,144.5994575,160.3095032,0
433,-11104,-6396,4280,142.9057125,160.3882372,0
467,-9268,-4940,5100,139.9128652,160.8008101,0
500,-6548,-3460,6002,137.5132171,161.1505685,0
533,-5240,-1220,6295,118.1103481,161.1084988,0
569,-4052,-1020,10424,108.5406216,161.5843489,0
602,-1396,-276,8674,142.7826979,132.9886912,0
633,1504,1000,6043,141.7773542,130.9273686,0
667,4008,1208,7003,143.5156908,127.5821226,0
700,6804,-852,3683,140.1308939,126.7376066,0
732,4872,-728,2761,112.3987411,145.5757373,0
767,4968,-2332,5303,110.3245956,145.5020984,0
803,3800,-1516,2657,103.0333045,142.7341888,0
833,2196,-1528,2363,102.6490132,142.0376286,0
867,2320,-1732,146,102.0683329,138.4821241,0
899,-744,-1332,2216,102.3413116,135.9910836,0
935,148,-2868,444,105.1195867,128.05722,0
967,1624,-2208,1356,103.5193206,125.7247448,0
1000,1852,-3060,2085,114.9558786,98.8930089,0
1036,3324,-2332,3125,111.6586921,104.6397304,0
1067,4408,-2816,3286,109.5505317,104.4059005,0
1099,4648,-1456,1367,108.2220468,103.9885374,0
1133,5068,-1816,3009,107.4608304,103.5151737,0
1166,4712,-1460,2917,106.7765609,103.5889633,0
1200,4120,-1464,4729,106.8405172,103.7252992,0
1234,2404,-512,4829,106.3388851,103.8456537,0
1268,2644,-488,3149,106.2306097,104.4556767,0
1300,2232,-712,1401,106.2468174,104.6436463,0
1333,-764,-404,-5915,106.2988455,104.621453,0
1367,-2236,-636,-8933,106.2232565,104.6205406,0
1399,-5944,-2208,-2447,106.3367733,104.5877156,0
1435,-10344,-2012,-3608,106.5902303,104.2695193,0
