Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
0,-16296,-1692,-1185,159.437290988225,109.272645085291,148.478340725501,0
35,-16360,-1780,-1021,155.5785045188,109.281236441304,148.474250162856,0
101,-14108,-1448,-1113,155.565751398991,109.172820332755,148.517076176014,0
223,-14088,-1500,-1343,155.320240409835,109.213283708535,148.544747650622,0
235,-14316,-1600,-1404,155.316658783003,109.22513441086,148.515428540533,0
267,-14180,-1548,-1402,155.288840105511,109.25036273635,148.411850024299,0
300,-14444,-1740,-1452,157.013646215955,109.323887025954,148.372364817239,0
335,-15460,-1860,-2233,158.384765145656,109.241878154189,147.985281012987,0
368,-18712,-1908,-4578,155.717309786883,108.806700365376,146.619227954057,0
400,-25124,-4860,-6373,168.059393706868,106.042330850841,138.393927705896,0
435,-27368,-5468,-5641,163.927923393013,107.471190958584,139.645217620604,0
467,-26304,-5200,-1542,161.938146900387,107.740233257278,137.542012850624,0
500,-26312,-5492,-1554,159.906821242321,108.184307289068,134.764013807333,0
535,-21740,-5584,-523,150.675718866722,107.913857037092,130.789691759818,0
583,-19700,-5052,282,166.304594359702,109.521974895341,114.992634074251,0
601,-17180,-4144,1847,170.805187223504,111.558790672279,110.551083737451,0
634,-14156,-3304,-4267,165.802387392224,116.041388923545,107.397940866421,0
667,-12100,-3076,-3182,169.880678536198,111.618883794717,105.984433201448,0
700,-12764,-2940,-1849,168.082922625604,108.551305658909,90.8963464665003,0
734,-10168,-1884,-1351,161.931970409832,248.546779811262,83.8453973068121,0
769,-9228,-1856,-1130,162.563058405096,246.987694546046,70.6444145614575,0
804,-8252,-2000,1399,168.394823176832,254.802548270585,66.9515464526432,0
835,-7588,-1872,-880,169.272689729365,256.244356427783,57.5856713324809,0
867,-6556,-1388,991,169.249025974976,258.293880325761,52.2589371657952,0
900,-6040,-1084,990,168.099941547381,259.491359985429,48.5920490620117,0
935,-4796,-940,3975,168.936947063066,260.667920892261,43.6327064476022,0
967,-3176,-1432,3650,169.194377195768,259.037728418493,41.8867057767242,0
1002,-2548,-420,2628,166.412208894919,257.439676706389,41.2912345482206,0
1037,-1080,228,1287,167.229790126906,256.61836666081,38.9580910350552,0
1068,380,1004,1661,167.846939398231,256.388265484986,35.2335555038772,0
1100,1244,1496,1467,168.38080669654,256.895189526763,30.5941179586541,0
1136,2656,1732,-1445,166.79128402807,254.400379768834,30.2777195212738,0
1168,2764,1076,-1435,165.859846502825,253.45986564928,29.0600377200042,0
1202,4580,808,-1112,166.233693802826,252.716576781636,27.1198546361496,0
1236,3680,1480,-49,167.212462330714,252.153662626313,24.1748352916942,0
1267,3648,632,-2009,168.219924666514,251.746282936003,22.399858874728,0
1300,2216,-16,6,168.441547594675,251.540698459965,21.4066948023267,0
1336,2768,636,-889,168.677053169668,251.331420528329,20.6902141291314,0
1367,2492,1184,-2486,167.528514928952,251.400119215581,22.4524325447488,0
1400,3168,548,-2660,167.739496301682,251.30635567529,22.0606784442221,0
1437,3600,680,-998,167.972641769957,251.252446032418,21.7729378533845,0
1467,4264,532,-2123,168.212974716464,251.213083740715,21.6440228048923,0
1500,5852,976,-1703,168.438512744451,251.238358687233,21.6783739361897,0
1535,6764,1680,-3934,169.12321602132,251.313111666796,22.3390159841471,0
1567,6716,1488,-2763,169.232203220408,251.725976707689,23.4880709802133,0
1603,6472,1916,-2472,169.419975905711,253.015157040253,27.243254026259,0
1636,4368,1504,-2238,169.615847983915,253.897100917152,29.2571614477405,0
1669,3964,1552,-7790,170.481052406149,255.28726390992,34.1605952317983,0
1701,524,-640,434,170.416928994909,256.174808893977,37.8693648839809,0
1737,344,-1060,-1910,168.972647275754,257.448704794964,43.5136284551684,0
1769,-3700,-2584,-148,169.322156891246,258.777171678095,46.5988881009249,0
1802,-8356,-2716,-4473,167.686161503373,260.165670551317,52.1675694089806,0
1837,-7740,-2964,1966,169.447332194518,261.371579061146,56.828825978127,0
1871,-14880,-3072,592,168.115592746848,261.920172499729,62.8092171877825,0
1901,-14588,-4096,-5234,159.147313140804,262.916513192014,70.7802994180615,0
1936,-17864,-4836,-2075,170.884490550686,261.50976306262,75.0002294399008,0
1968,-17432,-4772,-5199,167.28132104306,260.102545246938,78.1918619918004,0
2000,-21448,-6520,799,167.286996969178,264.148986619184,88.6763377525544,0
2036,-21392,-5744,-1758,166.649811312045,97.7197244838736,95.9818399621562,0
2070,-20044,-5212,-1116,172.25339662658,98.8669336823499,96.628819868736,0
2103,-23788,-7136,-5095,176.687884976185,101.142519211321,100.436936031605,0
2136,-24352,-7836,-3014,162.103352239571,112.762181841779,112.226121973984,0
2166,-23444,-5948,2967,164.209674990066,106.817367633629,117.787338303306,0
2201,-20128,-4564,-977,152.275911143597,108.759777443524,132.44829507703,0
2235,-16232,-3304,-1287,174.579723582948,106.697097810985,126.955269187571,0
2268,-18404,-4748,2742,150.281599028801,103.5412189302,137.575701821822,0
2303,-18300,-7300,-2764,167.705723286142,104.37365254016,137.618836937133,0
2335,-14884,-5640,-1320,172.054259784777,103.493554460396,137.676684172046,0
2369,-11848,-3380,-838,169.090588233656,104.932656564506,139.338121829177,0
2401,-12716,-3800,325,161.431295951358,108.124816783734,147.87054199691,0
2435,-14988,-5332,-205,161.878814415959,108.21575405654,147.631039092317,0
2467,-14724,-4736,78,163.387844837132,108.504930382772,147.863515111546,0
2503,-13772,-3960,-2060,163.164854434923,108.425989391248,147.621143011863,0
