Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,
0,-13876,-4044,-835,146.6387282,157.0605989,0
33,-13816,-4168,-1073,146.3354213,157.0455768,0
67,-13716,-3852,-1734,142.8846232,156.8854298,0
100,-14048,-4432,-1666,142.9737814,156.8539271,0
133,-14000,-4396,-1609,145.474607,156.8329831,0
167,-14016,-4440,-1752,145.8200561,156.6325827,0
199,-14040,-4236,-3989,143.5694558,156.5030555,0
233,-15888,-4720,-8529,143.8613808,156.2331799,0
266,-28788,-4684,-5624,144.4397856,155.7726693,0
300,-23752,-10196,-7718,140.2496176,155.4247491,0
334,-28984,-12468,-5752,140.883622,154.8073271,0
366,-26236,-12136,-2505,141.000154,153.4063024,0
398,-23524,-11256,-1436,137.3135233,151.8288689,0
432,-19464,-10888,275,138.0397621,149.5492154,0
466,-17788,-8508,2250,129.2930979,147.233809,0
499,-15096,-7924,3514,146.7111221,129.0526994,0
533,-12192,-6396,2894,136.3406768,138.783089,0
566,-8696,-5068,1346,145.7717441,121.9704661,0
599,-9624,-3764,4442,124.7903058,133.0267112,0
633,-6680,-2320,2319,140.5297928,119.7065182,0
665,-4024,-1176,4417,137.8803899,120.743854,0
698,-3868,-408,3842,138.5837369,108.074633,0
734,-3736,544,4437,133.9684232,114.7066359,0
765,-1312,172,4015,133.6001712,112.2918759,0
799,1128,-372,4664,133.1335463,107.1020968,0
833,3336,-556,2516,133.7150296,103.9233008,0
865,5144,-296,2280,133.6648047,99.45012086,0
898,6052,-296,63,136.2016314,95.17398828,0
934,7100,-356,3202,136.121793,91.68594183,0
967,6252,-1064,-516,136.8315615,88.71113796,0
999,5888,-2368,-2234,136.2708307,86.03676813,0
1033,5340,-2220,-3173,136.5566577,83.73407699,0
1065,6828,-3116,-1104,136.8770154,81.25796662,0
1098,6260,-2332,-2494,136.8268207,79.07510684,0
1133,6076,-1360,-1596,136.7201358,77.13618399,0
1167,8116,-464,-3866,137.3047484,75.13802544,0
1198,7004,-212,-3964,137.5744073,73.24406422,0
1232,3680,68,-3706,137.5674397,71.96643796,0
1264,1396,-248,1859,137.4127695,70.70471981,0
1298,1028,-1016,-797,137.2778498,69.20098655,0
1332,-3664,-2108,334,136.9320616,68.58037466,0
1367,-7640,-2340,2868,136.9891458,67.55708674,0
1399,-7944,-2280,634,137.0771544,66.77554534,0
1433,-11824,-2024,-2553,136.7008829,66.04508304,0
1465,-12040,-2512,-2020,137.0234428,65.1146085,0
1498,-15968,-1944,-1966,137.0288976,64.66763537,0
1533,-16664,-2744,-5366,137.1118073,64.29736229,0
1565,-20184,-3636,-3897,136.9808326,64.1852281,0
1599,-20748,-4660,-5615,136.9260891,64.0654712,0
1633,-22856,-6004,-3347,137.070118,64.05501574,0
1665,-24348,-6800,-3805,137.0292789,63.99432932,0
1698,-23748,-6912,-3041,137.0684783,64.05060428,0
1732,-22180,-5820,214,137.0935719,64.16128301,0
1765,-28084,-29404,26302,137.4192212,64.4643216,0
1799,-21736,-6744,-414,137.5239625,65.06535901,0
1834,-11108,-2468,-513,137.534315,66.01536276,0
1867,-8820,-3328,-193,137.6195188,67.21327487,0
1898,-15028,-6744,2053,137.9076645,68.75858269,0
1932,-16672,-5076,4214,142.1418691,68.61251472,0
1964,-13388,-2248,620,142.6170122,70.91615402,0
1997,-13264,-2992,-3161,143.5109276,72.74790615,0
2032,-14328,-4308,-1668,143.3679026,75.02913355,0
2066,-14136,-3796,-1973,130.0575052,84.56808798,0
2098,-14164,-4116,-2395,137.7223947,84.49998538,0
2132,-14284,-4292,-1271,137.799964,85.39591628,0
2165,-14388,-4100,-87,126.8548013,92.87878595,0
2197,-14064,-3828,-332,129.5054032,93.62647343,0
2233,-13868,-3620,-1150,129.4476843,95.86089819,0
2265,-14104,-3820,-1506,128.7686555,99.7173469,0
2299,-14356,-4236,-1420,126.6417081,102.0851713,0
2331,-14144,-4196,-1195,128.7205828,104.9871474,0
2364,-14068,-3976,-909,125.0818383,107.5184647,0
2397,-13956,-3876,-743,126.6158219,112.4884937,0
2431,-14176,-3996,-1317,126.698334,113.3755809,0
2465,-14108,-4008,-1399,121.8286887,120.8189355,0
2498,-14200,-4208,-872,120.6665258,128.6866621,0
2531,-14112,-3836,-866,117.6621809,133.824557,0
2564,-14136,-4024,-1335,119.78024,134.8501929,0
2597,-14028,-3836,-958,134.3462595,125.0765179,0
2631,-14352,-4104,-1245,126.980601,142.3217816,0
2664,-13932,-4044,-1302,136.1245389,132.278943,0
2698,-14116,-3900,-1740,122.4635763,148.3251072,0
2733,-14432,-4540,-621,133.8110985,137.5429353,0
2764,-15232,-4424,922,131.0726547,149.9260737,0
2797,-16680,-5372,520,144.2027659,140.4512074,0
2832,-26808,-4856,-3243,134.9361461,153.4612703,0
2865,-30016,-7428,-930,148.7710115,140.4279607,0
2897,-27652,-5168,-1298,141.717857,145.9370631,0
2933,-24428,-5432,-3506,131.6622648,157.2195113,0
