Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-15132,-3636,-889,154.4720482,160.4901588,0
34,-15672,-3736,-1726,138.8484755,160.4855721,0
67,-16872,-3892,-2800,138.8207447,160.4926429,0
101,-18044,-3968,-3829,139.0104369,160.4434042,0
135,-21716,-5444,-5225,146.7215835,160.4344298,0
166,-22360,-6152,-1222,147.1007032,160.3495037,0
200,-21336,-6180,1201,155.4889566,160.2732626,0
234,-22200,-5280,-3033,155.6429622,160.1957591,0
267,-19988,-5760,-2084,155.1644159,160.0593619,0
300,-18276,-5648,-1322,155.1749596,159.7807882,0
336,-16128,-5040,-907,133.1515219,159.4747915,0
367,-15168,-4896,-1699,140.0949862,145.2037312,0
399,-14708,-4736,-1160,141.037022,144.1725269,0
434,-14164,-3908,1452,142.4245934,144.6655449,0
466,-13860,-3324,731,133.4147885,143.7085832,0
500,-13560,-3288,2110,131.7443468,141.8722452,0
535,-13020,-3228,539,142.1244008,139.6872047,0
568,-12004,-3328,759,130.9256002,139.4025328,0
600,-11064,-2884,-128,125.467507,148.5756804,0
634,-10768,-2672,625,135.7809944,137.8929133,0
667,-9532,-2332,797,123.8567486,147.0115487,0
700,-9240,-1516,641,138.2695868,131.9978071,0
734,-7880,-848,1791,123.6904148,145.9286687,0
769,-7648,-216,668,138.671,129.7226527,0
800,-7372,-152,638,122.9735934,143.927241,0
834,-6376,-168,969,142.2778392,129.3880019,0
867,-6420,-384,969,124.6993101,142.6277224,0
900,-5748,-656,918,140.2508273,127.5931646,0
934,-5168,-524,512,124.8647364,140.7622065,0
967,-4944,-216,788,139.0286445,128.2311196,0
1001,-4332,280,-17,123.2932411,141.4675564,0
1034,-4032,232,-479,136.8516677,129.5960451,0
1067,-3824,168,-417,120.7195125,146.7523717,0
1100,-3832,-88,-508,134.9691326,129.7029524,0
1133,-3584,-288,-414,124.9166023,145.6453324,0
1167,-3680,-176,-592,137.696768,131.9486289,0
1201,-3648,24,-55,123.1308431,146.1364277,0
1234,-3196,128,-1064,132.8768016,135.0339463,0
1267,-3800,136,-1357,119.8837284,150.0932746,0
1300,-3340,-312,-1468,130.0169653,139.6350103,0
1334,-3960,-712,-1866,126.1504847,152.0746002,0
1367,-4160,-488,-1655,123.7341226,151.8031821,0
1400,-5272,-472,-3409,125.0381425,151.7306974,0
1436,-6552,-1068,-3129,119.9541584,155.0253626,0
1467,-7452,-1680,-3934,136.8108337,147.2736433,0
1500,-7636,-2572,-4292,139.8667421,144.219272,0
1534,-8868,-2892,-3433,146.4607185,144.794351,0
1567,-8996,-2908,-2568,143.7150207,145.197226,0
1601,-9152,-3148,-3836,136.359634,157.3710333,0
1636,-9896,-3212,-3862,142.9372955,148.822122,0
1666,-10192,-3496,-2080,155.4601306,158.4566773,0
1699,-11156,-3652,-3260,152.9213184,158.3979678,0
1734,-11872,-4040,-3343,143.296963,158.2949324,0
1766,-11816,-4160,-2322,158.7609373,158.270365,0
1800,-12812,-5244,-4379,142.131825,158.1636748,0
1835,-13236,-5564,-2702,143.8163295,158.154334,0
1869,-13072,-5512,-2837,143.4934129,158.2270959,0
1900,-15356,-5976,-3752,143.2859942,158.2745363,0
1934,-15184,-6600,-4205,143.0953872,158.3626985,0
1968,-16728,-7168,-1895,143.0335359,158.3685542,0
2000,-17448,-7300,-2716,142.4214952,158.40434,0
2036,-16576,-8360,-2423,142.8641838,158.4139314,0
2068,-19136,-7812,266,142.7476779,158.4251038,0
2100,-18304,-7828,-745,148.6758247,158.4282788,0
2136,-17552,-6740,175,144.9429598,158.4426096,1
2168,-16516,-6980,-1567,145.0380279,158.440222,1
2200,-16036,-6764,387,144.4402958,158.4209982,1
2235,-21628,-10648,-5489,148.9449098,158.4376081,1
2267,-18888,-9636,-3175,144.5898461,158.4188004,1
2301,-11984,-6808,-312,144.2836045,158.4153308,1
2335,-11304,-5888,1620,147.7938364,158.4352645,1
2367,-16072,-6836,2642,146.8472664,158.4458368,1
2400,-16632,-6856,2205,143.3877543,158.5242983,1
2433,-13936,-5264,-842,143.7780125,158.5124722,1
2468,-13700,-5260,-1391,143.3737463,158.4891029,1
2502,-15284,-6468,-905,143.2197888,158.4849061,1
2536,-14808,-6196,-737,143.2576561,158.4841452,1
2566,-14316,-5752,-827,148.4511965,158.5021818,1
2599,-14536,-5740,-653,148.708017,158.4876401,1
2635,-14744,-6008,-935,149.0571062,158.4480947,1
2668,-14556,-5824,-1070,149.1675004,158.4595605,1
2701,-14656,-5924,-1192,149.3868389,158.4470207,1
2736,-14680,-6048,-1202,145.2364154,158.5232498,1
2768,-14544,-5976,-943,148.2649952,158.4919916,1
2800,-14704,-5884,-990,145.3760307,158.5013585,1
2836,-14668,-5660,-989,148.2019561,158.4961716,1
2868,-14640,-5784,-1109,144.4334575,158.4952767,1
2900,-14604,-5860,-1166,147.3752223,158.4773179,1
2936,-14712,-5904,-1023,148.4964553,158.3147833,1
2968,-14756,-5708,-1099,149.1959344,158.0129459,1
3001,-14652,-5820,-1238,149.8748959,157.8519425,1
3037,-14616,-6012,-1075,150.7202981,157.4544619,1
3067,-14736,-5888,-1082,151.7633779,156.7700829,1
3099,-14700,-5688,-1061,134.2117977,155.8308186,1
3138,-14744,-5928,-1013,147.2244217,142.6040385,1
3170,-14592,-5876,-998,146.6479963,140.8317222,1
3201,-14612,-5880,-1147,138.2434889,149.9937406,1
3235,-14728,-5964,-1159,134.51732,149.5665632,1
3269,-14688,-6092,-962,132.0824021,149.0245733,1
3302,-14628,-5904,-950,143.5674328,133.5471266,1
3338,-15720,-6532,-1592,126.5233227,145.6419445,1
3370,-17644,-6444,-3491,141.8951352,128.7470086,1
3401,-20872,-7544,-2520,128.7693955,143.8124257,1
3438,-20632,-8608,-2295,144.5271126,125.4121741,1
3467,-21332,-8536,827,129.8288832,139.4295601,1
3501,-20848,-7916,-2826,146.7714946,124.1369838,1
3538,-19868,-7924,-1098,143.6896918,124.77885,1
3569,-17652,-7696,-1691,120.2394395,133.7606265,1
3601,-16092,-7148,-850,118.103377,134.7684333,1
3637,-15752,-6484,-1340,118.844093,135.4892888,1
3667,-14584,-6620,401,119.7294919,134.7981525,1
3700,-13580,-5952,-470,117.9326865,135.5548507,1
3736,-12772,-5352,1662,115.6956468,135.1128406,1
3768,-11688,-4612,-1290,117.0445448,134.9287939,1
3802,-11680,-4392,-199,118.298304,134.8923926,1
3837,-10372,-4476,1314,119.3274133,135.138057,1
3868,-10532,-4452,452,116.4441453,135.6779946,1
3901,-8524,-4108,752,119.7398223,137.2044831,1
3938,-8020,-3484,565,121.0071883,137.7217902,1
3969,-7060,-3148,-317,135.9890323,127.2077276,1
4003,-7560,-2956,26,118.9959545,141.3881556,1
4039,-7968,-2784,-606,135.7814176,129.5098668,1
4069,-8532,-2744,-996,118.0984084,147.9297595,1
4102,-8328,-2464,-794,122.1259105,147.5910417,1
4137,-9004,-2976,-1333,137.0415245,134.3607904,1
4170,-9488,-2768,-1105,124.4036574,151.8308236,1
4202,-10244,-3388,-2019,132.768443,140.1780382,1
4241,-10628,-3872,-1419,140.5494232,143.937806,1
4270,-11140,-3908,-1172,139.2733193,142.0087116,1
4302,-11068,-4068,-560,133.5948355,156.6571575,1
4338,-10188,-3760,-1357,138.7633151,147.958448,1
4369,-10696,-3820,-1824,130.1943672,158.2922391,1
4403,-11380,-3832,-1130,154.883587,158.380386,1
4437,-11548,-3880,-1888,156.0011189,158.7255507,1
4471,-11340,-4308,-2362,142.5544219,158.8280923,1
4503,-11336,-5020,-3450,156.0887598,158.9234686,1
4536,-11836,-5032,-2682,155.8649408,158.9492527,1
4569,-12104,-5572,-3839,155.7702778,158.989139,1
4602,-11996,-6068,-3988,156.4341109,159.0096053,1
4637,-12516,-6508,-3647,153.0568261,159.052413,1
4670,-12824,-6800,-4156,152.317954,159.1463749,1
4703,-13528,-7464,-5218,141.304543,159.1722929,1
4738,-14084,-7656,-2811,150.071303,159.1953516,1
4770,-14484,-7584,-2216,149.9502989,159.2275163,1
4802,-15888,-7816,361,156.5336815,159.3907736,1
4836,-16980,-8364,-3160,141.2607749,159.3964564,1
4869,-17180,-8508,727,149.154904,159.4081925,1
4903,-17328,-7736,-2951,143.9596744,159.4117386,1
4937,-15620,-7640,-308,148.9568353,159.4085335,2
4969,-14620,-6120,-976,149.0078474,159.3915379,2
5001,-21384,-12988,8144,152.069115,159.4227211,2
5036,-26876,-13388,-4648,154.1663644,159.4566334,2
5069,-14296,-7932,-2826,154.3968387,159.4618309,2
5103,-7564,-4564,4357,154.4364471,159.4738677,2
5135,-11188,-6692,-3842,154.6536642,159.5434778,2
5168,-18652,-9944,1080,154.6393426,159.6152925,2
5201,-15336,-7632,15,154.6403016,159.6414212,2
5235,-12120,-5308,-473,154.665888,159.6531725,2
5268,-13388,-6204,-983,139.9023199,159.6411773,2
5302,-15584,-7480,-916,154.0572268,159.668399,2
5337,-14528,-6996,-1867,151.8447395,159.6726389,2
5368,-13676,-6664,-1068,140.9455106,159.6615308,2
5401,-14536,-7204,-222,140.9548648,159.5960985,2
5435,-14588,-6848,-480,156.394722,159.4532931,2
5468,-14288,-6596,-1333,155.0674285,159.4372268,2
5501,-14300,-6684,-1052,155.2678098,159.4228885,2
5535,-14392,-6784,-815,140.7177293,159.3397731,2
5569,-14336,-6988,-1045,152.5943011,159.2785605,2
5601,-14260,-6972,-711,140.5646231,159.1191855,2
5635,-14492,-6984,-317,147.9221556,158.9547937,2
5668,-15828,-7124,-1375,141.3180218,158.7826043,2
5700,-20152,-8168,-2357,155.0090144,158.2737143,2
5735,-19852,-9092,-2057,156.601531,157.9073878,2
5769,-21932,-9596,-300,158.4403086,157.3288916,2
5801,-20288,-10020,-561,134.5980761,157.2466452,2
5834,-21648,-9156,-2847,132.3806468,156.504579,2
5868,-19008,-9076,-2310,132.4283118,156.0370627,2
5900,-17504,-8368,-653,137.7215072,139.3017951,2
5935,-15868,-7592,-1357,130.7647574,148.891996,2
5967,-15056,-7188,-92,128.8709028,148.9485251,2
6003,-13376,-6596,-568,139.0782605,133.2799715,2
6036,-13068,-6540,-383,135.7807722,145.3688943,2
6070,-13176,-5900,1244,140.559517,129.2632095,2
6100,-12532,-5388,2462,123.418411,141.9616843,2
6134,-11800,-4848,2351,140.6264174,127.2969841,2
6168,-10740,-4252,2440,143.1452098,125.4541102,2
6203,-9400,-3728,1291,143.4156291,124.9431662,2
6235,-8556,-3104,1697,142.6916328,124.0354512,2
6267,-7432,-2456,1391,120.0831577,135.7136803,2
6300,-6040,-1560,751,120.5364069,134.1105522,2
6334,-5548,-816,54,134.4934471,117.1867326,2
6367,-4968,-876,-751,115.3532743,135.1866802,2
6402,-5908,-924,-1565,115.3253281,135.0277325,2
6435,-6392,-1840,-1970,115.2551994,135.0465242,2
6467,-7468,-2192,-2200,115.5714526,134.8550347,2
6500,-8228,-2748,-1479,115.7090499,134.6875819,2
6538,-8796,-2872,-3588,116.7144139,134.0584893,2
6567,-9000,-3628,-2435,117.7752309,133.5226508,2
6600,-9532,-3428,-2901,118.7748919,133.4982472,2
6634,-9240,-3704,-3680,118.766732,134.7311946,2
6668,-9220,-3896,-3350,116.4192149,137.0591959,2
6702,-9852,-3968,-2324,121.0663343,132.7548868,2
6734,-9704,-4036,-2887,138.1227904,125.9182884,2
6767,-9348,-4576,-2640,129.5324372,140.5556877,2
6800,-9840,-4832,-3624,136.6273713,130.1765822,2
6836,-9580,-5168,-3039,120.2854069,147.3903294,2
6870,-9912,-5484,-4386,134.9790819,134.2030219,2
6903,-10180,-5948,-3683,123.8398465,150.5124811,2
6935,-10876,-6104,-2703,140.7109449,137.3838186,2
6968,-11100,-6440,-3124,145.5806446,139.3453786,2
7002,-12632,-7000,-657,132.0678852,155.5270163,2
7035,-12264,-7176,-2044,137.0864587,155.4991044,2
7068,-12140,-6872,-3245,159.4159524,156.3142431,2
7101,-11964,-6864,-1374,158.0701352,156.9105656,2
7135,-14172,-7992,-5143,156.7515322,157.6644841,2
7167,-14576,-9424,-4333,158.839347,157.6574833,2
7200,-16452,-10172,-3410,158.4833373,157.7276156,2
7234,-15804,-11012,-332,157.7213927,157.8167012,2
7268,-16368,-11180,-1430,141.2258347,157.9375877,2
