Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-9148,12108,45,155.8181815,133.2156498,0
34,-9800,12188,-304,155.3485961,133.2662823,0
67,-8824,12096,-310,155.6674234,133.1096436,0
119,-9400,12848,-1084,155.2552842,133.0321398,0
133,-9292,11940,-712,156.605884,132.7173793,0
168,-8420,12272,-661,156.8217511,132.7501664,0
200,-9360,12088,-1034,157.0224621,132.9549971,0
233,-9000,12000,-538,157.0309802,132.8740079,0
267,-9060,12232,-641,156.8013021,132.8718496,0
300,-9064,12232,-196,156.7954469,132.8193235,0
333,-9188,11976,-215,157.0135399,132.8246725,0
368,-9076,12200,-255,156.8433409,132.8520054,0
402,-9308,11964,-86,156.9726171,132.6947943,0
433,-9048,12156,-205,158.0097442,131.8530887,0
468,-9372,12184,-378,158.4149524,131.6171549,0
499,-9216,11836,-189,156.9951453,131.7558578,0
533,-9252,12548,-164,157.4848619,131.0648701,0
567,-9456,12016,-440,156.9412626,128.2295612,0
601,-9324,11876,-389,155.1689991,126.5946338,0
634,-9268,12084,-279,152.1353651,124.1180214,0
665,-9240,11840,-220,151.321748,122.2257007,0
700,-9344,11908,-220,147.2626199,118.5283739,0
733,-9224,12132,-121,148.1486866,115.0448073,0
767,-9404,12164,-227,148.7282413,110.1543371,0
801,-9336,12024,-220,148.9777221,106.1392842,0
834,-9268,12036,-67,147.2614421,101.5366488,0
867,-9300,12020,-249,144.2351403,92.8703289,0
900,-9328,12008,-183,138.5079995,84.79618238,0
933,-9268,12220,-249,134.1893109,74.38409698,0
966,-9348,11916,-170,138.0669821,72.72588106,0
999,-9432,12112,-208,136.0517006,110.5968756,0
1034,-9336,12156,-167,133.9561876,103.5612351,0
1066,-9472,11960,-157,138.6299947,96.9795179,0
1100,-9104,12068,-357,141.0440458,91.51357328,0
1132,-9088,12132,-220,147.1506514,84.4859808,0
1166,-9416,11956,-133,153.5289411,77.46517213,0
1200,-9200,12076,-193,152.3463712,74.46671716,0
1233,-9200,12024,-201,152.3796784,72.45516561,0
1268,-9192,11980,-109,152.0787446,68.71674551,0
1299,-9024,12088,-253,153.8126022,64.45536903,0
1331,-9116,12240,-154,161.8133455,58.323773,0
1366,-9040,12128,-162,159.7689477,57.64930022,0
1399,-9196,12056,-238,160.0871064,54.79453492,0
1433,-9068,12228,-354,162.0317927,51.218005,0
1467,-9064,12172,-437,162.1617868,48.85360105,0
1500,-9184,11804,-599,162.423792,46.5956813,0
1532,-9004,11956,-567,162.7269155,43.9884062,0
1565,-9148,12148,-494,163.2659109,41.94681225,0
1599,-9228,11992,-448,162.8967964,39.96850912,0
1631,-9244,12236,-149,163.9432688,36.56628102,0
1666,-9196,11932,-384,161.8164984,35.58982986,0
1699,-9296,12020,-396,162.969941,33.48573753,0
1734,-9296,12052,-338,163.2318202,31.98632003,0
1767,-9268,12012,-352,163.2535276,29.49481344,0
1800,-9184,12076,-72,163.0059683,28.83033845,0
1832,-9580,11808,-195,162.4184812,27.51030733,0
1865,-9252,11988,179,162.3277793,26.56783981,0
1900,-9156,11940,79,162.2702252,25.50668737,0
1934,-9364,12284,-211,161.9595722,24.60300493,0
1966,-9344,11820,-272,161.4474351,23.85410367,0
1998,-9216,12084,-77,161.2285968,23.46119207,0
2031,-9308,12132,-435,161.0840665,22.89526552,0
2065,-9232,12036,-785,161.3248423,21.9837787,0
2098,-8996,12220,-688,161.3569102,21.62623338,0
2133,-9384,11964,-343,161.4008549,21.45323278,0
2166,-8480,11928,185,161.4530015,21.38599366,0
2198,-9604,11696,537,161.4615605,21.36013857,0
2232,-9260,12716,2105,161.5576904,21.29517521,0
2265,-8536,12764,-1124,161.9449928,21.47026793,0
2298,-10356,11896,-1687,161.9974353,21.70100829,0
2333,-9444,12012,216,162.4286528,22.78875642,0
2367,-8748,12220,653,162.7170776,24.3743359,0
2399,-8436,12304,-71,162.5974184,27.11774347,0
2432,-8892,12236,-50,164.0645234,27.61897987,0
