Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
0,-9048,11520,-724,158.727861891287,122.718279086923,133.913288549951,0
33,-10984,11028,-1454,158.59871332532,122.740755993143,133.950948280839,0
68,-10652,11220,-417,158.661111292611,122.711099736591,133.966339603734,0
99,-10252,11424,-400,158.714728292281,122.70511337009,133.989522475234,0
133,-10752,11236,-624,158.758218715515,122.621705102074,133.983948991514,0
169,-10576,11252,-252,158.963541525663,122.568167499408,133.934010818959,0
199,-10688,11364,-303,158.99111653816,122.603299738771,133.924855423535,0
281,-11912,2348,-714,159.009745485526,122.735946050056,133.825076110998,0
299,-11292,2548,386,159.142627274227,122.817118601032,133.740494011912,0
334,-12052,2516,-192,159.788238508424,122.835941598747,133.407269849701,0
366,-11532,2848,587,161.475434828471,122.73001651375,132.161365555516,0
399,-11548,3100,81,161.565963232641,122.687929307508,132.112686550919,0
432,-11628,3296,210,161.969319173851,122.675815163706,131.919129112802,0
505,-11648,2984,-556,161.812312575188,123.014899132584,131.249647349856,0
534,-11692,2724,-1110,149.785684553197,128.576456491071,133.393528298202,0
568,-12000,2612,-1278,149.355767426726,129.117143020309,133.137376627869,0
598,-11756,2832,-1110,148.726541214274,130.198042580088,132.391295115981,0
633,-12256,2640,-997,148.089934692106,130.644028827308,132.077584334836,0
666,-11984,2672,-1107,147.500513094962,131.038317835173,132.224721717814,0
701,-12248,2344,-1738,161.642779155154,124.195054643433,126.295039709645,0
737,-12676,2472,-871,160.383759327658,125.390701923907,126.511821253997,0
771,-12612,2848,-1309,160.393835452057,125.704316165409,125.994966795258,0
802,-12952,2544,-3474,160.208818766374,125.725124736799,124.66858632983,0
836,-13360,2368,-3969,159.684846985858,125.720416580794,124.485542510621,0
870,-13908,2432,-5192,159.306415201085,125.643456294355,123.469419648886,0
901,-15740,1780,-5490,140.984771079856,134.568603117603,132.019249650778,0
936,-16516,1376,-2381,140.15385485698,135.258664453761,131.032726127251,0
967,-16632,992,-3259,140.470269694603,135.885406301493,130.035821864535,0
1001,-16856,520,-2575,140.036820992002,136.475320896755,130.164121218737,0
1033,-16408,240,-3342,139.585115778943,136.922823557449,130.126932814324,0
1068,-16776,-336,-2286,138.081425724077,137.53096708181,129.999359431143,0
1101,-16412,-652,-861,138.918294239096,137.795842767631,129.030119170765,0
1135,-16320,-472,354,138.784611522156,138.332164457748,128.077489513656,0
1170,-16340,-520,131,136.215046613204,138.710315212008,128.689188015231,0
1201,-16544,-332,-420,134.45496373655,139.10549551368,128.167582695259,0
1233,-16220,-496,-676,135.921952951909,139.160314706139,127.240456439196,0
1267,-15964,-468,-468,136.40787856614,139.229861187874,126.96603667388,0
1301,-16404,-268,-208,135.704169737456,139.574670331391,127.552240393863,0
1335,-15912,-216,188,136.293392952234,139.535327448573,127.407973850181,0
1369,-16040,-280,-265,136.254240648407,139.567851737185,127.868263523262,0
1403,-15748,-360,907,136.277019905301,139.628747226565,127.615503824023,0
1436,-14748,-236,-286,138.761897951439,139.438506266633,127.684575186836,0
1467,-14136,-148,364,138.040411383635,139.554023957387,128.496370423468,0
1501,-12164,248,347,139.088857565557,139.201131845093,129.111368177093,0
1535,-10332,748,328,139.576920643511,138.96228506849,129.843837659351,0
1568,-8796,1476,563,139.895663836516,138.517116855004,130.521294849724,0
1603,-7916,2340,1506,139.696038950332,137.530545849054,131.529966578484,0
1634,-7012,3220,747,139.171165511895,137.034285271684,132.851524586328,0
1667,-7160,3300,-111,139.864496567212,136.520154139063,132.69706903155,0
1701,-7840,2816,-23,140.467539150518,136.142257123449,132.972045451141,0
1733,-10196,2504,-685,140.693641164912,135.464535309427,134.267114020447,0
1768,-12144,1920,-568,141.862948286731,134.840919065698,134.439897871109,0
1800,-13700,960,-423,160.149965102554,125.585565237196,128.128829972,0
1835,-15748,412,-21,160.77854687788,125.19840978604,128.55563391626,0
1866,-15824,36,-221,161.43833442711,125.143195244808,129.206470021698,0
1901,-17364,152,983,161.492022057012,125.378353811532,130.26119624452,0
1933,-17284,300,846,161.411670374065,125.01821363968,130.418087262257,0
1968,-17156,284,-206,161.210600751127,124.796261729828,130.780011931053,0
2001,-17252,460,-150,161.235099521222,124.535215633136,130.807951775792,0
2034,-17296,704,-719,161.342545351783,124.296613801932,130.721805159375,0
2068,-17560,1116,-307,161.452056803042,123.881428337362,130.209793209122,0
2101,-16932,1364,-1835,161.683707343492,123.661735157667,130.085701269291,0
2134,-16216,52,-6014,161.501077618835,123.564769626982,130.472733072873,0
2167,-16300,-740,-6764,161.472399268229,123.417382990428,130.627975845284,0
