Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
0,-14720,4716,9584,163.086175210696,115.11736279022,131.509869352088,0
33,-14700,5964,12504,163.094984476058,115.187720227371,131.495105577007,0
66,-12744,6768,15022,163.112418979617,115.139818145767,131.465398172543,0
99,-11148,7796,7401,157.676242182106,116.64682581356,135.519809982671,0
132,-11908,8792,1580,163.460469118065,114.939682220268,131.301028448988,0
166,-12532,9032,1406,163.344658381759,115.024649404402,131.316886362986,0
200,-12104,8940,764,164.971740307664,114.664299607971,130.61375787142,0
232,-12368,9096,378,164.896652492134,114.785098126681,130.658553504675,0
265,-12336,9184,627,164.064468921635,114.920649453256,131.063234075172,0
299,-12260,8964,706,163.506267902604,115.052683048567,131.294512547736,0
331,-12316,9156,179,163.860715718335,115.319065489228,131.145334444795,0
365,-12196,9140,155,164.144532227204,115.24600979161,130.930212183985,0
399,-12248,8980,263,165.296173044202,115.329794779504,130.379310155901,0
433,-12124,9012,267,164.392443956346,114.950712392578,129.198265501131,0
466,-12116,8896,72,164.613895723721,115.107027751601,127.491065902133,0
499,-12084,8980,-72,161.435804368883,115.152635144152,126.082482249666,0
531,-12236,8996,-125,163.457367192922,114.551464282291,122.185484067271,0
565,-12360,8916,-389,159.81327531521,115.424127693294,122.367966931836,0
598,-12544,8800,110,161.736727840435,116.225973331152,111.132666530453,0
632,-12392,8648,93,163.327711252253,115.189107981393,106.381884894277,0
666,-12472,8732,20,157.081918243315,114.859705715581,103.709731810515,0
699,-12376,8668,93,148.926362310662,114.870719998605,101.451953782417,0
731,-12420,8764,103,152.156089406787,113.948399075831,102.167189844576,0
764,-12456,8592,205,150.51626409275,113.741137324598,104.902098877997,0
798,-12436,8632,111,149.876524804155,118.631411773154,99.5173547976521,0
832,-12328,8716,449,144.489729738855,238.86479106092,94.0966135745921,0
866,-12360,8936,8,154.395159406156,247.804560607058,82.9469327176471,0
900,-12504,8684,-258,151.136388421619,249.135316873037,80.5219518310286,0
932,-12284,8584,45,152.005156852319,250.836615650415,74.8612339519831,0
965,-11884,8072,-2651,152.195290169667,251.933533768412,69.8617154617794,0
999,-11720,7720,-9023,152.06580984892,252.285911447206,66.8864472133661,0
1032,-11896,6188,-19501,151.877099461807,252.677776616268,62.3287586937947,0
1066,-14536,4328,-23211,152.062911607085,253.416820115499,57.8047384228018,0
1100,-14632,1748,-24930,151.560582087666,253.825690625534,54.4112087453962,0
1133,-15768,-572,-21531,151.779675955976,254.745934965309,49.3189312755616,0
1165,-15400,-3084,-17649,150.950631186162,254.451117307912,48.0296289217299,0
1199,-14196,-5120,-13838,152.111544266033,254.807847378505,44.5070713517539,0
1233,-13992,-6396,-12089,151.779184982155,255.03208509494,40.7218543600424,0
1266,-12748,-7796,-9574,152.957027203766,255.684110784831,37.8652540909607,0
1299,-11776,-8968,-14381,151.9955377733,256.015467438593,33.8433316779227,0
