Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-8096,13488,165,144.2270775,142.4619502,0
34,-8076,13504,176,144.5971778,143.1346696,0
67,-8048,13528,111,142.746133,143.2440648,0
100,-8080,13592,195,144.5750655,142.2906826,0
135,-7912,13504,-630,144.5363574,142.5697663,0
167,-7800,13376,-1661,145.2217291,142.603206,0
200,-7992,12884,-7925,146.2738448,142.0656248,0
233,-9224,12508,-11823,148.1947379,135.6357029,0
266,-10452,11500,-13918,144.2658983,142.5819758,0
300,-11400,9956,-18955,143.0078774,142.8294628,0
334,-13244,8768,-16198,147.0186247,136.3279923,0
366,-13044,6836,-17120,144.4916645,142.0446513,0
399,-15040,5568,-14974,143.7508363,142.7047374,0
435,-14808,3928,-12230,144.7102967,142.003454,0
466,-14964,2176,-12678,144.8593303,141.9419168,0
499,-15112,840,-14969,145.0549961,141.7292082,0
533,-15144,-740,-15764,146.8537148,137.3471361,0
568,-16064,-1912,-14141,143.4164491,142.5723828,0
600,-15356,-3640,-10587,145.0563219,142.4584763,0
635,-15684,-4528,-8890,145.2362678,142.3294186,0
665,-16600,-4936,-737,145.1012063,142.2835783,0
701,-16004,-4964,9074,144.2402074,141.7637279,0
733,-15368,-4028,13700,144.1838864,141.8262973,0
767,-15188,-2292,16279,144.733154,142.4375685,0
802,-15676,-160,16629,145.0978206,141.8938417,0
836,-15064,1684,17937,144.8813145,142.0406128,0
866,-14376,3412,17976,143.8721089,142.474435,0
899,-13924,5460,15970,144.2448178,141.7296458,0
933,-12692,7076,11503,144.5285939,141.687319,0
967,-12760,8480,7725,144.6360683,141.7454982,0
1000,-12488,9268,6389,145.4343171,141.1683018,0
1036,-12176,9956,6585,152.1951355,133.7621129,0
1068,-11672,10248,5301,151.8866453,133.8671551,0
1102,-11440,10512,5087,151.7104781,133.9790304,0
1134,-11032,10860,3781,150.8281851,136.4267588,0
1167,-10924,11148,3754,153.760071,132.2688727,0
1200,-10660,11360,3556,153.1473954,132.3192532,0
1235,-10588,11632,3558,152.2650775,132.5375023,0
1268,-9932,11564,3530,151.6265059,132.5818545,0
1300,-9768,11796,986,148.3169228,137.3621576,0
1333,-10036,11976,16,148.6460789,136.5479928,0
1367,-9968,12000,100,152.6792346,128.9380235,0
1400,-10308,12008,261,147.0135551,128.0701483,0
1434,-10200,11948,343,149.2849944,128.1351733,0
1468,-10288,11908,392,156.7270058,125.5618063,0
1501,-10132,12048,860,151.1688973,125.0344835,0
1535,-9968,12012,371,152.0731045,123.5618396,0
1567,-10176,11984,158,150.7797182,122.918371,0
1602,-10064,12012,254,150.9012853,122.8278093,0
1633,-10168,12120,296,147.4916049,126.60935,0
1666,-10044,12028,314,158.3149559,116.2800767,0
1701,-10084,12028,253,156.3030301,116.3684776,0
1735,-10104,12180,400,155.3223778,115.2277238,0
1767,-9968,12036,149,160.7604616,113.6440786,0
1802,-10100,11868,341,157.4354315,116.8275385,0
1834,-10012,11972,135,153.5527329,107.8758939,0
1868,-10116,11868,287,156.8701309,111.2573326,0
1900,-10072,11876,254,160.4504141,102.82951,0
1935,-10196,12060,338,158.7312954,102.7438713,0
1967,-10204,12096,266,157.5414175,102.467165,0
2000,-10020,12064,182,160.8024091,101.8965579,0
2034,-10080,12004,260,156.2475991,101.2620553,0
2066,-10056,11936,395,156.9610449,100.8548235,0
2101,-10068,12040,323,159.0093613,100.725117,0
2134,-10128,12064,344,158.9997885,100.661627,0
2167,-10256,11984,168,124.524972,128.5900914,0
2200,-10188,12076,275,126.227628,126.9437425,0
2234,-10144,11888,375,128.1574096,126.6430879,0
2266,-10080,11888,297,128.5508842,126.4065326,0
2302,-10024,11880,236,130.228602,126.3628562,0
2335,-10136,11816,301,132.7985947,124.9106662,0
2367,-10120,11904,305,133.4387936,124.9295757,0
2399,-10124,11980,66,135.5295955,123.7258262,0
2434,-10240,12020,101,142.7840539,118.6939094,0
2467,-10112,12120,-137,156.71645,103.1971091,0
2501,-9748,12024,-1134,157.7794128,103.2884385,0
2534,-8020,10408,-7265,158.7125415,103.5993407,0
2568,-10892,10028,-22277,148.0360619,120.6829571,0
2600,-12508,8424,-17089,152.1073761,111.9445404,0
2634,-14532,6956,-16746,146.1822386,121.7080636,0
2667,-15044,5440,-12612,154.5801837,115.7193672,0
2701,-14996,3912,-13309,147.2830925,126.129515,0
2734,-14656,2424,-13130,161.8341799,122.5915019,0
2776,-15512,280,-16764,142.5135752,129.6738483,0
2806,-15100,-1792,-14222,148.9336138,122.7138746,0
2834,-15812,-3188,-14662,153.6918157,125.0235705,0
2866,-13696,-5116,-12296,155.046528,125.2880676,0
2899,-15640,-5760,-13552,156.4354746,125.5211036,0
2935,-13972,-7332,-9692,156.4379947,124.6530817,0
2967,-14664,-8084,-8465,150.984948,130.7587221,0
2999,-14116,-8580,-604,152.6552707,130.158035,0
3036,-14616,-8040,6726,146.1922667,140.7612241,0
3068,-14616,-7592,15604,155.3037059,131.4723157,0
3100,-13680,-6220,13086,144.0823334,142.0052207,0
3135,-14592,-4604,10789,154.7305886,132.0459611,0
3166,-15432,-2960,12416,142.885701,141.9558414,0
3201,-14912,-1988,11956,153.827848,132.4187199,0
3235,-15480,-256,13154,144.2127985,141.1764155,0
3267,-15224,1168,13473,144.336484,141.0765804,0
3302,-15628,2876,15444,144.2827169,141.063636,0
3332,-14648,4532,17235,154.6774306,131.8400703,0
3366,-13688,6100,16579,145.1249414,139.6778239,0
3401,-12612,7868,14089,154.3229779,131.9149843,0
3434,-11684,9084,11631,144.4059003,141.2894271,0
3467,-11184,10092,8008,154.0533776,132.1985831,0
3503,-11560,11216,8263,145.0095033,139.8764825,0
3534,-10072,11220,9026,153.8751981,132.4688087,0
3566,-9920,12136,5999,144.491787,140.5010081,0
3601,-9132,12484,6556,154.3886789,131.5520186,0
3635,-8552,12740,2493,152.1658887,131.9509121,0
3666,-9000,12956,1032,150.8605075,132.6404532,0
3700,-9088,12984,1339,150.9253396,132.6843218,0
3733,-8924,13076,1085,150.8418117,132.7543157,0
3766,-8884,12996,1334,142.6649922,142.0549807,1
3801,-8692,12896,1037,153.1254338,132.7308484,1
3834,-8700,13084,617,150.5338308,133.2623371,1
3867,-8784,13008,345,150.5234839,133.3205595,1
3902,-8836,12960,452,150.1984502,133.5809886,1
3933,-8672,13176,243,150.379998,133.7891022,1
3966,-8616,13116,343,150.7421223,133.8142218,1
3999,-8648,13036,188,148.3881175,135.3606873,1
