Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-17792,-7824,23016,154.4889924,158.3763542,0
37,-12956,-7880,27383,155.1805091,157.9898579,0
65,-17024,-3396,24369,155.7340431,157.5799101,0
99,-15696,-1496,20478,155.8998333,157.4480362,0
138,-13092,192,14102,156.7442513,156.8226543,0
167,-14196,2316,1968,157.6815769,155.7773943,0
201,-17412,4032,10915,160.8961428,152.2764281,0
236,-15200,3792,22943,160.8961736,150.4764662,0
265,-12528,4656,15820,166.9426103,143.8084631,0
300,-14628,7776,11586,151.8794186,143.0124535,0
336,-14044,8916,20246,160.771041,136.0169611,0
369,-10716,9860,14274,157.0857701,131.7711179,0
402,-10212,11532,10020,159.7470135,126.8781018,0
433,-8580,12336,-7712,158.3575241,121.8588455,0
466,-12832,13868,-5020,157.6240221,118.2430926,0
499,-10460,11504,177,146.3324191,121.0326108,0
533,-11048,11476,-2025,140.1402931,119.8640357,0
566,-10984,10912,-791,136.9830926,117.0035832,0
602,-11024,10960,-1342,130.26886,115.0938923,0
633,-10892,10848,-1771,134.4260918,107.0840268,0
668,-11304,11500,599,129.8411996,103.922576,0
699,-10472,11760,-7,132.5431845,92.33920453,0
732,-10940,11516,-2079,135.2839715,88.7622877,0
765,-11584,11296,-1476,131.8576463,85.00507005,0
799,-11200,10916,-1439,133.9364722,80.71307997,0
838,-11912,10780,-2050,132.0279441,79.72653095,0
869,-12012,10776,-2922,132.5663392,75.33094443,0
898,-11768,10704,-835,131.4480783,72.10980354,0
934,-11972,11260,-838,132.1170569,68.61845196,0
965,-11496,11496,-1014,133.8210356,64.15912437,0
1000,-11788,11988,-1305,134.7427399,62.006755,0
1036,-11084,11124,-1750,133.0574798,59.98429568,0
1070,-11224,10972,-1133,134.08084,58.08327753,0
1100,-10864,10948,-1101,133.89644,57.282336,0
1134,-11036,10776,-991,133.4675251,56.86581666,0
1166,-11232,10844,-1284,132.2666554,56.91497279,0
1200,-10916,10948,-2038,131.9693838,56.47280123,0
1234,-10900,10928,-1103,131.6484735,56.36551674,0
1267,-11184,11088,-963,131.3545625,56.57699639,0
1302,-11092,11036,-936,131.2624079,57.12598295,0
1335,-10608,10324,-2217,131.3388474,57.74233531,0
1366,-11264,10760,-799,131.4604819,60.18162435,0
1400,-11880,11436,-476,131.3519717,63.75180095,0
1433,-11400,11260,-325,128.5167504,70.64738884,0
1467,-11620,10836,-892,131.2008821,74.6878597,0
1502,-11464,10664,-121,127.0005972,83.80049717,0
1537,-11784,11092,-572,130.484432,86.66964281,0
1566,-11436,11004,-847,122.118322,92.19346115,0
1600,-11268,11464,-406,126.9668715,100.6227673,0
1633,-11140,11860,1204,130.8206639,104.1871123,0
1665,-10256,11600,-730,131.2529261,109.6218549,0
1702,-11108,11492,-1575,133.1514795,110.7304201,0
1737,-11204,11300,-1381,127.0851141,122.4628451,0
1766,-11288,11408,-718,131.6376962,124.1976699,0
1803,-10892,11128,-1094,132.7628179,129.9741991,0
1834,-11048,11128,-1087,139.7982874,131.7964607,0
1865,-10996,11400,-80,144.080153,133.5740269,0
1900,-10968,11240,-756,146.4858563,136.0681403,0
1936,-10936,11044,-1495,148.3345533,134.8045729,0
1967,-11068,11256,-727,152.0998624,136.4661334,0
2000,-10864,11724,-648,158.0910841,137.7966296,0
2034,-10640,11792,-1139,163.9931002,138.7766008,0
2067,-10896,11464,-1615,164.3722783,140.2265624,0
2100,-10812,11912,-736,164.7810276,141.376531,0
2136,-10768,11832,-1373,157.3538892,150.621599,0
2167,-10640,11708,-665,160.9640032,149.9847302,0
2200,-10780,12012,-1255,160.5584232,151.9777217,0
2235,-10548,11912,-1256,160.3989877,153.4816371,0
2267,-10504,11612,-1296,160.4766427,153.6479851,0
2300,-10628,11496,-948,160.0926987,154.1671962,0
2335,-10920,11412,-857,159.9550218,154.368478,0
