Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
0,-32767,-32768,-32767,144.499246641724,107.0417236413,163.880415218488,0
34,-12464,-10244,2767,144.404649045875,107.106423901641,163.866999583782,0
63,-7752,-6944,6263,144.376525800767,107.528880915828,163.804078867713,0
99,-9560,-6152,-269,144.416001230585,108.070556749137,163.6964267183,0
129,-9008,-6192,994,144.411539353893,108.410488343202,163.591748760922,0
164,-10864,-5376,-1695,144.386261897561,108.746798946438,163.388878632325,0
198,-9292,-6664,-1172,144.215232085818,109.474426337872,163.296574479881,0
230,-12092,-6932,-1901,143.795421334759,110.042728728728,163.198838247709,0
267,-11632,-7204,-252,139.544255097209,110.831832649324,162.981092685155,0
299,-11252,-7296,1914,141.810651939022,112.353489471253,160.421302339807,0
329,-10156,-6016,-1322,126.395231469772,113.352656165943,159.129795809697,0
363,-10688,-6272,-2811,130.908326267931,115.983764027043,152.656175324088,0
399,-11144,-6916,-2029,122.949127565636,115.877832501242,152.790125041932,0
429,-11056,-6864,-789,116.810853398042,116.116004554869,152.810013389378,0
465,-10640,-7076,-1556,128.214518603624,115.347108053211,139.50836160071,0
498,-10544,-7204,-2717,122.070790775764,115.08820964458,138.680660305774,0
529,-10408,-7388,-1440,118.363402000577,115.525512289021,135.351301754022,0
566,-10060,-7444,-941,115.297836813409,116.708642860661,131.890769659904,0
598,-10440,-6832,-6300,114.63871714023,116.563647473019,123.282283994924,0
630,-9872,-7804,-3617,111.296199686496,116.973204495826,119.372492512268,0
668,-9600,-8592,39,108.988003363136,116.990587975526,116.372746269954,0
699,-9676,-7916,2125,101.865551131112,117.238034253381,114.108321391033,0
734,-9952,-7052,-245,100.492819419697,118.131241470091,111.291535446338,0
763,-10320,-6888,-655,98.8059525655471,118.396072303623,109.143022807285,0
796,-10168,-7176,-1328,95.8530023813376,118.730894185494,106.818480061803,0
833,-9932,-7676,-1535,98.7040648270814,118.979820250877,103.424360344264,0
862,-9844,-8092,-2113,97.3647522593895,118.929876505998,100.164998908573,0
902,-9964,-7596,-984,96.9510533076804,118.979231928799,99.1830638833216,0
932,-9952,-7464,-983,96.7125036016268,118.838519389555,98.1560509841597,0
965,-10192,-6844,-2356,96.4374284480417,118.900372552728,97.4013303856016,0
998,-9988,-7320,-2908,96.4211992487678,118.973809566612,97.2037453623186,0
1029,-11384,-6808,-7119,96.2802684941427,119.064910886257,97.2430142102321,0
1064,-19000,-8420,4232,96.1938045013168,119.123910687124,97.4733254289555,0
1098,-22188,-15292,-2497,95.7295777536464,119.653965403207,99.0728380119389,0
1132,-26932,-16152,-132,96.3656195638992,119.877428868328,101.92382303525,0
1166,-24440,-15104,-2861,96.2899848021889,120.055611891386,104.579317748098,0
1197,-20804,-13352,-4348,98.5980168563376,119.855140133159,106.84898739551,0
1229,-15620,-11128,-4603,99.2580165554627,120.291961462056,108.737941797448,0
1264,-15368,-9260,-7616,101.32148446643,119.835257325822,111.212382963008,0
1297,-10440,-9080,-5636,104.146696540358,119.489348432128,112.358968714005,0
1330,-11712,-7764,-6845,108.770955633094,118.888512760367,114.629939200938,0
1365,-11580,-7560,1075,111.025300139233,117.961052606399,116.138963407521,0
1399,-8004,-7504,-760,112.129691728423,116.72633830089,119.214563950405,0
1430,-8068,-6488,5582,115.780375368813,115.737359546817,121.499631259513,0
1463,-4168,-5768,-1594,105.259878005227,119.03988430084,140.994598691882,0
1496,-4108,-4676,-4292,114.575867018923,113.762601402351,130.558281368395,0
1531,880,-3944,-372,107.460959562982,118.810345857996,146.306994242953,0
1563,1284,-3520,-497,116.433750646069,113.835421748042,140.26212869503,0
1600,5596,-2736,668,111.965481943268,115.169721391898,150.195326225403,0
1631,9844,36,12008,118.725977235966,112.769069946318,145.048238205945,0
1664,5312,3612,-4102,135.576660024533,112.603840253479,144.664105687021,0
1697,10036,3092,2252,115.321430206837,112.028453691361,153.987927570881,0
1730,10180,4436,718,124.934349172382,111.143928438134,147.955881979864,0
1763,12948,3392,3967,129.877158910987,111.244455223004,147.643516163272,0
1801,10800,-812,4528,134.607771468984,111.204132020514,147.555656426438,0
1830,11676,-2428,-105,138.204207463335,111.285806406404,147.560789718722,0
1863,12004,-2720,2978,149.671121612265,111.423376066986,147.705657874971,0
