Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-13960,7268,-2692,171.1529665,16.18600687,0
33,-14316,6484,-5609,171.2959234,16.61739132,0
64,-15468,5472,-11974,170.6367795,16.83409568,0
99,-16700,4464,-7657,170.0268961,17.31885167,0
132,-15640,3352,-10547,169.5882167,18.12807887,0
165,-18180,3160,-3373,169.791475,19.81382968,0
199,-14848,1780,-5679,170.3500288,21.22648705,0
231,-15948,800,-7600,169.0280606,22.51517642,0
265,-16088,96,-12512,167.1433212,25.30635574,0
299,-17336,-1104,-13059,166.7723152,27.28840086,0
333,-17152,-2704,-12295,163.3726011,30.14270224,0
365,-16512,-4388,-11955,166.7953309,33.52494947,0
399,-15104,-5756,-9917,167.3228068,38.15407943,0
431,-16840,-6068,-6227,175.5230922,43.32309061,0
463,-13120,-7724,-9663,172.5975082,45.46838352,0
496,-15408,-8316,-5829,172.1560966,49.37703052,0
533,-14184,-9208,-9902,176.2200117,52.34817656,0
564,-13008,-10496,-7995,173.3479125,55.16612671,0
599,-15072,-10588,-9206,175.2886323,57.5015394,0
632,-13316,-12112,5006,168.6437599,65.10418411,0
665,-13736,-11492,5809,171.7067512,65.57692385,0
699,-15160,-11112,14595,173.4484275,66.05554805,0
733,-14932,-9900,20298,170.1675528,67.0031592,0
765,-17336,-7264,24631,172.8606147,71.19499974,0
799,-16572,-5452,28505,169.4362778,72.7767139,0
832,-15492,-2992,27824,174.0647193,84.55845421,0
901,-15644,552,18109,170.9602324,90.86879954,0
931,-16760,2948,18848,169.5574309,95.53123954,0
965,-15364,4696,21070,165.5687138,99.83998987,0
1000,-14196,6472,21076,167.3625979,107.3858138,0
1033,-12576,7868,20654,173.7397295,111.9318056,0
1067,-10984,9484,12125,175.9071771,118.0071733,0
1098,-11436,10556,4237,173.6939989,120.9536724,0
1132,-12264,10940,69,163.2849835,126.0929984,0
1167,-13044,10708,-520,171.3242803,131.3624975,0
1201,-13192,10344,-29,170.2318688,131.4956685,0
1233,-13172,10144,443,171.4558618,134.2484804,0
1265,-12960,9792,1172,162.9135756,139.9182233,0
1297,-12636,9688,982,165.7429205,139.8342706,0
1331,-12780,9712,1255,162.0563065,141.144399,0
1363,-12556,9552,462,161.0887454,144.4974785,0
1401,-12968,9644,866,159.7954921,145.3780991,0
1433,-12616,9664,832,158.2436804,148.8409951,0
1463,-13080,9824,290,159.6816726,148.6038462,0
1498,-12852,9840,-154,164.0137383,148.2387007,0
1530,-10944,8732,-8198,163.9903279,148.0397872,0
1564,-14724,8296,-11893,164.2360874,147.3269436,0
1599,-15284,4936,-29479,163.0369142,146.6332757,0
1633,-17508,2984,-31418,164.6665191,141.4325843,0
1714,-18900,1000,-23112,163.6975123,133.6592497,0
1733,-16080,-2184,-17055,164.8899445,131.6713828,0
1764,-16300,-3788,-14270,163.4213009,128.3282802,0
1799,-15364,-5180,-9200,162.973643,126.155175,0
1834,-14760,-6604,-10204,164.3373354,122.4338663,0
1865,-14264,-7360,-9948,160.1988866,119.5155785,0
1899,-14332,-8452,-7356,166.5077745,115.4482008,0
1931,-14324,-9592,-8719,178.0985864,112.1907954,0
1963,-14860,-10584,-4672,171.7974434,109.7700596,0
1999,-14412,-11316,1832,173.237471,104.3000419,0
2032,-13232,-12428,-82,169.1215476,101.217464,0
2065,-14956,-11468,-2931,167.072689,98.46086413,0
2098,-14056,-11324,4456,172.0754539,93.68577867,0
2131,-14332,-10372,8165,176.7005208,90.34698274,0
2163,-15608,-9296,18329,175.7161059,84.54911977,0
2198,-15240,-7880,22967,174.8901024,86.75111565,0
2232,-15900,-6048,26319,173.6391233,81.47426854,0
2265,-15068,-3800,23827,177.6174223,74.68880986,0
2298,-15456,-796,19311,169.5411625,70.93313017,0
2330,-15700,888,16938,174.5454759,59.44472891,0
2363,-15800,2636,14558,178.8032557,54.91929193,0
2398,-15812,3956,12592,175.9232366,48.54833675,0
2431,-13236,4304,1253,174.5922652,42.53693584,0
2463,-18140,5468,-2018,177.0043342,36.57039806,0
2498,-17324,5348,6104,175.911647,34.15237558,0
2531,-15548,4948,8419,176.005042,28.90485514,0
2563,-15064,5296,6194,175.4756939,25.754887,0
2598,-15084,5616,5109,174.8792598,22.15064503,0
2630,-14744,5912,4360,172.4871515,18.26629472,0
2664,-14680,6048,4850,173.4497088,16.81528897,0
2699,-14636,6552,4023,173.2089596,16.15911975,0
2731,-14536,6972,3255,171.8859405,14.15176356,0
2762,-14616,7176,2576,171.4695459,13.97902307,0
2826,-14516,7516,1956,171.1608388,13.8713523,0
2841,-14684,7648,2072,169.8214766,13.45247335,0
2864,-14560,7912,1768,169.7758353,13.4401893,0
2898,-14280,7612,1588,169.6905642,13.20767459,0
2931,-14120,7568,1323,169.3482111,12.96182407,0
2963,-14360,7388,1007,169.1579998,12.77439526,0
2997,-14452,7424,1395,169.1235504,12.67861325,0
3030,-14204,7528,1674,169.0385444,12.60241238,0
3063,-14356,7760,1640,168.9962359,12.55856041,0
3098,-14332,7708,1416,169.0072634,12.53868409,0
3132,-14408,7704,1423,169.0662604,12.56969217,0
3163,-14192,7784,1833,169.269635,12.51134324,0
3198,-14020,7856,986,169.5324545,12.56113833,0
3230,-14348,7940,1633,169.7173921,12.66752003,1
3263,-14144,7860,1475,169.7779225,12.66293467,1
3297,-14252,8032,1804,169.8964119,12.7331449,1
3331,-14080,7752,784,170.1043928,12.86111357,1
3366,-14188,7932,1563,170.2319017,12.89000843,1
3399,-13924,7892,1118,170.4015796,12.92359809,1
3430,-14016,7856,1339,170.4745004,12.96257527,1
3463,-14272,8020,1184,170.4434508,13.00143405,1
3497,-14144,7940,1229,170.4763776,13.02322572,1
3532,-14280,7740,1295,170.5470015,13.0958253,1
3567,-14260,8048,1273,170.4990452,13.08708925,1
3598,-14000,8112,1150,170.6556665,13.20896359,1
3630,-14212,7892,1162,170.7688511,13.35570448,1
3663,-13904,7964,1188,170.7025362,13.42081867,1
3697,-13968,8000,1158,171.0683981,13.77564793,1
3730,-13988,7896,1149,170.8808517,14.37924474,1
3764,-14032,8168,1427,170.7272729,15.05614209,1
3800,-14132,7976,1115,170.1239673,15.82891528,1
3831,-14140,7920,1539,168.3039231,17.40707563,1
3863,-14104,7828,1119,169.5558682,18.52761514,1
3898,-14172,8156,1486,171.2747828,22.52482858,1
3931,-14192,7896,1208,172.0432249,24.66875326,1
3963,-14208,8020,1790,168.4282531,27.88774024,1
4001,-14040,8092,1497,169.9781888,30.83667474,1
4030,-13944,8036,1533,171.7540193,35.28735731,1
4124,-13836,8172,1245,176.6701104,43.88022715,1
4137,-14028,8324,980,174.9643676,48.83438268,1
4163,-14016,8124,1317,174.3975584,50.86364089,1
4200,-14056,8300,1391,173.1402722,54.15604744,1
4230,-13948,8236,1231,172.855158,56.59043186,1
4264,-14000,8176,1196,169.7422432,58.81121725,1
4297,-14000,8336,1399,172.2539781,63.70050474,1
4330,-13968,8284,1667,171.1359573,65.40715404,1
4364,-13776,8172,1127,172.6887818,70.01858429,1
4399,-13836,8184,1135,163.9251292,71.71971036,1
4432,-13796,8332,1329,161.4020506,75.6148213,1
4469,-13880,8216,1076,172.6654712,85.36865049,1
4500,-13932,8244,1326,173.0055534,90.91999253,1
4531,-13984,8204,1262,171.9275923,97.43017551,1
4563,-14112,8384,1194,169.0311833,102.7500756,1
4598,-13948,8364,1250,166.6335777,108.313493,1
4630,-13940,8392,1339,172.4501692,112.9059667,1
4698,-13824,8288,1141,168.8571955,119.3726695,1
4711,-13812,8488,1386,174.7479265,119.3579717,1
4733,-14072,8336,1452,169.887441,125.1952056,1
4763,-13716,8468,1513,176.6632702,129.7074798,1
4803,-13848,8336,1060,176.1014929,131.9510942,1
4830,-13796,8408,1441,140.6966957,127.2000498,1
4947,-13812,8380,1240,164.7285223,138.2879289,1
4966,-13796,8304,1348,156.5506885,143.7166482,1
4999,-13924,8548,1455,155.3247222,144.3029556,1
5030,-13836,8408,1296,151.6763123,146.1992871,1
5064,-13844,8460,1508,152.3923326,146.1281103,1
5152,-13736,8548,1520,166.6509054,145.9722448,1
5168,-13524,8612,1196,160.1718677,144.9154448,1
5200,-13572,8704,1382,157.6001607,144.101505,1
5232,-13924,8584,1288,158.1047787,142.3007124,1
5263,-13724,8560,1267,161.0916408,140.5168991,1
5298,-13756,8716,1216,160.7469121,137.8030511,1
5332,-13792,8476,1054,159.8853003,135.4898584,1
5364,-13544,8700,1264,177.4525121,131.0501509,1
5398,-13760,8672,1278,175.9217877,129.6200111,1
5432,-13588,8368,1204,131.0508491,126.4408848,1
5465,-13800,8680,1187,168.053697,123.2869582,1
5500,-13764,8612,1168,173.436814,118.5018145,1
5533,-13628,8656,1091,169.571782,114.2501725,1
5564,-13696,8596,1199,170.4165581,110.6064421,1
5598,-13512,8632,994,170.2285855,105.2177357,1
5632,-13696,8604,1338,168.0294881,97.81056999,1
5665,-13792,8428,1101,169.8155361,97.71803027,1
5698,-13848,8752,1379,177.9090609,93.89925985,1
5732,-13652,8872,1327,171.2163728,86.41325549,1
5764,-13576,8640,1649,154.6730348,79.77333103,1
5798,-13404,8620,1381,160.4101442,71.85404831,1
5832,-13012,8400,1536,174.0916868,69.97472316,1
5864,-13656,9008,2631,168.1307224,67.16025625,1
5898,-14184,8960,4101,171.0085052,65.79565354,1
5932,-13192,9024,2620,178.1881643,58.40481884,1
5967,-13400,9512,-191,177.905513,53.59137923,1
5999,-12800,9320,1610,178.5839239,48.62549305,1
6031,-12984,9396,1310,175.4433649,41.170621,1
6064,-12868,9140,1773,175.754095,37.12686872,1
6097,-12736,9388,-1571,174.0410234,32.71708783,1
6131,-13672,8296,-3027,174.8000152,29.3402741,1
6165,-14400,8688,1166,173.4337478,24.72452838,1
6199,-13416,8540,1755,171.8783977,21.1512964,1
6231,-13896,8580,1495,173.0719244,19.16500424,1
6264,-13760,8460,1215,173.9093879,18.58291471,1
6297,-13820,8688,1545,173.7583052,17.8630765,1
6331,-14004,9624,2937,173.8775422,16.8687359,1
6365,-13344,9792,2755,172.9848186,16.12168842,1
6400,-13340,8940,1147,172.0120026,15.43372232,1
6431,-12868,8504,1394,172.2163999,15.36436775,1
6465,-12916,8760,1386,172.342902,15.24624775,1
6496,-12884,8412,1200,172.4478598,15.16190902,1
6530,-13380,8708,1222,172.7462702,14.84386101,1
6565,-13420,8876,1883,172.6869274,14.64982182,1
6600,-13528,9044,1574,172.576868,14.40846588,1
6631,-13540,9396,1349,172.5703543,14.29742915,1
6663,-13632,9564,1540,172.3125955,14.04192838,1
6698,-13336,9256,1204,171.9020059,13.82910689,2
6730,-13416,9344,1365,171.7788331,13.62215229,2
6798,-8328,9496,-11216,171.855492,13.53286629,2
