Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
0,-8048,12684,-1096,140.159009309037,119.415340484337,8.76898094706674,0
49,-8080,12632,-1064,139.952036918271,119.500092376988,8.64860266716615,0
61,-8216,12600,-1107,140.039352153517,119.062384893175,8.58319084578185,0
93,-8172,12432,-987,140.089660025939,119.137721614488,8.5893447174342,0
126,-8116,12552,-1144,140.322163718717,119.030824944883,8.75521179762909,0
161,-8184,12564,-986,140.481213848541,118.948118433142,8.80980673498972,0
194,-8240,12660,-790,140.618670741274,118.933887153354,8.88770357161421,0
230,-7920,12284,-1037,140.45768801881,118.791231494742,8.91719417264704,0
263,-9744,12264,-595,140.537132132625,118.774855358852,8.97569740107545,0
294,-9164,12656,4277,140.544161647869,118.706870852626,9.00387420573134,0
328,-8724,14428,6588,140.073421776433,119.049913859231,8.78544110648792,0
361,-4300,12028,2612,139.837733564461,119.090645651008,8.75137204544299,0
395,-5572,12324,-5387,140.006563098236,119.008711531871,8.83956179013148,0
427,-5468,17844,-2494,140.126196187503,118.985612577174,8.8563956215805,0
460,-5984,13556,-6983,140.286311207099,119.008211825594,8.87731483645647,0
492,-7696,13348,-7369,140.698366921111,118.837029745628,9.03801791675324,0
527,-8132,13200,-7272,140.576765688908,119.019406856484,8.97085501817332,0
561,-8096,12696,-8059,140.644727215372,118.993759185434,9.09825405389714,0
593,-9840,12576,-7695,140.674951544682,118.995117202974,9.13188226223006,0
627,-9948,11820,-6628,141.019896389549,119.148186041978,9.8571974000654,0
661,-10584,11492,-5201,141.154095066239,119.232666580668,10.1969004138227,0
693,-10524,11588,-3850,139.178002052586,119.27903671568,10.9261286045088,0
726,-10652,11484,-3233,137.039883078863,119.455219724062,11.8503170113334,0
760,-10896,11288,-4058,136.855534747468,120.032314281179,14.2731284304915,0
793,-11024,11136,-3470,137.033108104416,120.87491130772,16.4523027864671,0
828,-11000,11308,-4258,132.886638244039,121.321771128825,17.7148335225159,0
864,-11100,11048,-6944,135.624663697047,128.624611973496,22.8229385100501,0
894,-12060,10276,-8216,129.694646312177,129.662890089908,23.052732676338,0
927,-12752,10344,-9653,158.575751055837,118.924927368081,45.1659664872105,0
961,-13880,9528,-9483,157.119495330597,120.282008603377,50.5126581199138,0
993,-14728,8936,-6430,151.513733408984,120.000479700399,51.2236177998084,0
1026,-14288,7436,-4673,146.493324148871,119.777582332128,51.8381982624636,0
1063,-15044,6156,-5547,134.355606583614,130.993394866189,49.837169413808,0
1094,-18344,6020,-1726,149.594978776824,125.254477092357,66.755346913453,0
1127,-16920,5140,2182,127.075738954108,136.69157020201,54.1501988588772,0
1160,-15640,5004,-2812,144.384628909806,126.248448070802,68.9033153597243,0
1192,-12468,4160,-912,146.57957821171,124.578227400888,74.329929478452,0
1226,-9872,3908,-442,152.099328273237,123.469594882958,79.6335511681184,0
1264,-9356,6196,864,150.431029470209,123.123904575348,84.9311721993777,0
1295,-8048,7984,1563,151.068359374099,237.126505442438,88.6103068530612,0
1327,-8560,10016,-2115,151.93205724975,238.099511934615,93.3888974758008,0
1361,-8996,11464,-4643,155.582346292922,240.608987478692,99.5243765893428,0
1393,-7808,9568,-9682,155.632644188374,241.973927069236,103.173964824425,0
1427,-8132,8448,-11481,158.214201952318,243.814156227206,107.974067814519,0
1460,-8104,8644,-9997,158.192164920895,245.098894114602,111.607926915524,0
1495,-7204,8816,-9824,159.834887265636,245.449563706788,114.952911873611,0
1529,-5884,10416,-8076,152.930806521724,240.713620822396,120.67925076324,0
1561,-4756,12220,-8232,152.271191283001,240.862862179494,121.797602441293,0
1593,-4588,14088,-6602,152.394181076375,241.494268970149,125.009366764463,0
1627,-3816,14328,-5653,153.758043645967,242.346226908238,127.160048287335,0
1661,-6004,15532,-3210,152.533914943136,238.963884122224,126.853642568055,0
1694,-5696,15568,-2703,153.436595861267,238.560115511027,128.910109783353,0
1729,-5180,14508,-2273,153.889319414715,238.828383382621,130.333456680101,0
1760,-5348,13304,-3584,155.683839993443,239.734872657829,133.251021438737,0
1793,-6876,13560,-3258,155.484035626184,240.030585331911,135.046569208134,0
1826,-10292,20252,-9013,153.888828700024,240.114375615713,135.74310323307,0
1860,-8180,12856,-6281,153.763583559729,240.382206888479,136.837771806912,0
1894,-8500,10308,-4234,153.991209480728,240.693243619695,137.724194173867,0
1929,-10284,12704,-2696,153.316309791905,240.721382950621,137.845534280201,0
1961,-8296,11872,-1780,153.527475694141,240.858375604704,138.108706284205,0
1994,-8612,11524,-1049,153.537140992322,240.876863950174,138.260724242488,0
2027,-8984,12636,-1527,153.42249765365,240.950041178277,137.901881838084,0
2061,-8484,12076,-2179,153.364918204403,240.93276254346,137.853200683538,0
2095,-8272,11560,-3222,153.757371963223,240.887161389001,137.632221998251,0
2128,-9040,12168,-3944,154.345696728151,240.889131917182,136.91247523628,0
2163,-9608,11736,-3545,154.321307688724,240.369548445113,135.763297345523,0
2194,-9872,11368,-2739,153.566165661838,239.928407398206,133.418499912438,0
2227,-9756,11656,-1850,152.903849576835,239.328219133254,130.567749457361,0
2260,-9660,11708,-2175,151.432155079419,238.297270983919,126.909713903012,0
2293,-9592,11980,-2179,150.844748895506,237.384544828071,122.977504366866,0
2327,-10156,11620,-2236,147.368469615984,236.665347441812,117.334810564429,0
2362,-10396,11024,-1573,145.830843099012,235.701495084321,113.977379464855,0
2397,-10376,11488,-849,142.76113845217,234.669241966563,106.97367624781,0
