Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-16508,-2212,-23434,172.6853473,21.80090971,0
26,-15156,-5112,-19273,172.6065449,21.77379944,0
58,-15532,-6424,-17556,172.5401402,21.77379603,0
92,-13336,-8444,-18150,172.4896269,21.72592116,0
125,-14080,-10092,-18314,172.457948,21.71022705,0
162,-12116,-11652,-16421,172.4286681,21.68984208,0
194,-11928,-12624,-16236,172.3840615,21.67041707,0
224,-10856,-13488,-15731,172.3432837,21.65295081,0
258,-10496,-14464,-9682,172.3100459,21.62531323,0
292,-9240,-14708,-8515,172.3365007,21.60815904,0
324,-9300,-14784,-3949,172.4086129,21.61738401,0
362,-7788,-14908,64,172.3828628,21.61646993,0
392,-9004,-14824,4426,172.2994019,21.56770299,0
425,-9956,-14208,9094,172.2927445,21.58598204,0
457,-8952,-14176,8325,172.2974149,21.54000262,0
491,-12264,-12864,7048,172.2935946,21.53251243,0
524,-12712,-11908,15565,172.2795073,21.54183605,0
557,-13676,-10272,12767,172.2903454,21.54299167,0
592,-14868,-8788,20441,172.2623554,21.89874442,0
628,-13600,-7584,18227,172.3407735,21.99260312,0
657,-16232,-5356,22294,172.5627254,22.51827562,0
691,-14220,-3168,12464,173.1332097,23.73862744,0
725,-17772,-648,19552,173.8603513,27.10742849,0
758,-12732,500,14736,174.1751084,31.64338231,0
792,-16236,3380,12425,169.80207,33.92315459,0
827,-13964,4148,14814,171.517498,39.14071038,0
857,-15328,5648,2004,169.794999,41.88348249,0
894,-16264,6404,11199,174.7963982,53.41212769,0
925,-14396,6372,7707,171.1537954,53.64352732,0
958,-15472,7956,8978,169.1701374,58.018954,0
993,-12572,8944,16319,165.6223843,72.88632175,0
1027,-9656,9784,13821,163.1661658,78.15660653,0
1059,-9264,11360,760,169.974954,78.62574273,0
1093,-11772,11604,-822,164.8957085,80.33899114,0
1125,-11224,11328,-1171,161.8778928,82.66996125,0
1157,-11656,11432,-1528,158.1100811,99.86318642,0
1193,-11068,10748,-789,159.459259,101.1843536,0
1226,-11432,10860,-3142,161.8542506,107.8619183,0
1260,-12216,10924,-218,164.8089795,111.2003031,0
1293,-11704,11212,640,165.548163,113.8435363,0
1325,-11432,11072,-1037,165.6409443,117.1562764,0
1357,-11084,10984,2,165.8759231,122.1037598,0
1395,-10172,11076,1274,165.2394198,125.6582467,0
1425,-10584,11508,3246,167.690461,125.3314652,0
1459,-10140,12092,3007,168.2420405,127.8496934,0
1495,-10220,12152,-1558,168.867348,130.440921,0
1526,-10208,11772,-2344,168.438926,133.9879321,0
1557,-10252,11828,-2672,157.9084777,135.7460979,0
1595,-10544,11812,-2985,165.6336117,135.9208256,0
1626,-10748,12224,-1928,165.2214176,136.7400458,0
1660,-10348,11928,-1397,164.4826199,136.9656722,0
1696,-10376,11724,-4418,165.2466907,137.2298198,0
1728,-11404,11880,-4439,165.8610493,137.2302193,0
1759,-11616,11040,-3197,166.292623,137.0803356,0
1794,-11412,11084,-1050,167.7659763,136.5004579,0
1826,-11556,10840,-1155,168.5130192,135.7795578,0
1858,-11360,10912,-908,169.9476043,132.5017817,0
1897,-11352,10800,-926,166.7989966,131.1863644,0
1928,-11208,10876,-680,169.2130009,127.5346745,0
1957,-11360,11384,-1400,168.8488146,125.6403996,0
1994,-11372,11188,-1284,167.4606334,123.1121327,0
2026,-11288,11056,-1361,168.8670564,118.5576896,0
2059,-11528,10888,-951,167.3816274,114.3588786,0
2096,-11580,10796,-1240,166.4373591,102.72632,0
2128,-11496,11072,-1268,166.2217775,102.4668395,0
