Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
0,-9572,13040,-1824,155.816453326372,111.025006227487,9.43987543781931,0
27,-9736,13156,-867,156.107480666315,111.259918086412,9.62205984577293,0
61,-9040,12472,-2610,156.626215971716,111.59784672168,10.1543978974009,0
96,-9268,12700,-4720,157.054038229018,112.41894049545,10.6359399858968,0
164,-6796,-4900,-3621,158.482345235539,113.502492236659,12.4650761967966,0
196,-8736,-5052,-2479,158.373086162233,113.825664193656,12.5296868347574,0
229,-7808,-4892,-1210,158.288047782647,114.199234273687,12.632591433228,0
262,-7024,-4288,-44,157.543303721663,114.369531321957,13.1341067375963,0
296,-7180,-4252,-1444,155.028036811168,115.168875877026,13.7797038662414,0
328,-7056,-4608,-1422,154.217925720884,116.056915263861,15.4008242507179,0
361,-7456,-4764,-3515,149.402602628506,117.189456388054,19.0373817463669,0
413,-7428,-5256,-3168,148.83644584439,118.162878124875,19.7791127940393,0
429,-7608,-5448,-2055,146.362269769564,119.488172816207,21.3175550617181,0
461,-6900,-4940,-1418,143.404376577916,120.61653232083,22.7485673921338,0
495,-7708,-5648,-1125,143.439059411024,121.094877132837,24.4965716047384,0
528,-7524,-5164,-1100,140.520395529483,120.78531919112,24.7572654769093,0
561,-9060,-5692,1009,140.801016462725,121.570062916039,25.7884832687273,0
597,-11632,-6124,6299,140.481576607618,122.096271419825,26.8905596052911,0
629,-11100,-7036,364,140.879429905052,122.804330369786,28.8154795349137,0
661,-14648,-6448,-5622,141.245286071391,123.25892019486,30.0988531933531,0
695,-16520,-6640,-1504,140.551355362492,122.976788533613,30.0128219534123,0
728,-16160,-7720,-1362,140.286702656457,122.868111657168,29.910123418597,0
761,-15316,-8048,-2042,139.457225973654,122.716895042348,29.8361219738456,0
795,-14216,-8244,-2000,139.312276285732,122.668670643715,29.6169326314004,0
831,-13752,-8940,-1450,139.423264033472,122.697779910283,29.5799418595971,0
861,-14124,-8628,-204,139.589297041083,122.737769310451,29.4040386592491,0
