Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-4852,10704,-3484,152.8693845,12.59779241,0
32,-6560,9148,-5779,152.715334,12.66979576,0
67,-8544,11592,-2752,152.0652116,12.49538497,0
99,-7988,9992,-4223,151.5659281,12.4199981,0
132,-8500,9708,-870,151.2725566,12.47015955,0
167,-7636,10404,900,151.3656824,12.79323355,0
201,-7552,10424,817,151.3634212,12.88925649,0
232,-7772,10548,540,151.546301,13.11383817,0
266,-6708,10496,-78,151.619386,13.19635727,0
299,-7596,10536,-1377,151.7818146,13.36889816,0
332,-8808,10468,213,151.7028886,13.41795086,0
366,-7796,10304,2054,151.6359087,13.5843774,0
400,-7416,10276,516,151.2501742,13.78949328,0
432,-7708,10084,157,150.4683927,13.89365415,0
466,-7892,10316,921,147.5170759,13.85936266,0
507,-7448,10596,1077,145.4843328,13.88118976,0
531,-7480,10312,2551,145.3837433,13.96031854,0
567,-7896,10240,1011,145.1164015,14.1170448,0
598,-7492,9896,2063,144.6547933,14.26089831,0
632,-6056,10592,1759,144.2203565,14.48417722,0
666,-6560,10580,-1170,143.5439366,14.84538736,0
699,-7544,10224,-1030,143.0317262,15.593021,0
732,-7584,10264,-285,142.7303856,16.45810795,0
765,-7464,10116,-442,141.5073663,16.55002363,0
800,-8164,10364,127,140.1285918,16.46011623,0
833,-8076,10084,675,138.5555124,16.38082853,0
868,-7844,10084,803,137.3117363,16.43128047,0
901,-7528,9912,859,136.8404827,17.00274378,0
933,-7800,10068,689,136.1693338,17.10244018,0
966,-7612,10148,1001,135.4907143,17.94362297,0
999,-7692,10220,908,135.2350518,18.81264599,0
1032,-7648,10132,1512,135.0901818,19.65625297,0
1067,-7708,10428,2149,134.5838364,19.93791398,0
1103,-7008,10364,1389,134.5966194,20.07102083,0
1136,-7472,10096,154,134.6459138,20.28494527,0
1165,-7892,10108,-31,134.5748245,20.3190786,0
1200,-8284,10380,934,134.5621231,20.34665898,0
1232,-7824,10540,823,135.0884117,20.33193901,0
1265,-7576,10424,565,135.2092202,20.11926253,0
1301,-7864,10116,168,136.0436032,19.88549125,0
1332,-8028,10268,184,137.9228781,19.55886029,0
1365,-8116,10156,-572,140.952393,18.0407251,0
1399,-8368,9972,-367,143.1365798,16.80744198,0
1436,-8768,9972,1379,146.0499003,14.65376037,0
1466,-8280,10160,2526,146.9596732,12.0116179,0
1503,-7608,10036,2353,145.4427772,9.862017738,0
1535,-7564,10124,1609,143.9159155,8.323177959,0
1565,-7820,10456,1474,143.7930102,8.272290132,0
1605,-7596,10444,1491,144.0753967,8.349196167,0
1632,-7512,10376,992,144.6919624,8.445383281,0
1666,-7940,10476,779,144.7581844,8.450840335,0
1699,-8004,10296,995,144.8470495,8.440408273,0
1737,-7968,10456,1255,145.4179843,8.655067508,0
1767,-7768,10260,1102,145.6811272,8.704098202,0
1799,-7636,10268,750,145.8023558,8.769686229,0
1835,-7816,10484,562,145.8532143,8.775356845,0
1865,-7728,10348,-464,146.203727,8.901911963,0
1902,-8032,9892,-6628,146.3345707,9.036327024,0
1932,-10712,13292,-8832,146.5541584,9.142180331,0
1966,-9716,12592,-10174,146.4470566,9.230925933,0
2001,-6884,3704,-28777,146.1485974,9.184778657,0
2035,-12260,1452,-32768,146.1219123,9.225446774,0
2067,-16212,-3828,-32768,146.2577264,9.290939237,0
2099,-16716,-10968,-32768,146.4371932,9.343559789,0
2135,-17232,-12212,-24662,146.9570202,9.553936494,0
2167,-12192,-13296,-9367,147.1645475,9.708802833,0
2200,-11668,-13524,-10721,146.9856459,9.625503862,0
2236,-11492,-14036,-3745,147.1144913,9.622429256,0
2266,-10364,-14408,-1851,147.5034221,9.586831403,0
2300,-10336,-14436,1209,147.3678313,9.555179141,0
2333,-10132,-15156,1866,147.2494032,9.484546908,0
2365,-9924,-15308,2090,147.1016121,9.365783376,0
2402,-9864,-14672,3328,147.0431193,9.263589187,1
2431,-9064,-14112,3060,146.9766843,9.149015045,1
