Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
0,-8384,-13484,-5465,169.654266370898,111.258407838255,28.5079644094082,0
28,-8116,-14012,-3951,176.055377907981,111.144710018289,28.6970641611653,0
59,-7480,-14444,-4138,176.15643336682,110.917670520378,28.7562319935941,0
96,-7476,-14440,-3544,174.758289268992,110.898665386859,28.7641612920438,0
127,-7812,-14480,-5675,174.366832434919,110.750863849571,27.8592299940851,0
161,-7544,-14888,-2224,173.174364326664,110.64181648553,28.2545516604092,0
196,-6800,-15044,-4912,172.051923843551,110.600372580585,28.3477641797026,0
236,-7024,-15816,-3683,171.915474599034,110.570060635986,28.3593682766258,0
260,-6036,-15656,-6161,174.498017017386,110.434174857549,28.534563151145,0
294,-6736,-16176,-7217,175.67171627914,110.385452257418,28.6043477562716,0
326,-6188,-15132,-3718,176.141255387564,110.135066053129,28.7375355489098,0
361,-6296,-14636,-1424,176.30093062044,110.010999938005,28.7914277218356,0
397,-4604,-15904,-4085,176.431199493431,109.974325304905,28.7746963307942,0
428,-5864,-17040,-6014,176.522203444207,109.921641641434,28.8005990034781,0
460,-5384,-16040,-490,176.48300896647,109.990492188136,28.6939821256164,0
494,-4792,-15136,851,176.634035123794,109.907211437326,28.842583872733,0
526,-4996,-15672,-1933,169.173947715936,109.98014322125,28.9518438510248,0
560,-4800,-15876,-1360,170.059950141057,110.07814520745,29.4151209627276,0
596,-4660,-15920,-1252,165.435236125297,109.953922805592,30.623407597454,0
630,-5036,-15728,813,166.225990738419,110.214370924343,31.0778443152773,0
661,-4952,-16524,-694,166.086181043447,110.335303035139,31.997405551425,0
696,-5408,-16864,18,161.703246347047,110.649350936894,32.5389082141075,0
727,-5072,-16584,-53,167.553389192232,111.149509025369,36.4317448635802,0
759,-5716,-15196,506,168.496639835571,111.055173571323,46.9617984591345,0
794,-4708,-14824,-746,165.355180130957,112.891119776734,39.319902093688,0
829,-5524,-14784,-2258,166.605192350172,113.032629571575,42.8324643751208,0
866,-5900,-15144,1113,163.701790834168,113.633837082811,42.030114344216,0
898,-5016,-15968,-742,163.393458086799,114.692389633318,43.9385177331972,0
929,-6480,-15772,-1033,161.396562093643,115.177892187365,45.3251833494874,0
963,-5960,-15764,-680,167.452223703361,115.466051973766,49.611469861264,0
993,-6072,-15164,-1756,172.579132244516,114.883191163664,54.706832163989,0
1026,-5536,-15448,-1627,168.758584991353,115.427821653993,53.8107290721759,0
1063,-5576,-15464,-613,159.642976524843,115.698568495831,54.4569566543309,0
1097,-5820,-15544,-1389,173.370717690223,115.420992619068,67.0035980123057,0
1128,-5588,-16032,-1164,166.290632447304,115.909111840178,62.8745767516658,0
1161,-5960,-16168,-1393,160.190101230746,116.287121502298,62.8415396631115,0
1193,-5764,-16160,-748,161.802351099338,116.898958846705,63.3098670320002,0
1227,-5796,-15176,-1123,167.60657298162,115.871957669392,75.2257017770115,0
1263,-5380,-15252,-1265,165.552637871273,115.634125562344,75.839400351505,0
1295,-5772,-15732,-1584,166.037886223082,113.573981805972,79.4241606066074,0
1326,-5168,-15940,-1139,162.471288247609,114.350931874891,79.1731364411784,0
1361,-5256,-15300,-1000,159.646498885345,114.904385791273,80.5753671633666,0
1394,-5344,-14936,-572,158.729258595698,115.549719278393,82.7580482701251,0
