Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-12112,4732,550,115.3792741,0.49398283,0
34,-14648,6108,355,104.5996551,13.88691952,0
67,-10520,4052,398,105.5285136,13.05492345,0
99,-12944,5928,1655,105.07807,13.73349433,0
132,-9588,4172,1376,91.74055978,19.17859053,0
164,-10780,4984,2740,105.413664,13.13603477,0
199,-8592,3980,2831,104.5948231,13.59892097,0
231,-9964,6108,5303,103.8628951,14.03742423,0
265,-7596,4996,1199,104.7717345,12.57643423,0
301,-9688,5340,3957,103.7680346,13.12603623,0
332,-7060,5336,8023,103.3067858,13.32896552,0
365,-8024,7080,5765,102.7811324,13.5212249,0
399,-5936,6668,3026,103.8481372,12.21996892,0
433,-6920,7020,-2276,104.6366545,11.37381457,0
465,-6888,7028,-1691,103.7964739,12.12844058,0
501,-6796,6632,-4588,103.2584452,12.52548705,0
532,-7404,6656,-2286,101.7290164,12.8207995,0
565,-6320,5548,-4150,101.4157141,12.97459434,0
598,-8032,5836,-3323,101.088593,13.08569795,0
632,-7096,5236,-3571,100.9872639,13.1308441,0
664,-7976,5572,-4778,101.3828648,12.9109648,0
700,-7380,4900,-4595,100.944945,13.00285509,0
733,-7636,4804,-7812,100.3793597,13.08363258,0
764,-8740,4676,-7428,100.0925708,13.15121348,0
797,-7784,3288,-6879,99.36056609,13.21106169,0
831,-8964,3428,-4993,96.83241906,13.24145859,0
864,-8620,3952,-3524,96.19553193,13.3091579,0
899,-8300,3736,-2246,95.86612222,13.45331624,0
934,-8340,3400,-245,95.49593115,13.35196772,0
965,-8324,3652,-658,95.47232375,13.37773116,0
999,-8868,3768,-756,95.46450906,13.48416483,0
1031,-8740,3632,-866,94.74860364,13.56516109,0
1065,-9188,3500,-1488,88.07977762,13.80586321,0
1098,-9044,3784,-712,88.03340805,14.05781194,0
1135,-8652,3692,-969,85.1422794,13.97621362,0
1168,-8664,3860,-623,86.60387874,14.74336294,0
1200,-8488,3652,-1255,86.50974878,15.0127648,0
1232,-8732,3784,-1359,89.57305426,11.52383718,0
1264,-8792,3508,-1478,84.68762697,16.90708758,0
1299,-9140,3840,-1253,88.2773362,14.0877415,0
1330,-8924,3688,-2258,90.33505696,11.11105415,0
1367,-9348,3564,-1607,90.38932177,10.13661367,0
1399,-9384,3884,-2631,89.50746629,9.275184824,0
1432,-10028,3960,-2236,88.94093721,8.529135079,0
1464,-9636,3860,-1776,85.78339193,11.15423874,0
1498,-9692,3812,-1712,84.8118912,11.20968915,0
1531,-10260,3724,-2305,84.36708612,11.14427874,0
1566,-10624,3336,-2319,81.71799377,12.88478911,0
1600,-11696,3652,-1093,63.35833431,32.78237586,0
1631,-11652,4060,-1199,73.230836,21.4547889,0
1665,-12504,4564,-1761,60.66684147,35.3993739,0
1698,-12748,4200,-2894,62.72842893,26.75996323,0
1732,-13632,4464,-2004,68.03112662,26.15901867,0
1765,-12956,3996,-844,81.73741666,15.25020489,0
1801,-13784,3680,-4043,75.00534466,14.76879264,0
1831,-14172,3180,-3294,68.90450067,15.86390369,0
1864,-14304,3172,-2251,68.10879176,16.73160622,0
1898,-13972,2736,-3376,76.9694086,15.77697022,0
1931,-14400,3064,-1492,76.16188798,10.22771351,0
1964,-13996,2504,-2450,64.28198096,14.34036447,0
2000,-15236,3504,-845,62.09494995,16.03897662,0
2035,-14084,3036,-665,63.05929408,22.38480321,0
2065,-15224,3224,-2095,73.33660367,9.703966998,0
2101,-13912,2268,-2207,73.4285576,8.632259352,0
2131,-15300,3040,-1841,61.29459449,8.187237907,0
2164,-14304,3084,-1530,58.78179824,10.97991645,0
2200,-14912,3356,-1456,71.62314477,9.655810415,0
2233,-13624,2384,-1873,73.18280806,9.558882669,0
2264,-14416,2344,-1699,75.52505369,4.824257331,0
2298,-13144,1948,763,74.85972655,6.264884272,0
2331,-13440,2328,-184,74.06533148,6.168445652,0
2365,-12828,2336,950,81.21915525,10.14548682,0
2399,-13408,2564,-288,63.89748445,13.42632344,0
2434,-12680,2988,1064,49.00576767,23.55381227,0
2466,-12504,2520,-738,54.02548203,23.04133709,0
2499,-12724,3356,1974,58.64871156,20.02246369,0
2531,-11192,2576,-385,58.43098737,20.79395234,0
2564,-11984,4292,2272,56.03965649,20.07134409,0
2599,-9172,3120,542,61.28589816,8.333861361,0
2632,-10088,4468,1265,65.51953582,9.552187429,0
2666,-8904,3888,603,62.46657491,3.426498841,0
2699,-9860,4900,946,72.82885868,4.207547848,0
2732,-9296,4584,30,55.30576742,2.104647226,0
2764,-10604,5484,1710,51.5757043,18.19043399,0
2798,-8784,5136,555,62.79924792,18.05753772,0
2830,-10120,6092,-554,62.34453201,24.11253095,0
2865,-8844,5760,1020,77.69599405,17.43932594,0
2900,-8324,5648,-851,78.34673211,16.41670147,0
2931,-8064,6552,642,79.02914946,16.53005884,0
2963,-6704,6200,-889,83.14046813,15.48663326,0
2999,-7392,6648,-458,87.3974333,14.82734778,0
3031,-6196,6236,-1447,95.79302048,13.40246933,0
3063,-7784,6924,-1234,96.75813014,12.05433313,0
3102,-7544,6212,-25,102.7699505,11.58767398,0
3133,-8004,6188,-1683,98.63359719,11.86786918,0
3164,-8156,5984,-1393,97.51525932,12.0144569,0
3199,-8160,5972,-1239,96.74627984,11.92131712,0
