Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
0,-11836,-3692,1116,174.742179851375,111.745689366533,25.5948885008234,0
16,-11680,-3356,1641,174.737006465962,111.757151127247,25.2948486066454,0
38,-11700,-3136,1483,174.734099330907,111.77962032933,25.4120840709987,0
68,-11616,-2908,1322,174.528569371319,111.984120120311,25.6211578928603,0
103,-11728,-3284,1079,174.532228102912,112.122212901907,26.0589133456918,0
136,-11824,-3228,1206,174.267901570413,112.253276983264,26.9793779786837,0
168,-11696,-3052,1219,165.59517756321,112.598106187914,27.4918603855892,0
208,-12000,-3256,1273,169.63598069606,112.989828703268,29.9675162099215,0
238,-11900,-3304,1197,168.927784002477,113.811809262615,32.1197888987224,0
268,-11776,-3352,1122,169.561305994755,115.133707911227,36.1644732863312,0
302,-11884,-3640,1472,170.431881329063,115.861097168669,40.4581614459166,0
337,-11840,-3096,2165,168.952863318332,116.479325925315,44.8990372591326,0
369,-11724,-2348,2751,168.281772932029,116.423612805197,49.0371353081103,0
404,-11740,-2248,3119,162.871827823426,115.463231080519,52.4165807089642,0
439,-11648,-2308,1496,173.670693006974,115.306620558692,60.2206540363852,0
469,-11896,-2868,-998,158.698305048139,114.174729427915,61.3978398917216,0
502,-12176,-3252,-833,174.446996120712,114.088182948973,70.0301030773115,0
536,-12252,-3288,1031,160.295887416075,113.079321923985,71.9977772900426,0
569,-11916,-3004,2216,164.869732832189,113.759182085439,79.0510712365947,0
606,-11832,-2576,1424,172.532032179226,248.519453726202,89.062265260794,0
635,-11868,-2744,827,170.227168232715,246.596623483811,94.0231779651099,0
670,-11912,-3132,694,170.573131359086,248.564904733127,97.9301590741447,0
703,-12080,-3140,1157,170.840937449488,248.906280134217,104.158393352374,0
735,-11916,-3064,1437,167.873773020947,248.75641841334,107.936720985331,0
768,-11892,-2844,1162,164.871963469896,248.687143750889,112.296209357829,0
802,-11952,-3036,1166,162.015471864293,248.476582846505,115.880605049274,0
834,-11812,-2848,1127,160.296344939859,248.089350597229,118.711307895008,0
871,-11832,-3024,980,172.82536770513,247.985448671131,122.728462574296,0
902,-11904,-3008,1144,153.771837702116,245.742873219785,123.210008020604,0
