Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-10764,-7036,-119,142.6409237,6.36396006,0
32,-10500,-7152,2063,142.643606,6.36250578,0
66,-9928,-6000,2936,142.5859017,6.342288811,0
98,-10216,-6208,2279,142.523615,6.35166971,0
132,-9632,-6360,813,142.5316736,6.397251515,0
165,-10072,-6888,149,142.4207337,6.409778003,0
199,-10044,-6532,1343,142.3548112,6.522705605,0
234,-10004,-6168,1292,142.3396896,6.589896588,0
267,-10008,-6040,652,142.2232041,6.544194095,0
298,-10236,-6712,402,142.1071654,6.501468555,0
333,-10168,-6880,848,141.8497106,6.497700453,0
365,-10404,-6848,1255,141.9894367,6.664759649,0
397,-11180,-6852,1276,141.6577226,6.630331754,0
432,-11300,-7064,1711,141.6628646,6.529654207,0
468,-10016,-6216,779,142.0648582,6.893362996,0
500,-10648,-6356,-216,128.5152928,6.877389517,0
531,-10840,-7068,778,128.5938635,6.818668442,0
564,-11184,-7236,1638,128.3182946,6.741690662,0
598,-11628,-6304,1857,127.1586352,6.856209306,0
630,-10928,-6464,1792,120.8467637,6.823289292,0
665,-11140,-6816,2013,121.65776,7.730273758,0
699,-11144,-5956,2157,118.340204,8.16083345,0
732,-10932,-6156,1983,114.8658037,8.29622861,0
764,-10844,-5880,1293,114.4708651,8.806458032,0
797,-10576,-6156,813,112.3492259,9.231269904,0
832,-10844,-6520,326,102.8897903,9.452283843,0
864,-10980,-6584,348,101.3540393,9.086645682,0
899,-10668,-6744,397,99.65188456,9.500652277,0
933,-10908,-6940,1293,104.9171743,13.5625299,0
965,-10788,-6768,1174,103.1152594,14.23195023,0
997,-10856,-6652,1139,128.4164627,20.09485779,0
1031,-10892,-6792,1190,114.7641852,21.78797609,0
1064,-11076,-6772,1558,113.0652248,21.61032133,0
1097,-10804,-6312,1575,112.1463531,21.65770223,0
1132,-10964,-6576,906,96.40668683,14.78010321,0
1165,-10784,-6576,1085,98.36247458,21.34048884,0
1197,-10804,-6432,746,97.81278835,21.38680448,0
1231,-10904,-6696,963,87.88612014,15.26552419,0
1264,-10764,-6596,1206,84.35964209,13.87333844,0
1298,-10712,-6528,1281,94.71018852,24.96414503,0
1332,-10696,-6372,1505,97.45737325,30.3261621,0
1366,-10652,-6548,1519,96.78028079,33.18285422,0
1397,-10796,-6216,1207,96.70849555,36.02669597,0
1430,-10924,-6536,1301,97.95787284,38.16249301,0
1464,-10684,-6524,1262,100.4086698,41.81927523,0
1497,-10680,-6676,1174,100.6196118,45.12389935,0
1531,-10916,-6708,1078,100.5012424,46.81945711,0
1566,-10652,-6496,1167,101.1083354,49.05672274,0
1666,-11004,-6332,928,101.0334866,53.11813677,0
1697,-10800,-6600,995,99.73424194,53.98862776,0
1730,-10712,-6452,1093,98.86289974,56.19989329,0
1768,-11000,-6668,1646,99.66981397,57.45119317,0
1799,-10604,-6544,2095,100.01034,58.63886594,0
1830,-10508,-6436,2038,99.08909263,58.6721896,0
1864,-10540,-6052,1323,97.24542743,58.77007995,0
1898,-10664,-6412,1136,97.36843004,60.58470982,0
1931,-10752,-6372,1125,97.14205968,61.57028693,0
1964,-10688,-6244,1515,95.44857666,62.32885818,0
