Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-16056,3008,1094,167.081587,141.6907046,0
34,-15952,2840,993,167.4194603,141.674901,0
67,-15972,3040,1028,166.6654358,141.6552398,0
101,-15952,2952,974,171.734997,141.6158174,0
138,-15952,2892,1280,171.7520944,141.5327878,0
167,-15852,2940,887,165.5186723,141.1817615,0
200,-15740,3004,1105,166.5795546,140.825084,0
237,-15980,3068,1304,166.8453777,140.2303682,0
272,-15912,2808,779,166.4388792,139.6562065,0
298,-16144,2892,1008,167.0457144,137.929912,0
335,-15620,2768,-216,165.9529759,136.5947804,0
370,-15120,2300,-3195,164.2373778,134.7956127,0
401,-16576,2252,-7062,167.6671598,128.7482404,0
435,-16164,1044,-3345,167.4061413,126.8875752,0
468,-15864,504,-7162,168.4674718,123.3141858,0
501,-16180,-444,-7935,169.2226188,119.2885682,0
534,-16436,-1600,-8847,165.9997671,116.1832907,0
568,-16276,-2696,-13912,170.987446,107.9122567,0
603,-15836,-4344,-14105,170.4721635,104.7887406,0
634,-16068,-6536,-15606,167.9131827,104.0567825,0
668,-15880,-7800,-3926,172.4644399,96.318767,0
701,-13808,-8540,-3493,173.9086679,93.79140141,0
734,-14140,-8908,-1865,173.028912,91.32826798,0
770,-14088,-8680,-5814,172.8842899,88.0520443,0
803,-14900,-9120,-1417,170.5143514,85.80424488,0
835,-13964,-9708,2812,168.9249719,81.10316138,0
868,-13940,-9576,235,172.8226802,73.87298552,0
901,-14644,-9028,2806,170.9897173,72.82450665,0
933,-14608,-9276,7245,171.0017528,67.70427349,0
968,-14156,-8744,6315,171.0268632,64.44231012,0
1005,-17528,-7452,17003,175.1188101,59.71247108,0
1039,-13168,-7268,13240,167.2654704,55.02078969,0
1069,-15896,-4180,7682,173.0195085,54.40460477,0
1101,-15720,-4124,7699,172.2321626,50.86124816,0
1137,-16360,-3556,7826,165.322012,45.36744562,0
1168,-16956,-2692,15678,166.2341238,44.54696513,0
1204,-16068,-988,10290,167.3508743,42.62521544,0
1238,-17668,332,15557,172.9192779,38.78332795,0
1269,-14940,1172,11636,173.0783828,36.60173112,0
1302,-18144,3344,13222,173.4203866,33.30399234,0
1336,-13244,3136,12797,173.5511406,30.86759875,0
1368,-15744,5472,4541,173.4086343,28.33944335,0
1402,-14444,4840,9576,173.0773125,25.38537841,0
1436,-14540,6152,1686,172.9005332,23.34833665,0
1469,-14896,6432,1222,173.098291,21.48757618,0
1502,-15372,6032,650,173.153405,19.4617886,0
1535,-15076,5880,2323,172.5869343,17.59804179,0
1567,-14952,6164,1858,173.5883118,15.16289502,0
1602,-15048,6200,1147,173.0559208,13.72211555,0
1637,-14884,5900,411,173.6555646,12.6928801,0
1668,-14864,6028,1212,173.4839875,11.25527349,0
1705,-15108,6084,804,172.4399206,9.939408468,0
1895,-15316,6220,1313,174.6719082,3.713586481,0
1909,-15068,5900,1193,174.6366787,3.486132069,0
1934,-14844,6112,993,174.4897916,3.090650148,0
1968,-14904,5984,834,174.6424342,2.114960411,0
2000,-15140,5888,1256,174.4406657,1.879089814,0
2036,-14776,6112,1081,174.3834144,1.665163556,0
2071,-14852,6036,197,174.229057,1.451771938,0
2102,-15112,5644,1227,174.0508081,0.897800256,0
2135,-15264,5936,1228,174.0699827,0.758048766,0
2169,-14828,5892,950,174.0028944,0.520842251,0
2201,-14900,5904,927,174.0827157,0.325132604,0
2234,-15180,5888,747,174.0737933,0.25948599,0
2269,-15028,5836,873,174.0791493,0.0885411,0
2302,-15184,5912,1169,174.1400295,0.064847816,0
2335,-15204,5764,1167,174.3198199,0.163382952,0
2368,-15268,5896,596,174.5095047,0.275590071,0
2400,-15052,5812,998,174.734702,0.986626174,0
2433,-15100,5828,1011,174.6527444,1.08209773,0
2467,-15056,5684,1860,174.7898981,1.167506691,0
2503,-14788,5804,-1107,174.8145076,1.311388393,0
2535,-14360,5180,-9244,174.7454521,1.42924325,0
2569,-15808,4000,-10870,175.261361,1.45456551,0
2603,-16368,2876,-9048,175.1924219,1.438204856,0
2634,-15928,1364,-9207,175.0418569,1.493750303,0
2668,-16388,88,-12675,174.9193021,1.375336181,0
