Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
0,-14664,5744,-853,154.881365762189,115.681042281943,159.419518323014,0
31,-15020,5932,-1053,155.069292791607,115.603833679767,159.372495278239,0
63,-15064,5880,-988,156.181862891191,115.535442864549,159.116864646413,0
98,-14780,5852,-1238,155.38122474865,115.309793945599,159.700285890841,0
131,-14932,5680,-1382,156.293743464828,115.313198944119,159.147566758095,0
163,-14816,5460,-837,155.98732127356,115.329355607818,159.107764226597,0
199,-14648,5696,-1381,156.167371713008,115.334881711443,158.98858033804,0
231,-14820,5708,-1749,155.068641099112,115.274219322964,159.470387228013,0
263,-15020,5800,-2171,154.945850105294,115.527631784281,159.065657989193,0
301,-15512,5548,-2613,156.131270969638,115.817854371625,157.830184124493,0
367,-14428,5216,-2869,151.437056184241,116.633112585168,155.207438459092,0
400,-15272,5620,-4907,150.107551894517,116.818338727394,155.036396146982,0
431,-15684,4972,-2408,147.609403430169,117.688722156508,152.355359394997,0
463,-15376,4740,-1387,160.214941575514,118.721776268066,140.206499229075,0
499,-15112,4516,-1784,161.586601496031,119.646012044622,132.873260668706,0
533,-15436,4776,-706,153.926680293535,120.467909552412,136.724483441074,0
564,-15072,4896,-1544,166.096733821113,116.451473331159,122.163737419018,0
599,-15400,4860,-1166,161.146452977092,116.525201825624,120.48741685948,0
631,-15256,4768,-1517,163.989030619712,116.741442300281,115.166086935768,0
663,-15204,4572,-1217,162.608278095657,117.3084802168,111.989802711261,0
700,-15624,4540,-1205,168.175495498058,117.667078987966,106.110803654783,0
732,-15144,4380,-1637,161.96885148458,117.560985338321,102.048620010547,0
766,-15668,4480,-1183,164.826364324847,117.760217855397,97.6311316735783,0
799,-15272,4484,-1166,158.395496478771,118.140581289332,95.0788259472917,0
831,-15328,4604,-968,167.530920223344,243.034880340474,86.6848243785964,0
864,-15268,4568,-1237,163.728683028794,242.622613895461,84.1347764598387,0
899,-15432,4592,-1196,165.861341355615,243.442610394361,78.9529123733883,0
933,-15228,4612,-1213,163.343920364276,243.988067701401,74.5106883159136,0
967,-15540,4576,-1134,165.612902400143,243.182401268981,70.259771809232,0
1030,-15280,4604,-1248,164.972197709631,245.448714063726,60.8470248630899,0
1064,-15324,4616,-1121,164.754000955536,246.489990476752,57.1671814552471,0
1099,-14904,4520,-1176,165.700132989612,246.821514850974,53.9861947504291,0
1131,-15204,4488,-1135,167.156717900076,247.940111201439,50.2155397528211,0
1165,-15444,4556,-1184,167.0242154677,247.75348008941,47.8472750988418,0
1201,-15228,4500,-1539,168.112230841993,249.168771969689,43.4132591065332,0
1232,-15292,4492,-2585,167.188180138298,249.485610141437,42.0018637109895,0
1264,-15252,4088,-3840,167.290245653161,250.068180793094,39.4922466105727,0
1300,-15116,3900,-6591,168.081354327191,250.405072846776,36.9796156312916,0
1332,-15240,3468,-7808,168.299994050438,248.819300986319,32.3053508020117,0
1366,-15352,2496,-11319,166.541709177815,248.631335700164,31.678747009216,0
1401,-16276,1712,-11225,167.291817489674,248.133608762703,29.7018476092499,0
1433,-15340,164,-16533,167.322719737293,244.017473912691,28.2782948997688,0
1464,-17008,44,-15340,166.574273504499,240.745253928604,26.7877937835877,0
1500,-16848,-2392,-13661,167.459096944245,241.466846721938,24.6770487676489,0
1532,-16168,-3656,-9872,168.568444395183,242.021581734926,23.2703376593238,0
1565,-15340,-4444,-11412,168.97845306467,242.81636379695,22.1418340779949,0
1599,-15872,-5200,-7940,170.038810213082,242.076192210089,20.3672199917839,0
1634,-15732,-5896,-5165,170.856867998862,242.6431403403,19.4106987049353,0
1664,-16060,-5916,-807,171.196976487655,242.492460216645,18.6053124881244,0
1700,-15272,-6048,572,171.059850841896,242.324185440431,17.1774230147603,0
1733,-16284,-5416,3796,169.269329828573,242.348282253128,16.7004462031895,0
1765,-15200,-5360,4417,170.401681425553,242.367150195126,15.7468928125257,0
1799,-16948,-4308,6021,170.62798154627,242.501095295505,15.7630010837149,0
1835,-14740,-4124,10943,171.35286131055,241.304708392852,164.795652861687,0
1869,-16704,-2144,8258,171.392285648241,240.771856999831,165.145004653388,0
1901,-16472,-1596,13453,171.972436223335,241.038071413104,165.929896464003,0
1931,-16716,284,10256,170.967508368331,241.462394978768,166.591210436518,0
1964,-16568,1732,14131,171.678238534739,241.373945794521,167.262223961176,0
1999,-14860,2492,14205,171.961435745668,241.314105142931,167.191682007322,0
2033,-13728,4068,8677,172.463225130822,242.619476987239,167.553671055326,0
2067,-14412,5348,678,171.890513252956,243.807004600428,167.877363329814,0
2099,-15680,5820,2289,172.077267617234,243.808386557652,168.198575020555,0
2132,-14284,5376,1403,172.274080414837,242.382322745841,168.614011635751,0
2165,-15528,6060,-1378,172.633594284636,242.765753598141,168.916967490898,0
2200,-14856,5696,101,172.468459301436,243.014454834033,169.080631103546,0
2233,-15436,5864,-1630,171.891802914181,241.196664167172,168.158450922017,0
2267,-14896,5584,-941,172.468218805305,242.304566221851,168.612354254557,0
2300,-14864,5636,-1039,172.671671283617,242.832492132245,168.832236835199,0
2331,-14996,5608,-1128,172.952500301429,244.177084823403,168.782654201636,0
2365,-15004,5656,-1198,173.038333270485,243.590322155506,168.803482241579,0
2400,-14732,5568,-1193,173.04271621668,244.178942532153,168.751490679623,0
2433,-14932,5752,-1293,173.299931580826,244.236851934159,169.025922779532,0
2466,-15068,5924,-887,173.610796734964,244.422710131637,168.943383660876,0
2500,-14884,5664,-1778,174.07193105865,244.436640300431,168.624052545203,0
2531,-14820,5588,-1201,174.223496492576,243.913582060741,166.449141007421,0
2565,-14720,5552,-1391,173.070836906028,243.079444304755,163.89650990977,0
2598,-14936,5668,-1667,171.547568024905,241.724271243182,158.960732499043,0
2633,-15164,5668,-1748,169.357850684185,240.631311468487,155.245088918577,0
2665,-14932,5496,-1511,168.163115973681,239.495556537711,151.384157877386,0
2701,-15304,5388,-1294,165.811408597105,239.441586637707,34.0970697366273,0
2733,-15060,5424,-1197,164.812971912755,239.577006268328,37.6257545848027,0
2764,-14724,5336,-2001,164.110411666908,239.43683427487,42.0004552352804,0
2800,-15216,5400,-3701,165.731018402653,243.408694273229,43.5599329309056,0
2833,-15028,4984,-3509,165.587534683065,243.581246110765,46.8848427953683,0
2865,-15256,4404,-3822,165.024334300684,242.482803461538,50.968843541716,0
2901,-14276,4168,-5985,162.790968829803,241.632619311825,54.8684431635348,0
2934,-15256,4268,-7418,162.286624365386,238.848149655431,58.6138611886583,0
2965,-15760,3368,-11743,162.656182106849,238.251949637433,62.3348802849928,0
2999,-15772,2036,-12366,162.883292407539,237.182065428676,66.4379168084668,0
3031,-16144,976,-13501,161.978825935046,235.842650593721,69.5207270754042,0
3064,-16268,-76,-12060,161.302624629368,236.308226870521,75.0580449887777,0
3100,-15608,-1464,-15783,158.496537593449,235.754870767868,81.5046043692378,0
3133,-16356,-2780,-12752,158.494050458103,235.079393279113,85.9794570226566,0
3166,-16228,-4096,-11804,163.246225003319,240.018365369848,88.20044140311,0
3199,-15684,-4864,-10300,168.427185241941,120.538449225538,89.7724242581173,0
3232,-15656,-5552,-10934,169.807271371789,119.962166948391,93.7426539010349,0
3264,-15180,-6428,-6720,166.386488091858,120.011777566836,99.6973737253442,0
3297,-15128,-6956,-7413,167.909398781408,120.332261696808,101.382716102006,0
3333,-15324,-7384,-2775,170.366322980947,121.329420264733,108.351331428175,0
3368,-14716,-7692,-922,168.418077201606,121.157204821604,109.899814511341,0
3401,-14624,-7512,-709,166.781845713021,121.190228752549,113.261543417166,0
3432,-15596,-7096,3014,168.816451920965,121.929939644789,117.153841846876,0
3464,-14584,-6904,3755,174.836309570816,122.576289784754,119.895050709172,0
3499,-16208,-6076,5948,167.86035784489,123.138105538339,126.362622510302,0
3532,-15656,-5468,12117,165.812176915626,124.06040332995,129.086397341798,0
3566,-15056,-4068,5071,168.073632485444,124.138270916896,132.970983601294,0
