Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-16448,-4476,-821,122.3465945,179.8312914,0
30,-13560,-3676,831,119.885284,179.8659289,0
64,-12792,-2384,3574,117.7411633,179.847506,0
97,-9096,-1892,1406,122.8393863,179.8761091,0
130,-9600,-1200,3530,122.8234429,179.8273203,0
165,-7068,-824,294,122.5971395,179.8342987,0
198,-8872,564,-1907,122.0020747,179.7650711,0
234,-7236,-1148,7074,116.8571679,179.1366657,0
263,-5592,-636,-2031,132.2384897,166.4234755,0
297,-5760,64,1149,130.3641736,166.3267377,0
330,-4488,288,-1007,126.7405884,166.2445808,0
363,-4476,564,-2422,127.8432547,165.5804742,0
398,-2604,404,-1921,117.4921117,164.7732515,0
430,-2784,988,11,117.898044,163.9593921,0
463,-1588,1376,-325,115.3104205,162.1424382,0
501,196,1120,-472,112.8219382,160.3847508,0
530,-160,892,1204,113.7447338,159.8326726,0
565,-128,1528,391,95.97266273,159.3492126,0
598,-140,1776,-245,103.7022657,156.274737,0
634,-692,1960,-60,105.2945192,154.1213036,0
666,560,2040,99,107.9526437,149.6160855,0
697,1204,2752,-3128,109.0237732,145.1939412,0
732,2036,2004,-71,103.4099028,143.2138105,0
762,1692,1712,-445,102.5984492,141.7840599,0
797,556,1512,524,112.7893793,130.8810353,0
829,500,1896,-494,111.2702379,130.608492,0
863,1500,2216,-1096,101.1744648,129.9111761,0
896,2336,2540,201,102.7562011,127.0117864,0
932,2188,2596,-275,99.32801767,126.0430934,0
963,1132,1468,-1598,96.95331651,124.8325369,0
996,148,1684,-37,92.5783412,123.7232106,0
1032,620,1972,-814,90.94323708,122.5537887,0
1064,12,2392,-2026,91.49099232,118.5381582,0
1101,1004,2052,-2281,90.46487713,117.648913,0
1129,2488,2524,-1283,91.16266346,115.7437854,0
1163,2612,2828,-641,90.26653932,114.9017435,0
1197,4048,2240,-516,89.89480032,113.9275788,0
1232,4552,3340,104,89.41714776,113.4719216,0
1263,5256,2060,-1790,88.80441153,112.9124103,0
1301,2432,2672,841,89.60448199,110.6882418,0
1334,1724,1396,-3903,89.41553131,110.6831603,0
1363,592,560,-4124,89.18164987,110.6613348,0
1399,-1268,848,-910,88.94931597,110.6514289,0
1430,-2644,1480,-3732,88.92529269,110.6084395,0
1461,-5112,-200,-1704,88.85837974,110.6424135,0
1499,-6700,-288,769,88.93886655,110.72462,0
1531,-6052,176,2360,89.10917229,110.765847,0
1564,-8476,596,-1562,89.9698442,110.8137467,0
1599,-8060,776,-3875,90.59360482,111.2567275,0
1628,-12248,572,3709,91.06454616,112.0451225,0
1663,-13912,-1412,-3302,92.56610097,113.2096457,0
1698,-11292,-2256,-6136,92.77932207,115.4268027,0
1731,-11096,-1268,-1894,92.80332782,116.6096501,0
1762,-16128,-3168,-1568,92.38563427,117.6164596,0
1797,-15796,-2592,-3062,94.85722566,118.4898356,0
1831,-18220,-2812,-1393,95.0244408,119.4392283,0
1862,-18396,-2160,-2818,96.2650488,120.5847503,0
1899,-16332,-2476,-1580,97.80833782,121.5003502,0
1931,-19196,-1780,-507,99.40644673,122.6171584,0
1964,-18176,-1644,-1475,101.3305538,124.2962383,0
1998,-17000,-1392,-2880,102.0139823,125.2388144,0
2029,-20608,-1448,-524,104.8606916,127.4093277,0
