Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-12056,10088,-1024,167.3002383,152.3898868,0
31,-12144,10008,-1276,168.1048685,152.3339725,0
64,-11988,10080,-1037,168.9222115,152.1283191,0
98,-12096,10096,-1259,169.9993542,151.8753516,0
132,-11832,10156,-1063,171.6294529,151.0434047,0
164,-12148,10348,-1071,173.6916934,149.860184,0
196,-12048,10480,-1205,173.9266999,150.1047642,0
229,-12064,10508,-1300,174.2497167,150.1895857,0
262,-12060,10484,-1092,174.7206039,150.1695966,0
297,-12112,10572,-1120,175.1739259,150.0500923,0
327,-11920,10388,-1058,176.1159679,149.5117324,0
363,-11924,10148,-1247,176.5171294,149.2662197,0
397,-11976,10112,-1465,176.697405,148.9886107,0
428,-12096,10172,-1369,176.8292531,148.3276174,0
465,-11916,9948,-1590,177.1303025,147.5435108,0
495,-12176,10384,-1804,177.3664646,146.7322764,0
529,-12216,10512,-1318,175.379401,143.0842574,0
568,-12216,10004,-1435,174.4175631,140.6822813,0
600,-12160,10100,-1399,170.2149585,137.58797,0
631,-11968,10268,-1235,170.9602072,134.0053637,0
667,-12064,9996,-1202,171.3722246,131.1570508,0
696,-12048,10052,-1059,170.8972935,129.9966724,0
730,-12376,9988,-1220,173.1006246,123.2798671,0
763,-12328,9880,-1140,174.0360018,120.5337504,0
800,-12296,9988,-1270,172.640539,118.4950376,0
832,-12208,10188,-1450,172.8503553,114.3968968,0
877,-12136,10024,-1338,172.063789,111.4259721,0
898,-12160,10144,-1330,174.2045615,103.3085601,0
931,-12144,10188,-1275,155.4683668,69.13395316,0
962,-12020,10004,-1177,175.7160797,80.17138476,0
998,-12264,9992,-1100,168.1461229,79.9760654,0
1031,-12444,9940,-1116,167.4497585,77.17548432,0
1064,-12452,9996,-1163,161.5806707,80.68268597,0
1097,-12392,9828,-1141,159.8306165,82.37743308,0
1130,-12252,10176,-1093,162.7740153,89.53292098,0
1165,-12056,10064,-1160,168.2817971,96.2292449,0
1197,-11880,10196,-1419,166.1843997,99.3951949,0
1233,-12012,9968,-1080,171.2796616,105.2614526,0
1266,-12400,10060,-1103,171.5055971,108.5889786,0
1298,-12400,10072,-1100,169.4207021,113.0634863,0
1331,-12424,9984,-986,169.8279042,115.0440968,0
1364,-12420,10020,-1168,170.2965021,119.3395078,0
1397,-12316,10172,-1029,171.692806,122.1786731,0
1431,-12068,9984,-1243,173.3413223,126.6227663,0
1468,-12208,9996,-1228,171.8805588,128.0206814,0
1499,-11984,9916,-1038,171.6530048,130.5698517,0
1529,-12088,9956,-1244,169.5942243,132.7678953,0
1564,-12356,9960,-1182,165.2444403,134.4179024,0
1596,-12300,10132,-1203,168.6169498,136.5521949,0
1631,-12140,10136,-1344,163.1467059,138.2792887,0
1665,-12248,10072,-1000,165.4499745,140.0660135,0
1699,-12240,10280,-1053,166.425836,141.861231,0
1730,-12268,9920,-1345,171.609775,145.7712385,0
1762,-12288,9752,-1052,169.4910473,145.779844,0
1796,-12288,9864,-1215,167.309531,144.9937263,0
1829,-12256,9836,-1313,171.7895879,148.2879837,0
1864,-12204,9964,-1139,171.7764163,148.6917573,0
1899,-12316,9932,-1361,172.1055597,149.2022762,0
1929,-12408,10264,-1169,172.9843103,149.1048545,0
1962,-12292,10392,-1213,168.7406069,149.2427658,0
1996,-12220,10212,-1148,168.5036359,149.3626637,0
2030,-12304,9912,-1132,168.37801,149.4886893,0
2063,-12344,9804,-1124,168.2314968,149.5847093,0
2101,-12252,9812,-945,169.9642057,149.6304075,0
2130,-12156,9856,-1073,172.8959104,151.622508,0
2164,-12348,9832,-1158,172.7097157,151.6232035,0
2196,-12396,9724,-1032,175.2373188,151.5778474,0
2230,-12264,9892,-1276,173.3910415,151.4559845,0
2262,-12340,10156,-971,175.7881643,151.3033144,0
2298,-12088,9992,-1312,173.1806664,150.7181714,0
2329,-12172,10108,-1236,171.5770734,149.5122589,0
2364,-12300,10056,-1204,169.7818235,147.6871847,0
2397,-12248,9956,-1198,168.6257562,146.2944751,0
2427,-12200,9980,-1139,166.1027297,143.7794176,0
2464,-12196,9928,-1365,164.594872,142.3492454,0
