Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
0,-16196,-4360,2434,166.064499240243,102.872116185014,23.2491953174728,0
33,-15540,-4536,326,166.1947530796,102.18631239466,23.4413345243633,0
71,-16656,-4792,-469,165.137195851144,101.552349948306,23.7237843245766,0
129,-16396,-4868,2862,166.692851702146,101.672428698307,24.1043170541841,0
140,-16092,-4948,-13,166.785487622657,102.013342379999,24.7050085003901,0
166,-16932,-4228,1628,165.564343043411,102.365029209412,25.4351567902776,0
198,-15748,-4588,1611,167.069973868507,102.864632334922,27.5780313825006,0
232,-15932,-5008,717,165.4121373347,102.356176129051,29.3148415310449,0
267,-15560,-4856,1872,163.342892129949,102.614715627507,31.8807585660134,0
303,-15688,-4804,974,162.881151932972,103.34968861354,34.5266268380959,0
333,-15632,-4504,1356,162.196845737087,104.711219159289,37.7422247839706,0
381,-15748,-4628,1131,162.116408401696,107.646548967409,42.3746368529587,0
402,-15976,-4708,1112,175.76885082421,109.03558768248,54.4990891375276,0
436,-15848,-4360,1565,168.095645836722,109.521475937824,54.4496303181873,0
466,-15920,-4388,855,165.212344747301,109.84747490424,58.9324999079726,0
503,-16120,-4600,971,163.897240150981,109.32802470326,64.396183723016,0
533,-16096,-4396,1423,168.852781335342,107.97317929596,72.3860152896799,0
565,-16000,-4604,909,171.145573411631,108.136151950183,77.2959612723956,0
599,-16084,-4532,1279,163.526810353616,111.175128598071,82.4977137107557,0
632,-15968,-4176,1418,154.633930055897,112.437040051248,84.6252756388336,0
667,-15920,-4604,1009,157.666426639342,247.321386655214,91.2664782224382,0
702,-16220,-4712,1120,165.812197662509,250.049683578369,103.016088012478,0
734,-16240,-4136,1716,161.171510626752,250.457266059583,104.983284172111,0
766,-16140,-4468,875,164.014205292307,251.514461848211,109.897062010765,0
800,-16104,-4492,1456,164.842906755355,252.904474620483,113.331356374635,0
832,-15916,-4440,1217,164.901440648531,254.391009406779,117.833489519269,0
865,-15892,-4308,1644,165.177697344778,255.430505432785,120.896944968059,0
899,-15888,-4284,1082,166.345591189243,256.703153332654,124.360961993061,0
935,-15852,-4616,1148,156.13360263911,257.419797754023,128.035894433075,0
966,-15888,-4352,1498,164.139900319904,258.236328196522,130.692890446324,0
999,-16208,-4380,1084,164.126699512951,259.033377671225,133.321912551,0
1031,-16076,-4684,1223,156.694061041343,260.051972343786,135.910949741833,0
1066,-15804,-4368,1353,164.6003458089,260.861545870501,138.52765453436,0
1099,-15748,-4112,1205,166.641210618524,261.689346406761,140.832921098526,0
1136,-15704,-4144,790,165.665103088984,262.063353920432,143.258228911474,0
