Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id
0,-16724,-4468,3187,174.0504041,27.76053428,0
34,-15916,-3524,3072,174.0306992,27.73530097,0
140,-15472,-4084,3259,174.0213447,27.6993031,0
168,-16116,-2860,5168,173.9389494,27.64309189,0
207,-15888,-2140,3162,173.7370541,27.54933263,0
231,-16504,-1644,2157,173.5261925,27.44684279,0
267,-16440,-1764,1710,173.5835104,27.40789882,0
299,-17036,-1496,300,172.0432438,27.35164378,0
332,-17128,-1536,1163,172.1826981,27.29954693,0
368,-16776,-2196,787,172.2831464,26.9390389,0
402,-16744,-2444,973,167.9585938,26.94701312,0
431,-16448,-2516,1263,168.6868586,26.9845193,0
465,-16420,-2516,961,163.7060719,27.16811903,0
499,-16408,-2384,1016,157.3472027,27.62593229,0
533,-16728,-2560,1175,155.6552424,28.14175434,0
566,-16416,-2384,725,153.2732761,28.47530988,0
602,-16624,-2564,1110,149.8022749,29.93950956,0
631,-16544,-2500,1052,148.2551265,31.97198762,0
667,-16472,-2260,1160,144.7309492,32.34347102,0
700,-16616,-2376,1085,142.3727774,34.18226062,0
732,-16568,-2592,1357,137.1221433,34.55705872,0
767,-16584,-2384,1017,136.3537294,35.85573564,0
801,-16460,-2396,1324,122.1741324,36.18255118,0
834,-16540,-2348,1202,126.0712083,37.06557189,0
866,-16676,-2208,899,111.8066972,38.61279594,0
900,-16824,-2176,1220,108.7482188,40.83533413,0
932,-16248,-1984,1567,103.5916462,43.561019,0
967,-16008,-2544,-443,100.9644147,45.32579304,0
1000,-16732,-2396,2182,94.70875662,45.82398855,0
1036,-16704,-3156,3047,91.47049469,46.14962074,0
1069,-16092,-3480,-1047,86.73527728,46.41638682,0
1100,-17060,-3396,-923,87.4769528,50.484043,0
1133,-15640,-2940,-947,85.00112773,51.58359977,0
1167,-15648,-3900,-2257,79.75288036,52.18604022,0
1200,-15528,-4944,-1585,79.38955083,52.52334399,0
1234,-15780,-5992,2296,79.59821467,52.99765261,0
1269,-15848,-5408,883,78.88276536,53.33265352,0
1300,-15844,-4948,1859,70.3119785,46.76221895,0
1333,-16256,-4800,1069,68.8066149,46.16629021,0
1367,-16088,-4080,1996,67.88396138,46.10897754,0
1400,-15772,-4876,763,67.88133511,46.55980015,0
1432,-16084,-4232,-1187,68.77584675,47.83873503,0
1469,-15788,-5124,-1674,70.51028681,49.49232414,0
1500,-14888,-3264,-3834,71.2624826,49.71419958,0
1532,-16888,-3328,4661,72.72789551,50.49462888,0
1567,-14356,-3632,4670,73.36792189,50.84890067,0
1600,-15904,-3624,1682,73.97738087,50.87485555,0
1633,-15980,-3844,3626,75.35701339,50.94476638,0
1668,-15908,-3712,2405,76.11229156,50.91071818,0
1699,-16372,-2248,974,90.49789382,63.56046839,0
1732,-16744,-1904,2222,93.38331392,62.72852249,0
1766,-16496,-2424,1020,95.42307981,61.71389701,0
1799,-16780,-2340,1352,97.4969064,60.35713469,0
1832,-16372,-2656,1271,99.08753329,57.9342798,0
1869,-16408,-3016,1432,100.4796921,55.11624086,0
1901,-16280,-2852,1231,100.4248932,50.88276366,0
1932,-16024,-2944,1557,100.197514,49.03708578,0
1966,-15804,-2896,802,107.6920609,47.02796182,0
1999,-16268,-2728,937,109.4034243,45.63809878,0
2032,-16412,-2732,1032,114.8140368,45.92376512,0
2066,-16752,-2752,714,120.3323783,44.79219306,0
2101,-16580,-2984,1157,124.7754462,42.32160518,0
2133,-16452,-2716,1003,141.945725,40.75365416,0
2166,-16464,-2680,1071,137.0007059,40.95383667,0
2199,-16120,-3084,912,137.6987544,41.23069745,0
2232,-16476,-2836,995,145.5316098,42.04876017,0
2266,-16196,-2948,1181,148.1171898,42.10974905,0
2301,-16552,-3096,1029,151.5977371,40.47443706,0
2333,-16444,-3032,910,156.9435843,37.45049686,0
2366,-16356,-2744,1140,152.7199124,35.66591638,0
2399,-16440,-2984,844,155.4178748,35.35211457,0
2432,-16504,-3040,1080,160.2013673,35.00535487,0
2465,-16304,-2960,1215,155.1878319,27.88357776,0
2500,-16316,-2988,1163,155.5549437,27.64047683,0
2539,-16192,-3112,891,157.6757363,26.99605362,0
2571,-16440,-3060,1298,157.2751098,26.65377647,0
2602,-16160,-2876,965,162.551647,26.13009929,0
2635,-16448,-3036,1129,162.1941873,25.75492408,0
2667,-16404,-2980,990,165.3791296,25.41967139,0
2699,-16616,-3064,1163,165.3104933,24.99963069,0
2735,-16260,-2980,1114,165.6452982,24.88275972,0
2769,-16228,-3016,1115,166.642742,24.44584111,0
2802,-16504,-2848,1116,167.5086012,24.22058718,0
2832,-16404,-3072,1280,167.3697034,23.97302777,0
2880,-16204,-3268,1015,167.5482046,23.81272414,0
2934,-16400,-3104,1138,167.6795436,23.76389915,0
2967,-16316,-3028,955,167.9215851,23.66985874,0
2999,-16412,-2852,902,167.8381805,23.63808062,0
3032,-16244,-3040,1200,167.879381,23.56313479,0
3066,-16436,-3124,1035,167.8272846,23.47725918,1
3099,-16076,-3024,1136,167.8457907,23.45270812,1
3133,-16116,-3060,1068,167.7834299,23.44540657,1
3168,-16288,-3096,1278,167.6796788,23.33843171,1
3200,-16208,-3092,1018,167.6258652,23.38586842,1
3234,-16504,-3048,1021,167.6710355,23.36811362,1
3266,-16120,-3216,958,167.4795544,23.24795279,1
3333,-16244,-3256,849,167.4714423,23.13700304,1
3366,-16372,-3132,1128,167.6302567,23.18875075,1
3402,-16416,-3400,1090,167.5497029,23.14003529,1
3432,-16424,-3244,1097,167.7692864,23.15403886,1
3466,-16340,-3384,1134,167.5467258,23.00953028,1
3499,-16172,-3228,756,167.6089681,22.99756479,1
3532,-16036,-3268,713,167.5554046,22.94667297,1
3565,-16208,-3280,542,167.5514914,22.94305903,1
3602,-16164,-3364,968,167.0038993,22.92264435,1
3635,-16292,-3448,1195,166.7775242,22.93047449,1
3666,-16024,-3504,908,166.341714,22.96375703,1
3701,-16316,-3412,741,166.0654508,23.02458467,1
3733,-16048,-3520,1120,163.428459,23.12194859,1
3767,-16044,-3388,1163,160.5978568,23.46680336,1
3800,-16116,-3420,1162,152.5908541,24.00352354,1
3835,-16100,-3220,874,148.558106,24.40500569,1
3867,-16328,-3416,1213,153.3315818,27.6053402,1
3899,-15936,-3444,884,149.8086057,29.29925729,1
3933,-16312,-3392,1233,149.7206861,32.60521495,1
3967,-16232,-3632,868,147.7737758,33.72670907,1
4001,-16076,-3704,1047,142.1620998,30.88206344,1
4036,-16244,-3404,771,150.464978,33.41431025,1
4068,-16156,-3304,716,152.9948835,39.63304621,1
4099,-16212,-3788,640,132.5135457,39.42532349,1
4133,-16140,-3920,714,132.0916675,39.41637088,1
4166,-16128,-3896,428,132.0097543,40.02578619,1
4199,-16096,-4056,571,114.1373435,41.86047478,1
4233,-16068,-3908,653,110.9555591,42.83111947,1
4268,-15676,-3836,944,109.5193112,44.32160897,1
4301,-15872,-4312,861,104.252457,45.97610644,1
4332,-15968,-3996,1150,101.8696557,47.61891029,1
4368,-15956,-3860,707,97.61475567,49.27223401,1
4402,-16164,-3780,1122,96.00844007,51.8052607,1
4433,-16288,-4320,-339,93.36141744,54.63377919,1
4469,-15884,-4216,-164,94.63568148,57.27461557,1
4502,-15584,-4840,-1029,95.53489193,61.37609478,1
4533,-15676,-4856,-1982,87.94470043,57.75519914,1
4566,-15584,-5108,754,84.48855552,57.49837633,1
4598,-15356,-5480,1041,81.32137354,57.31859886,1
4632,-15212,-5680,1216,78.09676585,57.58151131,1
4665,-15764,-5520,1826,72.94672519,58.04437447,1
4702,-15684,-4552,3305,72.91913102,59.21608566,1
4734,-15952,-4752,2367,71.71211672,60.17259314,1
4767,-16336,-4796,1987,70.40687123,60.99800664,1
4798,-15640,-5324,1186,69.14703051,62.08288185,1
4832,-15556,-4860,1596,68.60841878,63.02614544,1
4867,-15448,-4300,1321,79.31543017,76.554921,1
4903,-15220,-4492,2025,73.51723758,68.73089503,1
4934,-15096,-4588,801,78.04034004,75.22962885,1
4967,-15564,-5280,-1460,72.61731898,68.75405778,1
4998,-15588,-5444,-1730,79.84757673,77.22648675,1
5031,-15276,-5456,-1498,71.73423884,66.60983621,1
5066,-15528,-6452,-2375,72.33430429,66.24525425,1
5099,-15772,-6724,-567,74.14694022,65.84374957,1
5133,-15420,-7016,664,75.14881679,65.07632198,1
5167,-15228,-6372,988,77.05009266,64.43312892,1
5199,-15052,-6628,781,78.76997824,63.99579234,1
5234,-14896,-6664,1265,81.31955521,63.85032854,1
5267,-15012,-6652,934,86.06268181,63.7539256,1
5300,-15484,-6020,2312,86.38436686,63.32003815,1
5335,-14780,-6464,788,87.34828316,62.53066512,1
5368,-15096,-6188,-2480,88.8593296,60.2513415,1
