Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,-11716,1023,System.Double[],0
37,-10520,1021,System.Double[],0
379,-11020,1023,System.Double[],0
400,-10984,1022,System.Double[],0
433,-11044,1023,System.Double[],0
466,-10996,1023,System.Double[],0
499,-10736,1023,System.Double[],0
533,-10692,1023,System.Double[],0
568,-10824,1022,System.Double[],0
602,-10648,1021,System.Double[],0
636,-10852,1023,System.Double[],0
665,-10876,1021,System.Double[],0
700,-10876,1023,System.Double[],0
734,-10652,1020,System.Double[],0
766,-10800,1023,System.Double[],0
801,-10764,1023,System.Double[],0
834,-10664,1022,System.Double[],0
866,-10896,1023,System.Double[],0
899,-10652,1023,System.Double[],0
934,-10768,1023,System.Double[],0
965,-10716,1021,System.Double[],0
1001,-11076,1021,System.Double[],0
1037,-11600,1023,System.Double[],0
1068,-11932,1019,System.Double[],0
1100,-11400,1022,System.Double[],0
1134,-12456,1023,System.Double[],0
1167,-12096,1020,System.Double[],0
1201,-11856,1023,System.Double[],0
1236,-11832,1020,System.Double[],0
1269,-11868,1023,System.Double[],0
1304,-11536,1022,System.Double[],0
1334,-11340,1023,System.Double[],0
1365,-9844,1023,System.Double[],0
1399,-9300,1020,System.Double[],0
1436,-8400,1023,System.Double[],0
1467,-7072,1023,System.Double[],0
1500,-8084,1023,System.Double[],0
1534,-6224,1023,System.Double[],0
1566,-7692,1023,System.Double[],0
1601,-7224,1022,System.Double[],0
1636,-6944,1023,System.Double[],0
1667,-6744,1023,System.Double[],0
1701,-5992,1022,System.Double[],0
1736,-5132,1023,System.Double[],0
1765,-5868,1023,System.Double[],0
1800,-6728,1020,System.Double[],0
1836,-6148,1023,System.Double[],0
1866,-6248,1023,System.Double[],0
1901,-6976,1023,System.Double[],0
1933,-7464,1023,System.Double[],0
1966,-8552,1023,System.Double[],0
2001,-8808,1021,System.Double[],0
2035,-7956,1023,System.Double[],0
2067,-9800,1022,System.Double[],0
2101,-9164,1023,System.Double[],0
2133,-8752,1022,System.Double[],0
2165,-21092,1023,System.Double[],1
2200,-10820,1020,System.Double[],1
2235,-10380,1023,System.Double[],1
2267,-11216,1023,System.Double[],1
2302,-11964,1021,System.Double[],1
2334,-11716,1023,System.Double[],1
2366,-10952,1023,System.Double[],1
2399,-10708,1020,System.Double[],1
2433,-11172,1023,System.Double[],1
2466,-10796,1020,System.Double[],1
2502,-11000,1023,System.Double[],1
2557,-10532,1023,System.Double[],1
2573,-10772,1021,System.Double[],1
2600,-10916,1023,System.Double[],1
2633,-10696,1022,System.Double[],1
2666,-10732,1023,System.Double[],1
2700,-10688,1023,System.Double[],1
2738,-10448,1021,System.Double[],1
2766,-10644,1023,System.Double[],1
2801,-10492,1021,System.Double[],1
2834,-11076,1023,System.Double[],1
2867,-11660,1021,System.Double[],1
2901,-12380,1023,System.Double[],1
2936,-10828,1023,System.Double[],1
2966,-11804,1019,System.Double[],1
3001,-11708,1023,System.Double[],1
3032,-11308,1020,System.Double[],1
3069,-11412,1023,System.Double[],1
3102,-10956,1022,System.Double[],1
3134,-10804,1023,System.Double[],1
3169,-10168,1017,System.Double[],1
3203,-10628,1023,System.Double[],1
3235,-9188,1023,System.Double[],1
3266,-8764,1020,System.Double[],1
3304,-7116,1023,System.Double[],1
3332,-7444,1023,System.Double[],1
3366,-5996,1019,System.Double[],1
3404,-6420,1023,System.Double[],1
3435,-6104,1020,System.Double[],1
3467,-6428,1021,System.Double[],1
3503,-6188,1023,System.Double[],1
3532,-6264,1023,System.Double[],1
3568,-6532,1019,System.Double[],1
3600,-6752,1023,System.Double[],1
3633,-7144,1022,System.Double[],1
3665,-7124,1017,System.Double[],1
3699,-7280,1023,System.Double[],1
3733,-7904,1023,System.Double[],1
3766,-8428,1022,System.Double[],1
3804,-8816,1023,System.Double[],1
3833,-8816,1023,System.Double[],1
3866,-8156,1022,System.Double[],1
3901,-9116,1015,System.Double[],1
3935,-9568,1022,System.Double[],1
3965,-29108,1023,System.Double[],1
4002,-10732,1023,System.Double[],1
4037,-6608,1016,System.Double[],1
4067,-8800,1019,System.Double[],1
4102,-11276,1023,System.Double[],1
4134,-10292,1020,System.Double[],1
4165,-10016,1023,System.Double[],1
4202,-10260,1023,System.Double[],1
4236,-10240,1019,System.Double[],1
