Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,8764,330,System.Double[],0
33,7912,331,System.Double[],0
78,7660,331,System.Double[],0
101,7368,332,System.Double[],0
133,7556,328,System.Double[],0
169,7044,329,System.Double[],0
203,6604,329,System.Double[],0
233,6536,329,System.Double[],0
266,6204,331,System.Double[],0
300,6244,332,System.Double[],0
333,5828,335,System.Double[],0
367,5720,331,System.Double[],0
400,5640,329,System.Double[],0
436,5464,329,System.Double[],0
470,4988,331,System.Double[],0
502,4512,326,System.Double[],0
533,4112,331,System.Double[],0
566,3852,332,System.Double[],0
602,4092,334,System.Double[],0
634,4364,324,System.Double[],0
667,4792,329,System.Double[],0
700,5348,331,System.Double[],0
734,5424,330,System.Double[],0
768,5224,330,System.Double[],0
799,5248,332,System.Double[],0
835,5628,331,System.Double[],0
868,5576,328,System.Double[],0
901,6016,329,System.Double[],0
934,6180,332,System.Double[],0
967,6248,331,System.Double[],0
1001,6604,330,System.Double[],0
1034,2372,332,System.Double[],0
1068,16384,336,System.Double[],0
1101,4752,333,System.Double[],0
1133,3812,340,System.Double[],0
1168,3832,329,System.Double[],0
1199,8588,330,System.Double[],0
1234,8712,332,System.Double[],0
1270,5752,329,System.Double[],0
1303,5368,329,System.Double[],0
1334,7216,328,System.Double[],0
1367,7364,330,System.Double[],0
1402,6432,331,System.Double[],0
1434,6288,333,System.Double[],0
1468,7028,326,System.Double[],0
1502,6476,331,System.Double[],0
1534,6628,331,System.Double[],0
1567,6772,331,System.Double[],0
1600,6696,327,System.Double[],0
1634,6720,327,System.Double[],0
1668,6668,330,System.Double[],0
1702,6488,330,System.Double[],0
1734,6336,329,System.Double[],0
1767,6392,328,System.Double[],0
1800,6296,331,System.Double[],0
1835,6156,330,System.Double[],0
1867,6208,328,System.Double[],0
1901,6240,329,System.Double[],0
1935,6164,329,System.Double[],0
1967,6316,330,System.Double[],0
2000,5932,328,System.Double[],0
2034,6032,330,System.Double[],0
2067,5908,326,System.Double[],0
2103,5896,332,System.Double[],0
2135,5836,329,System.Double[],0
2167,5916,327,System.Double[],0
2201,5996,328,System.Double[],0
2235,5880,330,System.Double[],1
