Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,-12680,343,133.003771419413,0
34,-12252,345,133.06186898492,0
64,-12272,347,139.889825095247,0
95,-12104,348,133.187633919773,0
130,-12420,348,133.209960063224,0
163,-12612,347,133.215893304357,0
196,-12160,347,133.24200940528,0
230,-12300,347,132.567472728179,0
263,-12296,347,132.741020531376,0
295,-12116,347,132.762325532841,0
330,-12144,347,132.843606259245,0
362,-12392,347,139.962119956301,0
397,-12256,348,131.204999468296,0
431,-12220,348,139.165239346778,0
462,-12212,348,132.973921905534,0
498,-12332,346,132.96512766302,0
530,-12468,345,133.145754884856,0
563,-12244,344,133.32897259364,0
596,-12340,344,133.241459648697,0
629,-12352,344,133.087837321286,0
666,-12436,344,133.076169774907,0
695,-12300,345,132.904453927601,0
729,-12360,345,132.881049127958,0
762,-12272,345,132.824118453304,0
796,-12228,345,132.582260737718,0
833,-12256,345,131.898235921163,0
864,-12156,347,131.650147133857,0
896,-12564,349,131.399469155091,0
932,-12296,349,131.43075525216,0
963,-12184,348,132.320873565513,0
996,-12380,346,132.485661728224,0
1029,-12080,346,133.253720195776,0
1064,-12244,346,134.084525646864,0
1097,-12164,347,134.429287839308,0
1131,-12304,347,134.8353284295,0
1164,-12320,347,135.129525557807,0
1195,-12360,347,135.382245587084,0
1231,-12088,347,135.481105043928,0
1264,-12060,347,135.885801435264,0
1297,-12052,347,136.167179827769,0
1330,-12072,347,136.236325782877,0
1364,-12268,347,136.258776469422,0
1395,-12052,349,136.248554671121,0
1430,-12128,350,136.170998024737,0
1462,-12132,350,135.562336772163,0
1497,-12392,348,133.703763933982,0
1531,-12240,348,133.470001623836,0
1564,-12252,347,132.69283185848,0
1596,-12256,347,132.47829894448,0
1630,-12248,347,132.448300010645,0
1664,-12256,347,132.408822981306,0
1698,-12116,347,131.889682422555,0
1732,-12200,347,132.116704946338,0
1763,-12268,346,132.13008138665,0
1796,-12156,346,133.25937213683,0
1829,-12372,346,134.138229191197,0
1863,-12272,346,135.301895027428,0
