Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,-3344,302,System.Double[],0
35,-2360,302,System.Double[],0
67,-1108,302,System.Double[],0
132,-5532,305,System.Double[],0
166,-5388,305,System.Double[],0
198,-2768,304,System.Double[],0
231,-4204,304,System.Double[],0
267,-4276,305,System.Double[],0
299,-3776,304,System.Double[],0
332,-3500,304,System.Double[],0
364,-2032,305,System.Double[],0
398,-1672,304,System.Double[],0
433,-716,305,System.Double[],0
466,28,304,System.Double[],0
499,-16,303,System.Double[],0
532,-1308,303,System.Double[],0
564,1088,303,System.Double[],0
598,-392,302,System.Double[],0
631,740,302,System.Double[],0
664,1900,302,System.Double[],0
703,2064,302,System.Double[],0
735,2264,303,System.Double[],0
767,2044,302,System.Double[],0
800,2696,301,System.Double[],0
832,2432,302,System.Double[],0
867,2588,302,System.Double[],0
898,2672,301,System.Double[],0
932,3632,302,System.Double[],0
969,2724,302,System.Double[],0
999,1064,302,System.Double[],0
1034,1220,301,System.Double[],0
1065,888,301,System.Double[],0
1102,1916,301,System.Double[],0
1135,1128,301,System.Double[],0
1167,1984,301,System.Double[],0
1201,1564,300,System.Double[],0
1232,1752,301,System.Double[],0
1265,2216,301,System.Double[],0
1298,3880,300,System.Double[],0
1334,-772,301,System.Double[],0
1368,4172,300,System.Double[],0
1401,1108,301,System.Double[],0
1434,1460,301,System.Double[],0
1466,-104,300,System.Double[],0
1499,-2500,300,System.Double[],0
1531,-1964,300,System.Double[],0
1567,-2180,300,System.Double[],0
1599,-3836,300,System.Double[],0
1632,-2904,300,System.Double[],0
1666,-6456,301,System.Double[],0
1700,-3664,300,System.Double[],0
1731,-4744,301,System.Double[],0
1765,2312,300,System.Double[],0
1801,9784,303,System.Double[],0
1835,-7912,302,System.Double[],0
1867,-7000,302,System.Double[],0
1900,-3948,302,System.Double[],0
1931,-4200,302,System.Double[],0
1967,-3252,302,System.Double[],0
2000,-3216,302,System.Double[],0
2035,-3580,302,System.Double[],0
2067,-3756,302,System.Double[],0
2100,-3808,303,System.Double[],0
2130,-4008,303,System.Double[],0
2165,-4964,302,System.Double[],0
2199,-4252,302,System.Double[],0
2234,-3400,302,System.Double[],0
2266,-2640,302,System.Double[],0
2299,-2392,303,System.Double[],0
2331,-2568,303,System.Double[],0
2365,-3248,302,System.Double[],0
2397,-3148,302,System.Double[],0
2434,-2384,302,System.Double[],0
2469,-2784,302,System.Double[],0
2500,-3148,302,System.Double[],0
2530,-2876,302,System.Double[],0
2564,-2932,302,System.Double[],0
2603,-2776,302,System.Double[],0
2634,-3104,302,System.Double[],0
2667,-3512,302,System.Double[],0
2703,-2812,302,System.Double[],0
2732,-3116,302,System.Double[],0
2769,-3284,302,System.Double[],0
2799,-3184,301,System.Double[],0
2832,-4108,302,System.Double[],0
2865,-4020,301,System.Double[],0
2903,1696,302,System.Double[],0
2932,-3240,302,System.Double[],0
2967,-2048,301,System.Double[],0
2999,-2508,302,System.Double[],0
3032,-1244,302,System.Double[],0
3064,-680,302,System.Double[],0
3101,596,302,System.Double[],0
3133,476,301,System.Double[],0
3167,2060,301,System.Double[],0
3199,548,302,System.Double[],0
3232,2296,301,System.Double[],0
3267,2292,300,System.Double[],0
3300,3688,301,System.Double[],0
3334,3904,301,System.Double[],0
3366,1644,301,System.Double[],1
3399,5836,302,System.Double[],1
3433,4320,303,System.Double[],1
3465,5708,304,System.Double[],1
3500,3220,303,System.Double[],1
3532,3876,303,System.Double[],1
3567,196,302,System.Double[],1
3599,1116,301,System.Double[],1
3633,-72,300,System.Double[],1
3665,-504,300,System.Double[],1
3700,652,301,System.Double[],1
3733,2660,302,System.Double[],1
3769,3204,300,System.Double[],1
3800,3300,301,System.Double[],1
3833,3784,300,System.Double[],1
3864,3420,301,System.Double[],1
3899,4108,300,System.Double[],1
3932,2372,302,System.Double[],1
3969,3440,302,System.Double[],1
4000,2276,300,System.Double[],1
4033,2320,300,System.Double[],1
4065,3532,300,System.Double[],1
4100,2396,301,System.Double[],1
4132,2160,300,System.Double[],1
4167,3056,301,System.Double[],1
4202,2336,300,System.Double[],1
4233,3444,300,System.Double[],1
4265,1600,300,System.Double[],1
4298,1272,301,System.Double[],1
4333,1532,301,System.Double[],1
4366,-860,300,System.Double[],1
4398,2924,300,System.Double[],1
4433,-1112,301,System.Double[],1
4466,-7540,300,System.Double[],1
4500,-1644,299,System.Double[],1
4532,-2776,299,System.Double[],1
4567,-2280,299,System.Double[],1
4600,-1024,300,System.Double[],1
4635,-352,300,System.Double[],1
4665,1048,300,System.Double[],1
4700,552,301,System.Double[],1
4731,888,301,System.Double[],1
4766,772,301,System.Double[],1
4799,236,301,System.Double[],1
4834,76,301,System.Double[],1
4867,84,300,System.Double[],1
4899,180,300,System.Double[],1
4932,152,300,System.Double[],1
4966,432,300,System.Double[],1
4999,392,301,System.Double[],1
5033,268,301,System.Double[],1
5067,244,301,System.Double[],1
5098,140,301,System.Double[],1
5133,0,301,System.Double[],1
5166,72,301,System.Double[],1
5198,84,302,System.Double[],1
5233,76,301,System.Double[],1
5266,-172,301,System.Double[],1
5302,-68,301,System.Double[],1
5332,120,301,System.Double[],1
5365,212,301,System.Double[],1
5398,28,301,System.Double[],1
5433,-572,300,System.Double[],1
5465,-304,301,System.Double[],1
5502,548,302,System.Double[],1
5533,-4744,300,System.Double[],1
5564,-856,301,System.Double[],1
5598,-1644,300,System.Double[],1
5634,-1888,302,System.Double[],1
5664,-1500,301,System.Double[],1
5701,-568,301,System.Double[],1
5732,-448,301,System.Double[],1
5766,712,301,System.Double[],1
