Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,3696,1020,System.Double[],0
36,3800,1023,System.Double[],0
68,3848,1018,System.Double[],0
102,3816,1021,System.Double[],0
133,3624,1023,System.Double[],0
167,3684,1019,System.Double[],0
201,3744,1018,System.Double[],0
235,3540,1023,System.Double[],0
270,3756,1021,System.Double[],0
301,3940,1021,System.Double[],0
333,3724,1020,System.Double[],0
367,3728,1020,System.Double[],0
401,3668,1023,System.Double[],0
434,3616,1021,System.Double[],0
468,3548,1019,System.Double[],0
502,3784,1023,System.Double[],0
534,3540,1023,System.Double[],0
566,3676,1019,System.Double[],0
600,3444,1020,System.Double[],0
633,3604,1023,System.Double[],0
667,3380,1023,System.Double[],0
702,3664,1019,System.Double[],0
734,3668,1018,System.Double[],0
768,3768,1023,System.Double[],0
799,3648,1023,System.Double[],0
834,3552,1021,System.Double[],0
867,3708,1020,System.Double[],0
903,3968,1021,System.Double[],0
936,4116,1023,System.Double[],0
968,3940,1023,System.Double[],0
1000,3632,1020,System.Double[],0
1035,3740,1023,System.Double[],0
1068,3700,1023,System.Double[],0
1102,3588,1023,System.Double[],0
1136,3796,1021,System.Double[],0
1167,3600,1021,System.Double[],0
1200,3844,1023,System.Double[],0
1234,3772,1023,System.Double[],0
1267,3912,1023,System.Double[],0
1300,3888,1019,System.Double[],0
1335,3828,1020,System.Double[],0
1368,3896,1022,System.Double[],0
1400,4052,1023,System.Double[],0
1434,4000,1020,System.Double[],0
1466,3840,1022,System.Double[],0
1500,3760,1023,System.Double[],0
1534,3836,1020,System.Double[],0
1568,3680,1020,System.Double[],0
1600,3588,1021,System.Double[],0
1634,3680,1023,System.Double[],0
1666,3648,1023,System.Double[],0
1700,3516,1020,System.Double[],0
1733,2948,1023,System.Double[],0
1767,3580,1019,System.Double[],0
1800,3564,1018,System.Double[],0
1871,-10584,1018,System.Double[],0
1900,-10352,1022,System.Double[],0
1934,-10456,1023,System.Double[],0
1966,-10572,1022,System.Double[],0
2002,-10708,1022,System.Double[],0
2033,-10632,1023,System.Double[],0
2068,-10304,1023,System.Double[],0
2100,-10488,1017,System.Double[],0
2132,-10508,1020,System.Double[],0
2166,-10308,1023,System.Double[],0
2201,-10020,1023,System.Double[],0
2235,-9856,1019,System.Double[],0
2274,-10048,1023,System.Double[],0
2305,-9964,1021,System.Double[],0
2334,-8456,1023,System.Double[],0
2367,-9096,1021,System.Double[],1
2400,-10220,1023,System.Double[],1
2434,-9628,1023,System.Double[],1
2469,-9256,1023,System.Double[],1
2501,-8860,1021,System.Double[],1
2533,-8540,1023,System.Double[],1
2566,-8084,1023,System.Double[],1
2600,-8248,1022,System.Double[],1
2634,-7444,1023,System.Double[],1
2669,-7964,1020,System.Double[],1
2700,-8024,1023,System.Double[],1
2732,-8304,1021,System.Double[],1
2767,-9136,388,System.Double[],1
2799,-11812,402,System.Double[],1
2832,-9824,405,System.Double[],1
