Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,-5104,1023,System.Double[],0
32,-5336,1023,System.Double[],0
65,-5528,1023,System.Double[],0
101,-4968,1020,System.Double[],0
134,-4928,1023,System.Double[],0
165,-5284,1023,System.Double[],0
199,-5508,1019,System.Double[],0
232,-5400,1023,System.Double[],0
265,-5192,1023,System.Double[],0
300,-5240,1020,System.Double[],0
333,-5112,1023,System.Double[],0
365,-4976,1023,System.Double[],0
400,-5104,1020,System.Double[],0
431,-5120,1023,System.Double[],0
466,-5412,1022,System.Double[],0
499,-5532,1023,System.Double[],0
532,-5540,1023,System.Double[],0
566,-4976,1021,System.Double[],0
599,-4852,1020,System.Double[],0
631,-4940,1023,System.Double[],0
665,-5248,1023,System.Double[],0
699,-5372,1023,System.Double[],0
732,-5212,1023,System.Double[],0
767,-5352,1021,System.Double[],0
799,-5312,1023,System.Double[],0
831,-5192,1023,System.Double[],0
865,-5244,1020,System.Double[],0
899,-5292,1023,System.Double[],0
931,-5320,1023,System.Double[],0
966,-4996,1021,System.Double[],0
1000,-5060,1023,System.Double[],0
1032,-4968,1023,System.Double[],0
1067,-5200,1023,System.Double[],0
1098,-5188,1023,System.Double[],0
1132,-5112,1023,System.Double[],0
1165,-4700,1021,System.Double[],0
1200,-4552,1023,System.Double[],0
1231,-5012,1023,System.Double[],0
1265,-5168,1023,System.Double[],0
1299,-5264,1023,System.Double[],0
1331,-5116,1022,System.Double[],0
1366,-5052,1020,System.Double[],0
1403,-5536,1023,System.Double[],0
1432,-5816,1020,System.Double[],0
1465,-5732,1022,System.Double[],0
1499,-5680,1023,System.Double[],0
1531,-5748,1021,System.Double[],0
1565,-5136,1022,System.Double[],0
1600,-5152,1023,System.Double[],0
1633,-5380,1020,System.Double[],0
1664,-5320,1021,System.Double[],0
1714,-5296,1023,System.Double[],0
1732,-5300,1020,System.Double[],0
1765,-5420,1023,System.Double[],0
1799,-5652,1023,System.Double[],0
1834,-6408,1021,System.Double[],0
1865,-6028,1023,System.Double[],0
1897,-5312,1023,System.Double[],0
1932,-5000,1020,System.Double[],0
1965,-4628,1023,System.Double[],0
1998,-4640,1023,System.Double[],0
2032,-5200,1021,System.Double[],0
2066,-5796,1023,System.Double[],0
2099,-5800,1023,System.Double[],0
2131,-5676,1023,System.Double[],0
2164,-5492,1023,System.Double[],0
2269,-5552,1023,System.Double[],0
2315,-5720,1020,System.Double[],0
2332,-5432,1023,System.Double[],0
2365,-5616,1023,System.Double[],0
2398,-5616,1022,System.Double[],0
2432,-5372,1023,System.Double[],0
2482,-5504,1023,System.Double[],0
2513,-5456,1019,System.Double[],0
2531,-5620,1023,System.Double[],0
2564,-5132,1023,System.Double[],0
2598,-3680,1020,System.Double[],0
2633,-4992,1023,System.Double[],0
2665,-6748,1023,System.Double[],0
2702,-7928,1021,System.Double[],0
2735,-6876,1023,System.Double[],0
2765,-5776,1019,System.Double[],0
2798,-5928,1023,System.Double[],0
2832,-6664,1023,System.Double[],0
2865,-6052,1022,System.Double[],0
2901,-5352,1020,System.Double[],0
2936,-4784,1023,System.Double[],0
2966,-4700,1023,System.Double[],0
3003,-5392,1020,System.Double[],0
3034,-5932,1023,System.Double[],0
3064,-5932,1023,System.Double[],0
3100,-5564,1021,System.Double[],0
3135,-5464,1020,System.Double[],0
3166,-5872,1023,System.Double[],0
3200,-6036,1023,System.Double[],0
3233,-5980,1021,System.Double[],0
3265,-5788,1023,System.Double[],0
3351,-5652,1023,System.Double[],0
3369,-5528,1023,System.Double[],0
3399,-5760,1021,System.Double[],0
3433,-5716,1023,System.Double[],0
3465,-5792,1021,System.Double[],0
3500,-5772,1021,System.Double[],0
3534,-5764,1023,System.Double[],0
3568,-5652,1021,System.Double[],0
3600,-5780,1023,System.Double[],0
3632,-5648,1023,System.Double[],0
3666,-5524,1023,System.Double[],1
3701,-6052,1020,System.Double[],1
3734,-5088,1023,System.Double[],1
3768,-6196,1021,System.Double[],1
3802,-5384,1018,System.Double[],1
3833,-5980,1023,System.Double[],1
3866,-5368,1023,System.Double[],1
3899,-5200,1021,System.Double[],1
3933,-5640,1023,System.Double[],1
3966,-5656,1023,System.Double[],1
4002,-5120,1020,System.Double[],1
4034,-5148,1023,System.Double[],1
4065,-4748,1019,System.Double[],1
4102,-5748,1023,System.Double[],1
4133,-5528,1021,System.Double[],1
4166,-6300,1023,System.Double[],1
4201,-6084,342,System.Double[],1
4236,-6812,341,System.Double[],1
4267,-6312,344,System.Double[],1
4300,-6396,343,System.Double[],1
4334,-6816,347,System.Double[],1
4365,-6812,346,System.Double[],1
4400,-6136,346,System.Double[],1
4436,-6712,348,System.Double[],1
4468,-6316,348,System.Double[],1
4501,-6692,346,System.Double[],1
4533,-6104,345,System.Double[],1
4565,-6252,346,System.Double[],1
4600,-6496,346,System.Double[],1
4634,-6448,345,System.Double[],1
4667,-7368,346,System.Double[],1
4712,-7420,344,System.Double[],1
4756,-6908,344,System.Double[],1
4770,-6996,344,System.Double[],1
4799,-6936,341,System.Double[],1
4833,-6764,335,System.Double[],1
4868,-8248,331,System.Double[],1
4899,-6312,331,System.Double[],1
4933,-7108,332,System.Double[],1
4979,-6948,338,System.Double[],1
5011,-6672,346,System.Double[],1
5086,-6688,352,System.Double[],1
5135,-6388,353,System.Double[],1
5182,-6744,359,System.Double[],1
5218,-6904,363,System.Double[],1
5235,-6844,368,System.Double[],1
5267,-7432,1021,System.Double[],1
5300,-7208,1020,System.Double[],1
5346,-6812,377,System.Double[],1
5386,-7232,375,System.Double[],1
5430,-6972,1022,System.Double[],1
5444,-6856,1018,System.Double[],1
5465,-6940,1014,System.Double[],1
5500,-6904,1021,System.Double[],1
5533,-6648,1021,System.Double[],1
5565,-7476,1023,System.Double[],1
5600,-7140,1023,System.Double[],1
5633,-6840,1021,System.Double[],1
5666,-6776,1023,System.Double[],1
5701,-6968,1023,System.Double[],1
