Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,1172,305,134.661248862844,0
36,-12,306,134.596126273146,0
67,-792,306,134.590338811404,0
99,-1648,306,135.572312269446,0
139,-3100,305,135.3404714453,0
168,-528,304,135.922880383938,0
199,-4684,305,135.62403376387,0
235,-6084,304,135.413839608198,0
267,-6296,305,135.171462383736,0
300,-5040,304,135.081600815778,0
335,-4928,304,135.493611545176,0
367,-3624,304,135.280852706541,0
435,-1944,304,134.920576561708,0
466,-1024,304,134.844646559055,0
499,-2804,307,135.245933930525,0
534,2160,311,135.467249726174,0
568,5928,315,135.185167403431,0
600,7072,315,134.978337579316,0
635,13452,315,134.671817372415,0
667,14036,313,134.055536056757,0
698,8772,311,132.789106516363,0
734,8440,308,131.726481680522,0
766,4548,309,128.919108395567,0
800,4476,308,128.185123204763,0
836,3240,308,128.212128195831,0
869,472,307,133.781820854116,0
900,648,313,133.154972769874,0
934,-1072,309,131.700678069853,0
967,412,308,130.323445273698,0
1000,-3540,308,129.53515640203,0
1033,-4592,309,128.791537382809,0
1072,-3244,308,128.386794128669,0
1101,-2348,308,122.830159045912,0
1133,-1680,308,122.458894360552,0
1167,-1852,308,122.296124414991,0
1200,-1620,308,121.72169183452,0
1232,-1080,309,121.573811778336,0
1266,-8856,311,122.025591910417,0
1302,-6944,316,123.033821634703,0
1333,-3312,313,124.094591446287,0
1365,-1988,312,125.056147488148,0
1400,-2984,312,125.836285434815,0
1432,-2824,312,126.019317607598,0
1467,-4088,312,126.522175024323,0
1499,-4776,312,129.106837541407,0
1534,-3896,312,128.741726346433,0
1566,-3964,312,128.381265717369,0
1600,-4236,312,128.075637155919,0
1631,-3808,312,128.118172898023,0
1667,-3596,312,128.774053677228,0
1701,-3912,312,129.892547658705,0
1733,-4152,312,131.910448735457,0
1768,-4060,312,134.069184490265,0
1798,-4076,312,135.245351792479,0
1831,-4092,312,135.787630821427,0
1866,-4140,312,136.001086287941,0
1900,-4184,312,135.732645342302,0
1933,-4040,312,136.247931942529,0
1967,-4196,312,136.255857923285,0
2000,-4120,312,136.255743242173,0
2032,-3856,312,136.290999554354,0
2064,-3928,312,136.269366110514,0
2100,-3956,313,136.210162385275,0
2132,-4240,312,136.24533134681,0
2167,-4096,313,136.219488075104,0
2198,-4624,313,136.216979603523,1
2232,-5456,312,136.302199844029,1
2265,-5212,310,136.219365136933,1
2299,-4672,311,136.34889570578,1
2331,-4552,312,136.44144944452,1
2369,-2584,314,136.43728747122,1
2401,-1344,316,136.428522161659,1
2431,20,316,137.376177235556,1
2466,1872,316,137.294791515152,1
2498,3076,315,137.33701427405,1
2531,5556,314,137.28182879858,1
2569,7008,313,137.146818308534,1
2602,6316,313,137.143624558848,1
2634,6712,314,137.104369560722,1
2667,10652,316,137.204399238488,1
2699,9308,318,136.589461330608,1
2731,8700,319,136.602109409924,1
2765,9656,319,136.726517415337,1
2801,10756,319,136.69587359222,1
2833,11304,319,136.849403171375,1
2866,11908,318,136.795322862056,1
2900,10948,317,136.692372702843,1
2931,10320,318,136.682547351215,1
2964,9048,317,136.631105779831,1
2998,9132,317,136.598183159082,1
3032,9104,317,136.60838148229,1
3067,9800,317,136.612843854589,1
3100,10032,317,136.701122238804,1
3132,10400,317,136.679837595853,1
3164,10316,317,136.75600946663,1
3199,10144,317,136.533663061463,1
3232,10000,317,136.572106024512,1
3265,9704,317,136.544676304409,1
3298,9520,317,136.520054676687,1
3331,9632,317,136.591699449389,1
3368,9524,316,136.660901244377,1
3398,9820,316,136.789391181562,1
3431,9912,317,136.828970941006,1
3467,9876,317,136.742693231028,1
3502,9500,317,136.734764347611,1
3535,8896,317,136.706209054553,1
3565,8432,316,136.659081970525,1
3598,8216,317,136.346559823788,1
3631,8244,317,135.335744835092,1
3666,8364,317,133.412331135321,1
3701,8612,317,131.64426436197,1
3734,8988,317,131.066362244893,1
3764,8776,317,130.401828834113,1
3797,8708,317,128.616536224593,1
3830,8428,317,128.499414736741,1
3865,8196,317,128.476078702519,1
3899,8316,317,128.875374911385,1
3932,8484,317,128.501567187978,1
3965,8496,317,128.278440772612,1
3997,8436,317,127.976030425025,1
4031,8176,317,127.848954388706,1
4066,8168,317,127.982883782989,1
4098,8504,317,128.627623657229,1
4135,8552,317,127.21059238931,1
4167,8664,317,126.455505347544,1
4199,8384,317,126.522489250611,1
4234,8364,317,125.998329111664,1
4265,8392,317,126.023837642762,1
4299,8476,317,126.072646572028,1
4333,8580,317,126.116289876759,1
4369,8636,317,126.798899675319,1
4398,8428,316,126.985685345266,1
4431,8380,317,127.19531749644,1
4466,8672,317,127.555480930433,1
4497,8748,317,127.912517317837,1
4531,8368,317,128.878839455726,1
4566,8236,317,129.357596139516,1
4601,8232,316,129.902376588398,1
4633,8168,316,130.680876823501,1
4666,8448,316,132.053162045287,1
4697,8416,316,133.723938550565,1
4732,8548,316,135.393450097991,1
4768,8432,316,136.302837406306,1
4799,8240,316,137.487455175285,1
4832,8240,316,138.357407184624,1
4866,8344,317,140.26845834472,1
4897,8184,316,140.09053349233,1
4932,8276,316,141.127120889417,1
4964,8328,316,140.970469074956,1
5002,8068,317,140.889502074602,1
5032,8092,316,140.838696445671,1
5065,7968,316,140.007172655597,1
5098,8096,316,139.194444846939,1
5133,8096,316,139.5721867795,1
5166,7980,317,139.380371615851,1
5199,7900,316,139.683943728289,1
5235,8164,317,139.479385802848,1
5264,8160,317,139.06448245167,1
5300,8508,316,138.682731044324,1
5333,8572,316,138.193598684084,1
5364,8256,316,138.118553131838,1
5397,7796,317,137.743255533301,1
5434,7508,316,138.001426245419,1
5466,7732,317,138.057448969553,1
5498,7800,316,138.107163239366,1
5533,7972,316,138.793694755953,1
5565,7756,316,138.647082179622,1
5598,7616,316,138.409429307126,1
5634,7848,316,138.42422887777,1
5666,7688,316,138.161428817474,1
5699,7824,316,138.390078730346,1
5733,7540,316,138.614895658518,1
5766,7712,316,139.32630434097,1
5798,7636,316,138.848392260135,1
5834,7612,316,139.401817931503,1
5866,7672,316,139.428877012988,1
5898,7736,316,139.401732134487,1
5933,7552,317,139.41376828827,1
5964,7412,316,139.38754827035,1
5999,7416,316,139.909349364907,1
6033,7628,316,139.918132424361,1
6067,7684,316,139.828592852558,1
6097,7540,316,139.720666976723,1
6133,7660,316,139.971713736137,1
6164,7496,316,139.526459555172,2
6197,7556,316,139.481937773654,2
6233,7824,316,139.139190420943,2
6265,7720,316,139.314074853032,2
6300,7764,316,139.433425130965,2
6332,7568,316,139.556321248347,2
6366,7492,316,139.579826270245,2
6398,7616,316,139.301588638219,2
6433,7884,316,138.800546047867,2
6466,7832,316,138.637328665269,2
6499,7628,316,138.611069280431,2
6532,7708,316,139.100806531894,2
6566,7672,316,138.778545103957,2
6598,7652,316,138.617144455571,2
6632,7704,316,138.41893838542,2
6666,7900,316,138.250146965376,2
6699,7776,316,137.951934006498,2
6735,7884,316,137.61045156231,2
6765,7504,316,138.515196738008,2
6798,7568,316,137.340081342314,2
6832,7732,316,137.580265374385,2
6866,7900,316,137.910886524585,2
6898,7972,316,138.037832673974,2
6933,7824,316,137.868137723876,2
6967,7752,316,137.80031082406,2
6997,8016,316,135.368661964821,2
7053,8068,316,134.023486379542,2
7065,8104,317,133.45304960557,2
7098,7776,317,132.912939928568,2
7132,7380,317,131.100704384172,2
7166,6832,317,131.305735801965,2
7198,5928,318,136.997832425601,2
7232,5744,318,133.295916896985,2
7266,6584,317,133.879405874055,2
7298,7480,317,132.409638409776,2
7331,7760,317,131.285400261093,2
7367,7512,317,130.461879716582,2
7399,6836,317,129.868712360486,2
7432,6508,317,128.962611971659,2
7553,7912,319,128.005492292157,2
7566,7736,319,127.684535845696,2
7598,8252,320,127.63378398463,2
7632,8884,320,127.699133854082,2
7665,11312,320,127.715304146848,2
7697,11440,319,127.816270841012,2
7733,11512,319,127.97397518371,2
7765,12076,318,129.290285869515,2
7798,12824,318,129.775504394013,2
7834,12428,318,130.371818297934,2
7866,12468,318,131.147370019036,2
7899,12964,318,131.019694524578,2
7933,12960,318,130.834858356574,2
7964,12144,318,130.817359671842,2
7999,12312,318,131.362649270545,2
8032,12444,318,132.080537552488,2
8066,13516,318,133.480080852483,2
8098,14752,318,134.666291894148,2
8133,14432,318,135.841053754078,2
8164,13924,318,136.753638788882,2
8197,13444,318,137.290327738977,2
8231,12292,318,137.433410484597,2
8266,12688,318,137.868867989059,2
8300,12296,318,138.425404279525,2
8333,11188,318,138.57958851181,2
8365,10000,318,138.544593235236,2
8398,8796,318,138.33598256771,2
8431,9084,318,137.944564325533,2
8466,8928,318,137.675583349318,2
8498,8752,318,137.533317081655,2
8532,8880,319,137.417004377712,2
8564,9224,319,137.341715403302,2
8598,10272,318,137.173834444525,2
