Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,-6856,1023,145.905050100518,0
32,-6788,1023,148.457483234027,0
65,-6796,1020,151.093828945465,0
100,-6828,1019,152.007119019993,0
133,-7068,1023,155.359388941345,0
167,-6844,1016,154.278000433811,0
200,-6924,1023,153.531207976038,0
234,-6844,1023,156.827213130319,0
265,-6916,1018,151.224475499483,0
298,-7056,1023,154.371867231007,0
334,-6960,1021,156.560272425305,0
380,-6828,1018,154.207856852326,0
401,-7040,1023,155.486379213737,0
433,-6972,1023,153.184504027426,0
465,-6984,1017,146.883709390921,0
499,-6784,1023,147.23237488694,0
531,-6768,1022,142.114216740691,0
567,-6920,1021,146.517086734587,0
599,-6888,1023,157.427554723797,0
636,-6812,1018,167.794682695364,0
666,-6808,1023,167.902641016474,0
698,-6896,1023,166.180289630619,0
732,-6976,1018,134.89720286572,0
765,-6776,1023,131.442853553966,0
801,-6956,1021,177.708412396663,0
834,-6780,1020,178.223447281723,0
865,-6856,1023,179.453579043008,0
898,-7076,1017,24.4882959666279,0
933,-6984,1023,176.336462511228,0
964,-6964,1022,76.2691772590783,0
999,-7132,1021,175.992014316738,0
1036,-7128,1023,176.660241880148,0
1066,-6920,1023,172.12791735099,0
1098,-7104,1019,142.849656964373,0
1132,-7056,1023,165.362782411898,0
1164,-7148,1023,115.988343485084,0
1198,-7084,1017,90.3330539869964,0
1234,-7156,1023,112.442533201595,0
1265,-7072,1018,111.692748848474,0
1300,-7152,1022,94.5246416549376,0
1331,-7204,1023,146.351618435891,0
1365,-7272,1020,141.528772444306,0
1398,-7132,1023,148.205228437276,0
1433,-7140,1023,174.656420405994,0
1468,-7088,1021,173.326998521294,0
1498,-7236,1023,175.264573793403,0
1531,-7256,1023,139.883988519033,0
1567,-7140,1022,113.043649952172,0
1597,-7120,1023,153.18160588013,0
1634,-7192,1020,112.757992029417,0
1665,-7156,1019,169.856492804979,0
1702,-7092,1023,161.919530546168,0
1734,-7240,1021,172.864786146853,0
1764,-7112,1023,170.627527136413,0
1797,-7104,1023,163.414889375897,0
1831,-7112,1019,174.326712668238,0
1865,-7212,1023,159.694161364057,0
1900,-7328,1023,139.386799097187,0
1933,-7456,1023,168.558458285402,0
1964,-7172,1020,168.80633434416,0
2000,-7356,1023,174.991605027388,0
2031,-7116,1019,143.173170903002,0
2064,-7120,1022,119.996657843887,0
2100,-7292,1023,118.306577257271,0
