Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,2268,304,System.Double[],0
36,1768,304,System.Double[],0
65,556,306,System.Double[],0
98,28,309,System.Double[],0
135,72,308,System.Double[],0
167,1228,307,System.Double[],0
200,2628,307,System.Double[],0
233,2808,305,System.Double[],0
271,3028,307,System.Double[],0
299,2824,306,System.Double[],0
333,3228,307,System.Double[],0
368,2492,311,System.Double[],0
401,2624,312,System.Double[],0
433,2788,307,System.Double[],0
467,3388,305,System.Double[],0
500,2848,306,System.Double[],0
534,2640,307,System.Double[],0
566,2728,303,System.Double[],0
600,2752,311,System.Double[],0
635,3332,304,System.Double[],0
666,3208,304,System.Double[],0
700,2816,305,System.Double[],0
734,3140,307,System.Double[],0
766,2956,310,System.Double[],0
800,2632,307,System.Double[],0
835,3060,305,System.Double[],0
866,2920,305,System.Double[],0
899,2864,310,System.Double[],0
934,2408,309,System.Double[],0
965,1936,308,System.Double[],0
999,1412,305,System.Double[],0
1034,1132,304,System.Double[],0
1067,3124,302,System.Double[],0
1099,3360,306,System.Double[],0
1133,5524,306,System.Double[],0
1167,7328,307,System.Double[],0
1199,7160,316,System.Double[],0
1234,9868,309,System.Double[],0
1269,12588,312,System.Double[],0
1299,9928,306,System.Double[],0
1335,10804,311,System.Double[],0
1367,9068,314,System.Double[],0
1399,9576,315,System.Double[],0
1433,9424,308,System.Double[],0
1467,10000,308,System.Double[],0
1500,10728,313,System.Double[],0
1533,10148,311,System.Double[],0
1566,9600,310,System.Double[],0
1600,9460,309,System.Double[],0
1633,9688,309,System.Double[],0
1666,9308,315,System.Double[],0
1701,10444,315,System.Double[],0
1733,10272,295,System.Double[],1
1766,10252,302,System.Double[],1
1799,11384,303,System.Double[],1
1834,8120,301,System.Double[],1
1865,12532,298,System.Double[],1
1901,12876,307,System.Double[],1
1932,6808,301,System.Double[],1
1966,6372,308,System.Double[],1
2000,5712,303,System.Double[],1
2033,-316,300,System.Double[],1
2065,-1276,307,System.Double[],1
2101,100,305,System.Double[],1
2135,1076,304,System.Double[],1
2167,2640,302,System.Double[],1
2200,1928,307,System.Double[],1
2233,2656,305,System.Double[],1
2268,2576,308,System.Double[],1
2299,2856,307,System.Double[],1
2334,2360,305,System.Double[],1
2369,2632,307,System.Double[],1
2401,2980,305,System.Double[],1
2432,3112,303,System.Double[],1
2467,2628,301,System.Double[],1
2499,3024,308,System.Double[],1
2534,3228,307,System.Double[],1
