Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,-8556,319,System.Double[],0
36,-8556,319,System.Double[],0
74,-8328,319,System.Double[],0
107,-8648,319,System.Double[],0
135,-8480,319,System.Double[],0
174,-8660,319,System.Double[],0
203,-8628,319,System.Double[],0
233,-8484,320,System.Double[],0
268,-8584,320,System.Double[],0
307,-8324,320,System.Double[],0
341,-8604,320,System.Double[],0
370,-8560,320,System.Double[],0
399,-8500,319,System.Double[],0
434,-8824,320,System.Double[],0
468,-8412,320,System.Double[],0
505,-8656,320,System.Double[],0
539,-8584,320,System.Double[],0
568,-8756,321,System.Double[],0
601,-8504,320,System.Double[],0
633,-8712,320,System.Double[],0
669,-8652,320,System.Double[],0
702,-8416,320,System.Double[],0
737,-8436,320,System.Double[],0
768,-8404,320,System.Double[],0
802,-8556,320,System.Double[],0
835,-8588,320,System.Double[],0
867,-9008,320,System.Double[],0
900,-8660,320,System.Double[],0
934,-8364,320,System.Double[],0
968,-8796,320,System.Double[],0
999,-8424,319,System.Double[],0
1033,-8908,320,System.Double[],0
1065,-8920,319,System.Double[],0
1099,-8784,318,System.Double[],0
1137,-8688,319,System.Double[],0
1169,-8696,320,System.Double[],0
1198,-8696,319,System.Double[],0
1233,-8552,320,System.Double[],0
1266,-8488,320,System.Double[],0
1301,-8888,320,System.Double[],0
1334,-8720,321,System.Double[],0
1371,-8828,320,System.Double[],0
1400,-8612,320,System.Double[],0
1434,-8600,320,System.Double[],0
1465,-8604,321,System.Double[],0
1500,-8500,319,System.Double[],0
1540,-8472,320,System.Double[],0
1572,-8600,319,System.Double[],0
1603,-8504,319,System.Double[],0
1634,-8580,319,System.Double[],0
1666,-8424,319,System.Double[],0
1704,-8388,319,System.Double[],0
1732,-7796,319,System.Double[],0
1766,-8028,319,System.Double[],0
1803,-8384,319,System.Double[],0
1837,-8568,320,System.Double[],1
1869,-9240,319,System.Double[],1
1901,-8800,320,System.Double[],1
1933,-8336,319,System.Double[],1
1966,-8364,319,System.Double[],1
2002,-8248,318,System.Double[],1
2038,-8388,319,System.Double[],1
2067,-8212,318,System.Double[],1
2101,-8148,319,System.Double[],1
2131,-8216,320,System.Double[],1
2166,-8876,320,System.Double[],1
2203,-8816,320,System.Double[],1
2237,-8380,320,System.Double[],1
2269,-8020,319,System.Double[],1
2301,-7832,319,System.Double[],1
2336,-7996,320,System.Double[],1
2370,-8144,319,System.Double[],1
2402,-8068,319,System.Double[],1
2434,-7808,320,System.Double[],1
2470,-7788,319,System.Double[],1
2503,-8168,319,System.Double[],1
2534,-8152,319,System.Double[],1
2566,-7940,319,System.Double[],1
2603,-8056,319,System.Double[],1
2635,-8124,319,System.Double[],1
2668,-8092,319,System.Double[],1
2705,-8428,320,System.Double[],1
2735,-8380,319,System.Double[],1
2770,-8372,319,System.Double[],1
2803,-8320,320,System.Double[],1
2835,-8064,318,System.Double[],1
2869,-8268,319,System.Double[],1
2903,-7976,320,System.Double[],1
2935,-8492,320,System.Double[],1
2966,-8276,320,System.Double[],1
3004,-8424,320,System.Double[],1
3036,-8348,320,System.Double[],1
3067,-8180,320,System.Double[],1
3105,-8116,320,System.Double[],1
3134,-8308,321,System.Double[],1
3169,-8344,320,System.Double[],1
3200,-8268,320,System.Double[],1
3232,-7820,320,System.Double[],1
3265,-7692,319,System.Double[],1
3304,-7792,320,System.Double[],1
3330,-7656,320,System.Double[],1
3364,-8024,320,System.Double[],1
3399,-8200,320,System.Double[],1
3431,-8316,320,System.Double[],1
3466,-8560,320,System.Double[],1
3503,-7728,321,System.Double[],1
3536,-7848,320,System.Double[],1
3565,-8496,320,System.Double[],1
3600,-8580,320,System.Double[],1
3635,-7804,321,System.Double[],1
3666,-8132,320,System.Double[],1
3702,-8236,320,System.Double[],1
3736,-7896,320,System.Double[],1
3769,-8312,319,System.Double[],1
3800,-8244,320,System.Double[],1
3833,-8256,321,System.Double[],1
3868,-8444,321,System.Double[],1
3904,-8116,321,System.Double[],1
3937,-8048,320,System.Double[],1
3971,-8204,320,System.Double[],1
4002,-8272,320,System.Double[],1
4038,-8332,320,System.Double[],1
4067,-8220,320,System.Double[],1
4105,-8092,320,System.Double[],1
4137,-8024,319,System.Double[],1
4170,-7956,320,System.Double[],1
4204,-7992,321,System.Double[],1
4237,-8204,320,System.Double[],1
4267,-8656,319,System.Double[],1
4303,-8988,318,System.Double[],1
4336,-8720,317,System.Double[],1
4368,-8708,318,System.Double[],1
4405,-8396,317,System.Double[],1
4434,-8120,318,System.Double[],1
4470,-8172,318,System.Double[],1
4500,-8280,318,System.Double[],2
4537,-8640,317,System.Double[],2
4571,-8956,319,System.Double[],2
4603,-9096,317,System.Double[],2
4637,-9012,317,System.Double[],2
4670,-8472,317,System.Double[],2
4703,-7952,319,System.Double[],2
4734,-8220,318,System.Double[],2
4767,-8288,317,System.Double[],2
4803,-8488,317,System.Double[],2
4836,-8720,317,System.Double[],2
4869,-8860,317,System.Double[],2
4903,-8644,318,System.Double[],2
4934,-8752,316,System.Double[],2
4969,-8444,317,System.Double[],2
5001,-8684,316,System.Double[],2
5037,-8668,317,System.Double[],2
5071,-8668,317,System.Double[],2
5104,-8484,315,System.Double[],2
5136,-8644,316,System.Double[],2
5172,-8540,316,System.Double[],2
5202,-8496,317,System.Double[],2
5236,-8520,316,System.Double[],2
5271,-8592,317,System.Double[],2
5304,-8600,316,System.Double[],2
5336,-8768,317,System.Double[],2
5369,-8728,317,System.Double[],2
5402,-8684,318,System.Double[],2
5433,-8872,317,System.Double[],2
5469,-8712,317,System.Double[],2
5502,-8528,317,System.Double[],2
5534,-8428,316,System.Double[],2
5567,-8820,316,System.Double[],2
5599,-9088,316,System.Double[],2
5635,-9028,317,System.Double[],2
5681,-8804,316,System.Double[],2
5705,-8596,317,System.Double[],2
5734,-8668,317,System.Double[],2
5766,-8628,317,System.Double[],2
5799,-8308,317,System.Double[],2
5835,-7972,317,System.Double[],2
5866,-6848,317,System.Double[],2
5902,-7484,317,System.Double[],2
5934,-5444,317,System.Double[],2
5967,-4136,316,System.Double[],2
6000,-1324,317,System.Double[],2
6034,1620,317,System.Double[],2
6066,3968,316,System.Double[],2
6102,4420,314,System.Double[],2
6134,5560,315,System.Double[],2
6167,6688,315,System.Double[],2
6201,6096,315,System.Double[],2
6234,6748,315,System.Double[],2
6266,10296,316,System.Double[],2
6334,6300,303,System.Double[],2
6369,6064,303,System.Double[],2
6400,6232,303,System.Double[],2
6432,6216,303,System.Double[],2
6466,6188,303,System.Double[],2
6500,6060,303,System.Double[],2
6534,6236,303,System.Double[],2
6571,6304,302,System.Double[],2
6605,6180,303,System.Double[],2
6633,6088,303,System.Double[],2
6666,5872,303,System.Double[],2
6701,6092,304,System.Double[],2
6734,5520,303,System.Double[],2
6768,5180,304,System.Double[],2
6806,5628,303,System.Double[],2
6838,7496,304,System.Double[],2
6870,6884,303,System.Double[],2
6900,6600,306,System.Double[],2
6934,6916,309,System.Double[],2
6970,7892,313,System.Double[],2
7005,7984,320,System.Double[],2
7038,8900,327,System.Double[],2
7071,8684,333,System.Double[],2
7100,9556,334,System.Double[],2
7134,12400,337,System.Double[],2
7166,11268,338,System.Double[],2
7202,11776,339,System.Double[],2
7235,11092,338,System.Double[],2
