Time_Stamp,AccelZWrist,FlexWrist,WristFlexion,Trimming_Id
0,-2592,1021,System.Double[],0
31,-1428,338,System.Double[],0
64,-1748,1023,System.Double[],0
97,-1924,339,System.Double[],0
131,-2444,344,System.Double[],0
167,-3176,352,System.Double[],0
200,-2484,354,System.Double[],0
232,-2604,359,System.Double[],0
265,-2104,361,System.Double[],0
298,-2168,1023,System.Double[],0
331,-2964,1023,System.Double[],0
363,-2864,1010,System.Double[],0
402,-2668,1022,System.Double[],0
431,-2164,1023,System.Double[],0
463,-2900,1023,System.Double[],0
498,-2796,1020,System.Double[],0
531,-2508,1023,System.Double[],0
565,-2788,1023,System.Double[],0
599,-2664,1021,System.Double[],0
633,-2820,1023,System.Double[],0
664,-2860,1023,System.Double[],0
698,-2788,1020,System.Double[],0
733,-3004,1023,System.Double[],0
765,-2396,1023,System.Double[],0
798,-3008,1022,System.Double[],0
834,-2992,1020,System.Double[],0
865,-2340,1023,System.Double[],0
898,-2760,1022,System.Double[],0
931,-2864,1020,System.Double[],0
964,-2856,1023,System.Double[],0
998,-2896,1018,System.Double[],0
1033,-2804,1023,System.Double[],0
1067,-2736,1023,System.Double[],0
1100,-2760,1019,System.Double[],0
1131,-2828,1021,System.Double[],0
1164,-2704,1023,System.Double[],0
1198,-2976,1019,System.Double[],0
1231,-2776,1023,System.Double[],0
1266,-2684,1023,System.Double[],0
1298,-2736,1023,System.Double[],0
1331,-2768,1019,System.Double[],0
1364,-2840,1018,System.Double[],0
1398,-2504,1023,System.Double[],0
1431,-2728,1019,System.Double[],0
1465,-2924,1023,System.Double[],0
1501,-2724,1023,System.Double[],0
1534,-2628,1020,System.Double[],0
1565,-2628,1023,System.Double[],0
1599,-2640,1023,System.Double[],0
1631,-2072,1020,System.Double[],0
1664,-2276,1023,System.Double[],0
1700,-2748,1023,System.Double[],0
1733,-3704,1019,System.Double[],0
1766,-3892,1023,System.Double[],0
1798,-4652,1022,System.Double[],0
1832,-5876,1023,System.Double[],0
1864,-4764,1022,System.Double[],0
1899,-7888,1023,System.Double[],0
1932,-3144,1020,System.Double[],0
1967,-1120,1023,System.Double[],0
1998,-3596,340,System.Double[],0
2031,-4340,346,System.Double[],0
2065,-5876,349,System.Double[],1
2098,-4328,350,System.Double[],1
2133,-5404,349,System.Double[],1
2166,-5600,349,System.Double[],1
2198,-5208,349,System.Double[],1
2231,-5308,346,System.Double[],1
2265,-5140,345,System.Double[],1
2298,-5420,341,System.Double[],1
2332,-4596,339,System.Double[],1
2366,-4740,333,System.Double[],1
2398,-5264,328,System.Double[],1
2430,-8240,1023,System.Double[],1
