Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,1023,1022,0
33,332,1023,0
67,1023,1022,0
99,332,1023,0
132,331,1023,0
166,332,1023,0
198,329,1022,0
232,331,1023,0
265,331,1021,0
300,332,1023,0
330,330,1023,0
366,330,1023,0
398,331,1023,0
432,336,1023,0
464,1023,1023,0
500,1022,1023,0
533,1021,1023,0
565,1023,1019,0
597,1023,1023,0
632,1023,1022,0
664,1023,1023,0
697,1023,1023,0
733,1023,1023,0
766,1023,1022,0
797,1023,1023,0
832,1023,1023,0
865,1022,1023,0
898,1020,1020,0
931,1023,1023,0
969,1023,1023,0
998,1020,1023,0
1030,1023,1023,0
1066,1021,1023,0
1097,1021,1023,0
1132,1023,1023,0
1170,1020,1023,0
1200,1023,1023,0
1231,1023,1023,0
1264,1023,1023,0
2094,1023,1023,0
2102,1022,1023,0
2131,1023,1023,0
2166,1022,1023,1
2199,333,1023,1
2232,332,1023,1
2266,334,1023,1
2297,331,1021,1
2331,332,1023,1
2364,334,1021,1
2400,334,1023,1
2434,334,1023,1
2466,331,1022,1
2498,332,1023,1
2531,331,1020,1
2564,338,1023,1
2599,332,1023,1
2631,1023,1023,1
2667,1023,1023,1
2699,1023,1022,1
2756,1022,1023,1
2767,1023,1023,1
2800,1023,1023,1
2831,1023,1023,1
2866,1023,1023,1
2901,1022,1023,1
2931,1023,1023,1
2964,1023,1023,1
2999,1021,1023,1
3030,1023,1023,1
3064,1020,1023,1
3101,1020,1023,1
3132,1023,1023,1
3164,1023,1023,1
3198,1023,1023,1
3230,1023,1023,1
3265,1019,1023,1
3298,1023,1023,1
3331,1021,1022,1
3365,1023,1023,1
3398,1023,1021,1
3431,1023,1023,1
3464,1022,1023,1
3500,1023,1023,1
3532,329,1022,1
3576,332,1023,1
3598,330,1023,1
3630,329,1023,1
3665,330,1023,1
3697,330,1022,1
3732,331,1022,1
3765,331,1023,1
3798,333,1023,1
3831,333,1023,1
3864,331,1023,1
3897,1023,1022,1
3933,1021,1023,1
3968,337,1023,1
3997,1023,1023,1
4032,338,1023,1
4080,1021,1022,1
4099,1023,1023,1
4132,1023,1023,1
4168,335,1023,1
4199,1021,1023,1
4231,1023,1022,1
4265,1021,1023,1
4301,1023,1023,1
4331,1023,1023,1
4365,1022,1023,1
4400,1023,1023,1
4432,1023,1023,1
4465,1019,1023,1
4498,1023,1023,1
4531,1023,1023,1
4565,1023,1023,1
4601,1020,1023,1
4633,1023,1023,1
4664,1023,1022,1
4697,1023,1022,2
4730,1023,1023,2
4764,1023,1023,2
4800,1023,1023,2
4832,1023,1023,2
4864,1023,1023,2
4898,1023,1023,2
4931,1022,1023,2
4965,1023,1023,2
4999,1022,1023,2
5033,1022,1023,2
5065,1023,1023,2
5097,1023,1023,2
5134,1022,1021,2
5164,1021,1022,2
5198,1023,1023,2
5250,1023,1023,2
5267,1023,1023,2
5297,1023,1020,2
5331,1023,1023,2
5366,1022,1022,2
5397,1021,1023,2
5430,1023,1023,2
5467,1023,1023,2
5498,1021,1023,2
5532,1023,1023,2
5564,1021,1020,2
5597,1023,1022,2
5630,1023,1023,2
5669,1023,1023,2
5702,1023,1023,2
5733,1021,1023,2
5764,1023,1023,2
5798,1023,1023,2
5832,1022,1023,2
5864,1023,1023,2
5898,1023,1023,2
5933,1020,1023,2
5964,1023,1023,2
5998,1023,1023,2
6031,1023,1022,2
6065,1021,1023,2
6099,1023,1023,2
6135,1023,1022,2
6165,1021,1023,2
6199,1023,1023,2
6231,1023,1023,2
6265,1020,1022,2
6298,1023,1023,2
6334,1023,1021,2
6367,1022,1023,2
6400,1020,1023,2
6434,1023,1023,2
6466,1023,1023,2
6499,1022,1022,2
6534,1023,1023,2
6567,1022,1022,2
6600,1023,1023,2
6633,1021,1023,2
6667,331,1023,2
6699,332,1023,2
6734,330,1023,2
6768,332,1023,2
6800,330,1022,2
6832,329,1023,2
6865,331,1023,2
6899,330,1023,2
6933,330,1023,2
6968,328,1022,2
7000,329,1023,2
7034,329,1023,2
7741,330,1022,2
