Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,316,1023,0
32,315,1023,0
66,317,1023,0
101,318,1023,0
132,321,1021,0
166,318,1022,0
199,315,1023,0
234,315,1023,0
267,316,1023,0
298,316,1023,0
359,316,1023,0
367,314,1023,0
399,316,1023,0
432,314,1023,0
467,313,1020,0
498,313,1023,0
531,315,1022,0
566,316,1023,0
598,315,1023,0
631,315,1023,0
679,312,1023,0
699,314,1023,0
730,314,1023,0
765,317,1021,0
798,316,1023,0
831,313,1023,0
866,314,1022,0
900,314,1023,0
931,314,1023,0
965,313,1023,0
998,315,1020,0
1063,318,1022,0
1083,316,1022,0
1099,312,1023,0
1132,313,1023,0
1169,315,1023,0
1197,312,1023,0
1231,315,1022,0
1265,313,1023,0
1298,317,1023,0
1333,314,1023,0
1365,315,1023,0
1397,315,1023,0
1430,315,1023,0
1465,316,1023,0
1498,319,1023,0
1532,315,1022,0
1565,314,1022,0
1597,314,1023,0
1630,313,1023,0
1665,316,1021,0
1698,316,1023,0
1731,321,1023,0
1767,314,1023,0
1798,314,1023,0
1831,315,1023,0
1867,316,1023,1
1899,315,1023,1
1931,316,1023,1
1968,315,1023,1
2002,315,1023,1
2031,313,1023,1
2065,315,1022,1
2105,319,1023,1
2131,315,1023,1
2166,318,1023,1
2198,316,1023,1
2231,314,1023,1
2265,314,1023,1
2297,315,1023,1
2330,315,1023,1
2366,316,1022,1
2398,319,1023,1
2432,313,1023,1
2474,314,1023,1
2498,315,1023,1
2531,314,1023,1
2567,314,1023,1
2598,315,1021,1
2631,319,1023,1
2667,310,1023,1
2721,316,1023,1
2736,314,1023,1
2765,316,1023,1
2800,316,1023,1
2830,316,1023,1
2867,315,1023,1
2902,309,1023,1
2931,312,1023,1
2967,312,1021,1
3000,315,1023,1
3030,315,1023,1
3066,315,1023,1
3100,314,1023,1
3131,312,1023,1
3165,315,1023,1
3198,312,1021,1
3232,312,1023,1
3265,316,1023,1
3335,318,1023,1
3366,316,1023,1
3397,313,1023,1
3431,312,1023,1
3465,314,1022,1
3499,320,1023,1
3534,314,1023,1
3565,316,1021,1
3598,317,1023,1
3632,315,1023,1
3664,312,1023,1
3699,315,1023,1
3733,317,1023,1
3767,317,1023,1
3797,319,1023,1
3831,314,1022,1
3866,313,1023,1
3898,315,1022,1
3932,314,1023,1
3967,316,1023,1
3998,315,1023,1
4032,315,1023,1
4065,315,1023,1
4098,310,1023,1
4132,314,1023,2
4166,315,1023,2
4200,314,1020,2
4230,316,1023,2
4266,316,1023,2
4298,312,1022,2
4331,313,1022,2
4366,314,1022,2
4399,310,1023,2
4431,314,1023,2
4466,316,1023,2
4498,317,1023,2
4532,313,1023,2
4565,312,1022,2
4600,313,1023,2
4632,318,1023,2
4666,315,1023,2
4699,315,1022,2
4731,315,1023,2
4765,314,1023,2
4798,314,1023,2
4832,313,1023,2
4865,317,1023,2
4899,317,1023,2
4930,316,1022,2
4965,313,1022,2
4998,314,1021,2
5032,313,1022,2
5066,315,1023,2
5098,315,1023,2
5132,314,1023,2
5164,313,1023,2
5198,316,1023,2
5231,312,1023,2
5267,310,1023,2
5299,310,1023,2
5331,312,1023,2
5365,313,1022,2
5397,321,1023,2
5431,328,1023,2
5466,341,1023,2
5498,348,1023,2
5532,347,1023,2
5565,344,1022,2
5597,338,1023,2
5631,331,1023,2
5665,324,1022,2
5699,318,1023,2
5732,316,1023,2
5765,315,1023,2
5798,315,1023,2
5830,318,1023,2
5865,312,1023,2
5899,311,1023,2
5932,311,1023,2
5965,310,1023,2
5999,310,1023,2
