Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,312,1023,0
33,313,1023,0
64,314,1023,0
97,314,1023,0
131,315,1023,0
164,316,1023,0
200,316,1023,0
239,317,1023,0
317,317,1023,0
333,317,1023,0
364,318,1023,0
397,318,1023,0
432,318,1023,0
463,319,1023,0
497,319,1023,0
531,319,1023,0
564,320,1023,0
611,320,1023,0
634,320,1023,0
664,320,1023,0
697,321,1023,0
731,322,1023,0
764,322,1022,0
797,323,1022,0
834,323,1023,0
864,323,1022,0
897,324,1022,0
931,323,1022,0
965,323,1022,0
997,323,1022,0
1033,323,1022,0
1067,322,1022,0
1099,322,1022,0
1133,322,1022,0
1164,321,1022,0
1196,321,1022,0
1234,321,1022,0
1268,320,1022,0
1311,319,1022,0
1332,318,1022,0
1366,318,1023,0
1397,317,1022,0
1433,316,1023,0
1468,315,1023,0
1500,315,1023,0
1533,314,1023,0
1564,314,1023,0
1597,314,1023,0
1632,314,1023,0
1666,314,1023,0
1700,315,1023,0
1734,315,1023,0
1765,315,1023,0
1799,315,1023,0
1833,315,1023,0
1866,315,1023,0
1898,315,1023,0
1935,316,1023,0
1964,316,1023,0
1999,316,1023,0
2032,316,1023,0
2065,316,1023,0
2098,316,1023,0
2133,316,1023,0
2167,316,1023,0
2200,316,1023,0
2233,316,1023,0
2265,316,1023,0
2298,316,1023,0
2334,316,1023,0
2365,316,1023,0
2399,316,1023,0
2432,316,1023,0
2465,316,1023,0
2498,316,1023,0
2533,316,1023,0
2565,316,1023,0
2600,316,1023,0
2632,316,1023,0
2666,316,1023,0
2699,316,1023,0
2734,316,1023,0
2766,316,1023,0
2799,316,1023,0
2835,316,1023,0
2867,316,1023,0
2899,316,1023,0
2933,316,1023,0
2965,316,1023,0
2999,317,1023,0
3033,317,1023,0
3066,317,1023,0
3100,317,1023,0
3133,317,1023,0
3164,317,1023,0
3198,318,1023,0
3231,318,1023,0
3267,318,1023,0
3299,318,1023,0
3331,318,1023,0
3367,318,1023,0
3399,318,1023,0
3432,318,1023,0
3465,318,1023,0
3498,318,1023,0
3535,318,1023,0
3565,318,1023,0
3601,318,1023,0
3632,318,1023,1
3665,318,1023,1
3697,318,1023,1
3733,318,1023,1
3765,319,1023,1
3798,319,1023,1
3832,319,1023,1
3879,320,1023,1
3897,320,1023,1
3932,320,1023,1
3964,320,1023,1
3999,321,1023,1
4033,321,1023,1
4065,321,1023,1
4098,321,1023,1
4131,321,1023,1
4166,321,1023,1
4200,321,1023,1
4233,321,1023,1
4264,321,1023,1
4298,321,1023,1
4332,321,1023,1
4364,321,1023,1
4398,321,1023,1
4432,321,1023,1
4466,321,1023,1
4499,321,1023,1
4531,321,1023,1
4563,321,1023,1
4599,321,1023,1
4631,321,1023,1
4665,321,1023,1
4699,321,1023,1
4731,321,1023,1
