Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,428,611,0
35,428,606,0
69,428,607,0
100,428,602,0
133,428,600,0
167,427,596,0
198,427,592,0
233,427,590,0
268,427,591,0
303,427,592,0
336,427,590,0
370,427,587,0
404,427,583,0
435,427,584,0
466,427,584,0
502,427,585,0
536,427,580,0
568,427,578,0
600,427,578,0
634,427,580,0
667,427,580,0
702,427,579,0
734,427,579,0
768,427,578,0
800,427,576,0
835,427,577,0
866,427,575,0
901,427,575,0
936,427,577,0
969,427,575,0
1000,427,571,0
1035,427,575,0
1069,426,580,0
1101,426,577,0
1134,426,576,0
1170,426,577,0
1202,426,570,0
1235,426,571,0
1269,426,585,0
1301,425,592,0
1333,425,603,0
1370,424,624,0
1402,424,692,0
1437,423,840,0
1468,422,974,0
1505,419,1023,0
1533,415,1023,0
1569,402,1023,0
1603,383,1023,0
1635,364,1023,0
1668,348,1023,0
1702,335,1023,0
1734,324,1023,0
1768,315,1023,0
1802,311,1023,0
1838,309,1023,0
1868,310,1023,0
1901,312,1023,0
1933,315,1023,0
1968,317,1023,0
2001,320,1023,0
2036,321,1023,0
2068,323,1023,0
2104,325,1023,0
2134,326,1023,0
2168,327,1023,0
2200,328,1023,0
2237,328,1023,0
2269,328,1023,0
2301,328,1023,0
2333,328,1023,0
2368,328,1023,0
2400,329,1023,0
2435,329,1023,0
2469,329,1023,0
2501,329,1023,0
2533,328,1023,0
2567,328,1023,0
2600,328,1023,0
2635,328,1023,0
2669,328,1023,0
2702,327,1023,0
2733,327,1023,0
2768,326,1023,0
2800,326,1023,0
2833,325,1023,0
2867,325,1023,0
2903,325,1023,0
2934,325,1023,0
2968,325,1023,0
3000,325,1023,0
3034,325,1023,0
3067,325,1023,0
3102,325,1023,0
3135,325,1023,0
3168,324,1023,0
3199,324,1023,0
3234,324,1023,0
3269,324,1023,0
3299,324,1023,0
3335,324,1023,0
3370,324,1023,0
3400,324,1023,0
3433,324,1023,1
3465,324,1023,1
3501,324,1023,1
3538,324,1023,1
3569,324,1023,1
3600,324,1023,1
3633,324,1023,1
3666,324,1023,1
3699,324,1023,1
3733,324,1023,1
3768,324,1023,1
3800,324,1023,1
3834,324,1023,1
3866,324,1023,1
3900,324,1023,1
3933,324,1023,1
3966,324,1023,1
4001,324,1023,1
4039,324,1023,1
4066,324,1023,1
4100,324,1023,1
4133,324,1023,1
4167,324,1023,1
4199,324,1023,1
4236,324,1023,1
4267,324,1023,1
4301,324,1023,1
4332,324,1023,1
4367,324,1023,1
4399,324,1023,1
4435,324,1023,1
4467,323,1023,1
4500,323,1023,1
4537,323,1023,1
4566,324,1023,1
4599,323,1023,1
4634,323,1023,1
4670,324,1023,1
4701,323,1023,1
4732,323,1023,1
4766,323,1023,1
4799,324,1023,1
4833,323,1023,1
4867,323,1023,1
4901,323,1023,1
4933,323,1023,1
4966,323,1023,1
4999,324,1023,1
5034,323,1023,1
5067,323,1023,1
5102,323,1023,1
5133,323,1023,1
5167,323,1023,1
5201,324,1023,1
5235,323,1023,1
5267,324,1023,1
5301,324,1023,1
5334,323,1023,1
5368,323,1023,1
5400,323,1023,1
5434,324,1023,1
5467,324,1023,1
5502,323,1023,1
5535,323,1023,1
5568,324,1023,1
5599,324,1023,1
5633,323,1023,1
5667,323,1023,1
5701,323,1023,1
5735,323,1023,1
5769,324,1023,1
5800,324,1023,1
5834,324,1023,1
5913,323,1023,1
5935,324,1023,1
5970,324,1023,1
6001,323,1023,1
6034,323,1023,1
6066,323,1023,1
6100,323,1023,1
6132,323,1023,1
6171,323,1023,1
6201,324,1023,1
6234,323,1023,1
6268,323,1023,1
6299,323,1023,1
6332,323,1023,1
6369,323,1023,1
6401,323,1023,1
6436,323,1023,1
6467,324,1023,1
6501,323,1023,1
6532,324,1023,1
6567,323,1023,1
6600,323,1023,2
6635,323,1023,2
6669,323,1023,2
6700,323,1023,2
6732,323,1023,2
6770,323,1023,2
6801,323,1023,2
6833,323,1023,2
6867,323,1023,2
6899,323,1023,2
6932,323,1023,2
6968,323,1023,2
7006,323,1023,2
7036,323,1023,2
7067,323,1023,2
7101,324,1023,2
7132,323,1023,2
7167,323,1023,2
7199,324,1023,2
7236,323,1023,2
7268,323,1023,2
7299,323,1023,2
7333,323,1023,2
7369,323,1023,2
7401,323,1023,2
7435,323,1023,2
7468,323,1023,2
7501,323,1023,2
7532,323,1023,2
7568,323,1023,2
7599,323,1023,2
7633,323,1023,2
7670,323,1023,2
7701,323,1023,2
7734,323,1023,2
7768,323,1023,2
7799,323,1023,2
7834,323,1023,2
7869,323,1023,2
7902,323,1023,2
7935,323,1023,2
7970,323,1023,2
8000,323,1023,2
8048,323,1023,2
8067,323,1023,2
8102,323,1023,2
8136,323,1023,2
8168,323,1023,2
8199,323,1023,2
8233,323,1023,2
8267,323,1023,2
8301,323,1023,2
8334,323,1023,2
8367,323,1023,2
8399,323,1023,2
8433,323,1023,2
8468,323,1023,2
8500,323,1023,2
8534,323,1023,2
8571,323,1023,2
8599,323,1023,2
8634,323,1023,2
8668,323,1023,2
8700,323,1023,2
8733,323,1023,2
8769,323,1023,2
8799,323,1023,2
8833,323,1023,2
8867,323,1023,2
8899,323,1023,2
8933,323,1023,2
8970,323,1023,2
9002,323,1023,2
9035,323,1023,2
9067,323,1023,2
9099,323,1023,2
9133,323,1023,2
9168,323,1023,2
9201,323,1023,2
9234,323,1023,2
9268,323,1023,2
9300,323,1023,2
9333,323,1023,2
9367,323,1023,2
9400,323,1023,2
9434,323,1023,2
9467,323,1023,2
9501,323,1023,2
9533,323,1023,2
9568,323,1023,2
9601,323,1023,2
9636,323,1023,2
9667,323,1023,2
9700,323,1023,2
9733,323,1023,2
9767,323,1023,2
9802,323,1023,2
9836,323,1023,2
