Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,1022,1023,0
33,1023,1023,0
67,1023,1023,0
102,1023,1023,0
132,1023,1023,0
166,1020,1023,0
200,1023,1023,0
233,1022,1023,0
265,1023,1023,0
302,1023,1023,0
334,1023,1023,0
366,1023,1022,0
399,1022,1023,0
433,1023,1023,0
501,1019,1023,0
535,1023,1023,0
568,1021,1023,0
599,1023,1023,0
633,1023,1023,0
677,1020,1023,0
701,1023,1023,0
733,1020,1020,0
767,1023,1023,0
799,1022,1022,0
832,1022,1022,0
865,1023,1022,0
899,1021,1023,0
933,1023,1023,0
968,1023,1020,0
1001,1021,1023,0
1033,1022,1023,0
1065,1023,1022,0
1099,1023,1023,0
1133,1023,1023,0
1166,1019,1022,0
1202,1023,1023,0
1232,1023,1023,0
1266,1019,1022,0
1299,1023,1023,0
1332,1023,1023,0
1367,1018,1023,0
1405,1023,1020,0
1435,1023,1023,0
1466,1021,1023,0
1500,1023,1023,0
1532,1023,1023,0
1567,1021,1023,0
1600,1023,1022,0
1633,1020,1023,0
1674,1023,1023,0
1700,1023,1023,0
1732,1023,1023,0
1768,1023,1022,0
1800,1023,1023,0
1835,1022,1023,0
1869,1023,1021,0
1903,1019,1023,0
1935,1023,1023,0
1969,1023,1023,0
2002,1020,1023,1
2033,1023,1023,1
2069,1020,1022,1
2101,1022,1023,1
2133,1023,1020,1
2168,1021,1023,1
2201,1023,1023,1
2233,1023,1023,1
2269,1020,1023,1
2301,1023,1023,1
2332,1022,1023,1
2367,1023,1023,1
2400,1023,1023,1
2433,1023,1023,1
2468,1023,1023,1
2502,1023,1023,1
2532,1019,1023,1
2568,1023,1023,1
2602,1023,1022,1
2632,1021,1023,1
2667,1023,1023,1
2703,1021,1022,1
2732,1023,1023,1
2767,1023,1023,1
2801,1021,1023,1
2833,1023,1023,1
2867,1023,1023,1
2902,1023,1019,1
2934,1022,1021,1
2967,1023,1023,1
3001,1021,1023,1
3033,1023,1023,1
3067,1018,1023,1
3101,1023,1023,1
3135,1023,1023,1
3169,1018,1023,1
3200,1022,1023,1
3233,1023,1023,1
3267,1023,1023,1
3301,1022,1023,1
3333,1023,1023,1
3368,1023,1023,1
3402,1023,1023,1
3434,1023,1023,1
3466,1019,1023,1
3502,1023,1023,1
3533,1023,1023,1
3568,1021,1023,1
3601,1023,1023,1
3633,1023,1023,1
3667,1020,1023,1
3701,1023,1023,1
3733,1023,1023,1
3768,1023,1023,1
3803,1019,1023,1
3834,1023,1023,1
3866,1022,1023,1
3901,1023,1023,1
3933,1023,1023,1
3968,1020,1022,1
4002,1023,1023,2
4034,1022,1021,2
4067,1021,1021,2
4101,1023,1023,2
4133,1021,1023,2
4167,1021,1022,2
4201,1023,1023,2
4235,1020,1023,2
4267,1023,1018,2
4300,1023,1023,2
4333,1021,1023,2
4367,1022,1023,2
4414,1023,1020,2
4434,1023,1022,2
4468,1022,1023,2
4500,1023,1022,2
4534,1022,1023,2
4567,1020,1023,2
4599,1023,1023,2
4633,1023,1023,2
4668,1023,1023,2
4702,1019,1023,2
4733,1022,1023,2
4766,1023,1023,2
4799,1018,1023,2
4832,1023,1023,2
4868,1023,1022,2
4900,1020,1023,2
4932,1016,1023,2
4966,1021,1023,2
4999,1021,1023,2
5032,1023,1023,2
5067,1022,1023,2
5100,1023,1023,2
5132,1023,1023,2
5167,1021,1023,2
5199,1023,1022,2
5232,1022,1022,2
5266,1023,1023,2
5300,1023,1023,2
5334,1022,1023,2
5366,1023,1021,2
5412,1023,1021,2
5432,1021,1022,2
5467,1023,1023,2
5500,1023,1023,2
5534,1021,1022,2
5566,1021,1023,2
5599,1014,1023,2
5633,1021,1023,2
5666,1019,1023,2
5700,1023,1023,2
5733,1022,1023,2
5766,1019,1023,2
5800,1023,1023,2
