Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,344,1023,0
31,344,1023,0
65,345,1023,0
97,345,1023,0
132,346,1023,0
166,346,1023,0
197,346,1023,0
230,347,1023,0
265,347,1023,0
295,347,1023,0
333,347,1023,0
363,348,1023,0
397,347,1023,0
430,347,1023,0
463,352,1023,0
498,349,1023,0
530,347,1023,0
566,347,1023,0
595,346,1023,0
630,347,1023,0
662,345,1023,0
697,345,1023,0
732,345,1023,0
765,345,1023,0
797,345,1023,0
831,345,1023,0
864,345,1023,0
897,346,1023,0
930,345,1023,0
964,346,1023,0
997,345,1023,0
1030,345,1023,0
1063,347,1023,0
1096,345,1023,0
1129,344,1023,0
1163,343,1023,0
1197,343,1023,0
1231,342,1023,0
1263,341,1023,0
1296,341,1023,0
1329,341,1023,0
1363,340,1023,0
1399,339,1023,0
1430,340,1023,0
1461,340,1023,0
1496,340,1023,0
1529,339,1023,0
1562,339,1023,0
1597,339,1023,0
1634,338,1023,0
1663,338,1023,0
1696,337,1023,0
1729,337,1023,0
1763,337,1023,0
1796,336,1023,0
1831,337,1023,0
1863,338,1023,0
1896,341,1023,0
1929,341,1023,0
1962,339,1023,0
1995,340,1023,0
2031,339,1023,0
2100,341,1023,0
2128,340,1023,0
2163,338,1023,0
2196,339,1023,0
2229,339,1023,0
2265,341,1023,0
2296,341,1023,0
2329,343,1023,0
2362,345,1023,0
2396,345,1023,0
2429,344,1023,0
2463,345,1023,0
2498,345,1023,0
2529,345,1023,0
2575,346,1023,0
2597,346,1023,0
2629,347,1023,0
2662,346,1023,0
2696,347,1023,0
2731,348,1023,0
2762,348,1023,0
2796,349,1023,0
2829,348,1023,0
2862,349,1023,0
2897,348,1023,0
2931,348,1023,0
2965,348,1023,0
2999,348,1023,0
3031,350,1023,0
3080,350,1023,0
3099,349,1023,0
3133,348,1023,0
3166,347,1023,0
3195,345,1023,0
3233,345,1023,0
3264,344,1023,0
3295,344,1023,0
3331,345,1023,0
3365,344,1023,0
3395,344,1023,0
3432,345,1023,0
3462,344,1023,0
3495,343,1023,0
3530,343,1023,0
3562,342,1023,1
3598,343,1023,1
3647,344,1023,1
3678,343,1023,1
3697,342,1023,1
3729,343,1023,1
3763,343,1023,1
3799,344,1023,1
3831,343,1023,1
3863,344,1023,1
3895,343,1023,1
3932,344,1023,1
3961,343,1023,1
4000,344,1023,1
4033,343,1023,1
4064,343,1023,1
4094,343,1023,1
4131,343,1023,1
4163,344,1023,1
4197,343,1023,1
4233,344,1023,1
4264,343,1023,1
4296,343,1023,1
4330,343,1023,1
4362,344,1023,1
4397,343,1023,1
4433,344,1023,1
4463,343,1023,1
4507,343,1023,1
4529,343,1023,1
4563,344,1023,1
4595,343,1023,1
4631,343,1023,1
4664,343,1023,1
4696,343,1023,1
4730,343,1023,1
4762,343,1023,1
4797,345,1023,1
4832,352,1023,1
4865,362,1023,1
4898,362,1023,1
4929,359,1023,1
4963,357,1023,1
4997,354,1023,1
5031,354,1023,1
5065,351,1023,1
5097,350,1023,1
5131,350,1023,1
5164,349,1023,1
5198,347,1023,1
5230,347,1023,1
5263,348,1023,1
5297,343,1023,1
5329,341,1023,1
5363,338,1023,1
5395,337,1023,1
5430,335,1023,1
5462,334,1023,1
5498,334,1023,1
5532,333,1023,1
5563,333,1023,1
5594,333,1023,1
5631,336,1023,1
5663,339,1023,1
5695,340,1023,1
5738,341,1023,1
5764,342,1023,1
5796,342,1023,1
5830,347,1023,1
5862,359,1023,1
5895,364,1023,1
5931,370,1023,1
5963,371,1023,1
5996,372,1023,1
6030,370,1023,1
6061,369,1023,1
6095,367,1023,1
6130,366,1023,1
6165,366,1023,1
6195,366,1023,1
6231,365,1023,1
6264,365,1023,1
6295,366,1023,1
6329,365,1023,1
6364,366,1023,1
6479,364,1023,1
6495,365,1023,1
6530,365,1023,2
6572,366,1023,2
6598,367,1023,2
6630,365,1023,2
6663,364,1023,2
6695,362,1023,2
6730,362,1023,2
6763,362,1023,2
6796,362,1023,2
6831,362,1023,2
6863,363,1023,2
6896,362,1023,2
6930,362,1023,2
6962,363,1023,2
6995,363,1023,2
7032,363,1023,2
7064,363,1023,2
7095,364,1023,2
7132,364,1023,2
7163,364,1023,2
7195,365,1023,2
7233,364,1023,2
7265,365,1023,2
7295,365,1023,2
7330,365,1023,2
7362,365,1023,2
7395,366,1023,2
7430,365,1023,2
7465,365,1023,2
7495,364,1023,2
7531,364,1023,2
7562,365,1023,2
7594,364,1023,2
7630,364,1023,2
7664,365,1023,2
7695,364,1023,2
7731,364,1023,2
7763,365,1023,2
7795,364,1023,2
7829,364,1023,2
7864,364,1023,2
7896,365,1023,2
7931,365,1023,2
7962,365,1023,2
7995,363,1023,2
8030,365,1023,2
8063,364,1023,2
8096,365,1023,2
8129,365,1023,2
8162,370,1023,2
8195,371,1023,2
8230,368,1023,2
8263,367,1023,2
8296,366,1023,2
8333,366,1023,2
8363,366,1023,2
8395,366,1023,2
8430,365,1023,2
8463,366,1023,2
8495,366,1023,2
8532,366,1023,2
8563,366,1023,2
8595,366,1023,2
8629,365,1023,2
8662,366,1023,2
8694,366,1023,2
8734,365,1023,2
8765,365,1023,2
8795,367,1023,2
8830,369,1023,2
8862,370,1023,2
8895,368,1022,2
8933,365,1023,2
8966,365,1023,2
8995,365,1023,2
9033,363,1023,2
9062,364,1023,2
9094,363,1023,2
9133,364,1023,2
9163,363,1023,2
9196,363,1023,2
9233,363,1023,2
9263,363,1023,2
9295,363,1023,2
9329,364,1023,2
9366,363,1023,2
9398,363,1023,2
9431,365,1023,2
9462,367,1023,2
9495,367,1023,2
9531,368,1023,2
9561,368,1023,2
9596,368,1023,2
9632,370,1023,2
9662,369,1023,2
9696,369,1023,2
9729,374,1023,2
9765,376,1023,2
9796,375,1023,2
