Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,340,1023,0
33,338,1023,0
66,339,1023,0
99,339,1023,0
131,340,1023,0
166,342,1023,0
199,340,1023,0
233,340,1022,0
264,343,1023,0
300,345,1023,0
331,345,1023,0
364,347,1022,0
398,345,1023,0
434,343,1023,0
467,346,1023,0
498,345,1023,0
531,345,1023,0
565,347,1023,0
597,347,1023,0
633,344,1023,0
666,344,1023,0
748,344,1022,0
766,344,1023,0
798,346,1022,0
833,341,1023,0
867,341,1023,0
898,342,1023,0
931,343,1019,0
964,342,1023,0
997,342,1023,0
1031,342,1023,0
1065,346,1023,0
1099,342,1022,0
1131,340,1023,0
1164,344,1023,0
1197,342,1023,0
1231,340,1023,0
1265,342,1023,0
1298,341,1023,0
1332,339,1023,0
1364,340,1022,0
1397,341,1023,0
1431,342,1023,0
1464,339,1023,0
1499,341,1023,0
1534,342,1023,0
1564,343,1023,0
1598,339,1023,0
1631,340,1023,0
1664,342,1023,0
1697,341,1023,0
1732,339,1022,0
1765,339,1023,0
1798,343,1023,0
1832,340,1023,0
1864,340,1023,0
1897,341,1022,0
1934,343,1023,0
1968,342,1023,0
1997,340,1023,0
2032,340,1022,0
2065,341,1023,0
2098,340,1023,0
2131,340,1023,0
2168,342,1023,0
2198,341,1023,0
2241,338,1022,0
2264,340,1023,0
2299,340,1023,0
2331,342,1023,0
2365,343,1023,0
2399,340,1023,0
2432,340,1023,0
2465,341,1021,0
2498,341,1023,0
2531,340,1023,0
2566,342,1023,0
2600,340,1023,0
2633,343,1023,0
2664,340,1022,0
2698,341,1023,0
2733,340,1023,0
2765,340,1023,0
2814,340,1023,0
2834,341,1023,0
2865,342,1023,0
2898,340,1023,0
2932,339,1022,0
2965,341,1021,0
3000,341,1023,0
3033,340,1023,0
3065,339,1023,0
3099,340,1023,0
3133,340,1023,0
3165,340,1022,0
3199,339,1022,1
3234,340,1023,1
3265,340,1023,1
3298,339,1023,1
3333,341,1023,1
3366,341,1023,1
3398,341,1023,1
3435,342,1022,1
3467,340,1023,1
3498,339,1023,1
3532,341,1023,1
3565,342,1023,1
3598,338,1023,1
3633,340,1023,1
3667,341,1023,1
3700,340,1022,1
3732,340,1023,1
3766,340,1023,1
3798,344,1023,1
3833,339,1022,1
3866,340,1023,1
3899,341,1020,1
3933,341,1020,1
3966,340,1023,1
3997,339,1023,1
4031,341,1023,1
4107,340,1023,1
4134,341,1023,1
4179,339,1023,1
4198,341,1023,1
4233,343,1023,1
4265,339,1023,1
4299,340,1023,1
4334,341,1023,1
4366,339,1020,1
4398,338,1023,1
4433,337,1023,1
4466,336,1023,1
4498,334,1023,1
4533,332,1023,1
4566,332,1023,1
4598,331,1023,1
4632,331,1021,1
4665,329,1023,1
4698,330,1022,1
4740,331,1022,1
4767,332,1023,1
4797,332,1023,1
4832,335,1023,1
4865,339,1023,1
4898,343,1023,1
4933,350,1022,1
4967,360,1023,1
5000,367,1023,1
5033,374,1023,1
5066,381,1021,1
5097,380,1020,1
5132,382,1023,1
5165,388,1022,1
5198,392,1023,1
5234,409,1023,1
5265,418,1023,1
5298,416,1022,1
5333,417,1021,1
5366,419,1023,1
5398,416,1023,1
5434,412,1023,1
5466,413,1023,1
5498,413,1023,1
5533,406,1023,1
5565,391,1023,1
5639,376,1023,1
5667,364,1023,1
5698,355,1023,1
5737,348,1023,1
5765,343,1023,1
5798,339,1023,1
5835,338,1023,1
5867,338,1023,1
5899,338,1023,1
5933,337,1023,1
5965,336,1023,1
5997,338,1023,1
6031,338,1023,1
6067,338,1022,1
6098,338,1022,1
6133,336,1023,1
6165,341,1023,1
6197,339,1023,1
6231,337,1022,1
6265,337,1023,1
6300,339,1023,1
6331,339,1022,1
6364,338,1023,1
6397,338,1023,1
6431,340,1023,1
6464,339,1023,1
6500,338,1023,1
6531,340,1023,1
6568,340,1023,1
6597,341,1023,1
6633,340,1023,1
6664,342,1023,1
6698,343,1023,1
6734,343,1023,1
6768,341,1023,1
6797,343,1019,1
6833,342,1023,1
6864,340,1022,1
6897,343,1023,1
6932,343,1023,1
6966,344,1023,1
6998,340,1023,1
7031,341,1020,1
7064,342,1023,1
7097,342,1019,1
7133,339,1023,1
7166,334,1022,1
7197,331,1023,1
7232,335,1023,1
7266,329,1023,1
7297,327,1023,1
7333,325,1023,1
7368,324,1023,1
7401,325,1023,1
7433,322,1023,1
7467,323,1023,1
7498,324,1023,2
7532,325,1023,2
7566,324,1021,2
7597,326,1023,2
7632,333,1023,2
7666,342,1019,2
7699,342,1023,2
7732,352,1023,2
7767,360,1023,2
7799,365,1023,2
7833,369,1022,2
7865,373,1022,2
7897,378,1023,2
7932,382,1022,2
7965,385,1023,2
7998,390,1023,2
8034,390,1023,2
8065,389,1022,2
8097,390,1023,2
8131,395,1023,2
8165,400,1023,2
8199,402,1023,2
8233,397,1023,2
8265,397,1023,2
8297,395,1023,2
8331,390,1023,2
8364,380,1023,2
8398,365,1023,2
8433,352,1023,2
8466,344,1023,2
8498,343,1023,2
8532,340,1023,2
8566,339,1022,2
8597,343,1023,2
8632,338,1023,2
8666,338,1023,2
8698,334,1023,2
8731,333,1023,2
8765,334,1023,2
8797,333,1023,2
8831,334,1023,2
8866,333,1022,2
8900,334,1023,2
8931,332,1023,2
8966,332,1022,2
8998,332,1020,2
9032,333,1023,2
9065,335,1023,2
9099,336,1022,2
9136,331,1022,2
9164,335,1023,2
9197,335,1023,2
9231,336,1023,2
9266,335,1022,2
9299,337,1023,2
9332,337,1023,2
9365,337,1023,2
9397,336,1023,2
9431,336,1023,2
9464,337,1023,2
9498,337,1023,2
9535,338,1023,2
9566,336,1023,2
9597,339,1023,2
9632,340,1022,2
9665,336,1023,2
9703,337,1023,2
9731,338,1023,2
9768,339,1023,2
9797,336,1023,2
9832,336,1022,2
9865,333,1023,2
9898,328,1023,2
9932,326,1023,2
9966,323,1023,2
9998,328,1023,2
10032,327,1023,2
10065,324,1022,2
10097,327,1023,2
10132,327,1021,2
10167,328,1023,2
10199,327,1023,2
10232,335,1023,2
10265,337,1023,2
10298,336,1023,2
10332,339,1023,2
10366,340,1023,2
10399,348,1023,2
10432,352,1023,2
10465,353,1023,2
10498,356,1023,2
10532,367,1020,2
10565,371,1023,2
10599,374,1023,2
10634,382,1023,2
10665,384,1023,2
10698,385,1023,2
10732,384,1022,2
10764,384,1023,2
10798,384,1023,2
10832,385,1023,2
10867,386,1023,2
10898,385,1023,2
10932,385,1023,2
