Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,321,1023,0
36,321,1023,0
67,322,1023,0
102,323,1023,0
146,324,1023,0
166,324,1023,0
199,323,1023,0
235,322,1023,0
269,320,1023,0
301,318,1023,0
334,317,1023,0
367,316,1023,0
401,316,1023,0
434,314,1023,0
467,314,1023,0
502,313,1023,0
536,312,1023,0
570,310,1023,0
599,310,1023,0
635,309,1023,0
667,309,1023,0
703,311,1023,0
735,314,1023,0
769,318,1023,0
801,321,1023,0
834,325,1023,0
868,326,1023,0
902,326,1023,0
935,326,1023,0
968,326,1023,0
999,326,1023,0
1034,326,1023,0
1066,326,1023,0
1100,326,1023,0
1136,326,1023,0
1167,326,1023,0
1202,325,1023,0
1235,325,1023,0
1267,325,1023,0
1299,325,1023,0
1334,325,1023,0
1368,325,1023,0
1402,325,1023,0
1439,325,1023,0
1470,324,1023,0
1500,324,1023,0
1535,324,1023,0
1570,324,1023,0
1600,324,1023,0
1634,324,1023,0
1667,324,1023,0
1699,324,1023,0
1735,324,1023,0
1767,324,1023,0
1800,323,1023,0
1835,323,1023,0
1866,323,1023,0
1899,323,1023,0
1934,323,1023,0
1966,323,1023,0
2000,323,1023,0
2035,323,1023,0
2069,323,1023,0
2099,323,1023,0
2141,323,1023,0
2166,323,1023,0
2199,323,1023,0
2240,321,1023,0
2270,319,1023,0
2299,314,1023,0
2334,311,1023,0
2365,310,1023,0
2399,309,1023,0
2435,309,1023,0
2490,309,1023,0
2501,309,1023,0
2534,309,1023,0
2566,309,1023,0
2599,310,1023,0
2635,311,1023,0
2669,312,1023,0
2701,314,1023,0
2733,315,1023,0
2766,316,1023,0
2799,317,1023,0
2833,317,1023,0
2870,317,1023,0
2905,318,1023,0
2936,318,1023,0
2988,318,1023,0
3001,318,1023,0
3037,318,1023,0
3071,317,1023,0
3105,317,1023,0
3136,317,1023,0
3169,317,1023,0
3200,316,1023,0
3236,315,1023,0
3268,313,1023,0
3305,312,1023,1
3340,311,1023,1
3370,315,1023,1
3400,319,1023,1
3436,320,1023,1
3470,321,1023,1
3503,322,1023,1
3540,323,1023,1
3569,324,1023,1
3602,324,1023,1
3636,324,1023,1
3669,325,1023,1
3701,325,1023,1
3739,325,1023,1
3770,326,1023,1
3800,326,1023,1
3838,326,1023,1
3895,326,1023,1
3907,326,1023,1
3937,326,1023,1
3972,326,1023,1
4001,326,1023,1
4035,326,1023,1
4068,326,1023,1
4102,326,1023,1
4136,326,1023,1
4170,326,1023,1
4204,326,1023,1
4237,326,1023,1
4268,326,1023,1
4302,325,1023,1
4335,326,1023,1
4370,325,1023,1
4402,326,1023,1
4437,325,1023,1
4474,325,1023,1
4504,326,1023,1
4534,325,1023,1
4570,325,1023,1
4603,326,1023,1
4635,325,1023,1
4669,325,1023,1
4703,325,1023,1
4736,325,1023,1
4768,325,1023,1
4816,325,1023,1
4837,324,1023,1
4870,324,1023,1
4900,323,1023,1
4936,322,1023,1
4969,320,1023,1
5003,318,1023,1
5037,315,1023,1
5069,312,1023,1
5102,312,1023,1
5135,312,1023,1
5169,312,1023,1
5202,312,1023,1
5236,312,1023,1
5270,313,1023,1
5301,313,1023,1
5336,314,1023,1
5369,315,1023,1
5400,316,1023,1
5436,316,1023,1
5470,317,1023,1
5502,317,1023,1
5537,317,1023,1
5568,316,1023,1
5602,316,1023,1
5635,315,1023,1
5669,314,1023,1
5703,313,1023,1
5738,312,1023,1
5768,312,1023,1
5802,311,1023,1
5835,311,1023,1
5868,310,1023,1
5902,310,1023,1
5935,309,1023,1
5970,309,1023,1
6002,309,1023,1
6036,308,1023,1
6068,309,1023,1
6102,310,1023,1
6137,312,1023,1
6170,314,1023,1
6202,318,1023,1
6235,324,1023,1
6268,330,1023,1
6302,335,1023,1
6335,339,1023,1
6368,343,1023,1
6403,347,1023,1
6435,348,1023,1
6468,348,1023,1
6502,348,1023,1
6535,347,1023,1
6568,346,1023,1
6600,345,1023,1
6636,345,1023,1
6669,344,1023,1
6702,344,1023,1
6735,343,1023,1
6775,343,1023,1
6801,342,1023,1
6837,342,1023,1
6871,342,1023,1
6901,341,1023,1
6935,341,1023,1
6968,341,1023,1
7000,341,1023,1
7035,341,1023,1
7072,341,1023,1
7101,341,1023,1
7135,342,1023,1
7168,342,1023,1
7218,342,1023,1
7236,342,1023,1
7271,342,1023,2
7304,341,1023,2
7335,341,1023,2
7369,341,1023,2
7400,340,1023,2
7435,340,1023,2
7470,340,1023,2
7504,340,1023,2
7536,340,1023,2
7568,340,1023,2
7600,340,1023,2
7634,340,1023,2
7670,339,1023,2
7703,339,1023,2
7735,339,1023,2
7767,339,1023,2
7800,339,1023,2
7835,339,1023,2
7868,339,1023,2
7927,339,1023,2
7939,339,1023,2
7967,339,1023,2
8001,339,1023,2
8035,338,1023,2
8067,339,1023,2
8100,339,1023,2
8139,339,1023,2
8171,338,1023,2
8200,338,1023,2
8236,338,1023,2
8269,338,1023,2
8300,338,1023,2
8337,338,1023,2
8369,338,1023,2
8402,337,1023,2
8435,337,1023,2
8467,337,1023,2
8501,337,1023,2
8536,337,1023,2
8570,337,1023,2
8604,337,1023,2
8635,337,1023,2
8669,337,1023,2
8701,337,1023,2
8735,336,1023,2
8768,336,1023,2
8804,336,1023,2
8835,336,1023,2
8869,336,1023,2
8901,336,1023,2
8937,336,1023,2
8968,336,1023,2
9001,336,1023,2
9037,336,1023,2
9068,336,1023,2
9101,336,1023,2
9135,335,1023,2
9169,335,1023,2
9201,335,1023,2
9238,335,1023,2
9270,335,1023,2
9302,335,1023,2
9336,335,1023,2
9369,335,1023,2
9401,335,1023,2
9439,335,1023,2
9470,335,1023,2
9503,335,1023,2
9536,335,1023,2
9567,335,1023,2
9601,335,1023,2
9636,335,1023,2
9671,335,1023,2
9703,335,1023,2
9739,335,1023,2
9769,335,1023,2
9801,335,1023,2
9837,335,1023,2
9870,335,1023,2
9904,335,1023,2
9937,335,1023,2
9969,335,1023,2
10001,335,1023,2
10037,334,1023,2
10070,334,1023,2
10104,334,1023,2
10150,335,1023,2
10169,335,1023,2
10205,334,1023,2
10237,335,1023,2
10270,334,1023,2
10304,334,1023,2
10338,334,1023,2
10369,334,1023,2
10403,335,1023,2
10435,334,1023,2
10471,334,1023,2
10503,334,1023,2
10539,334,1023,2
10570,334,1023,2
10601,334,1023,2
10639,334,1023,2
10670,334,1023,2
10703,334,1023,2
10738,334,1023,2
10772,334,1023,2
10806,331,1023,2
10839,321,1023,2
10871,316,1023,2
10903,315,1023,2
10938,315,1023,2
10971,315,1023,2
11004,315,1023,2
11038,314,1023,2
11069,314,1023,2
11102,315,1023,2
11134,315,1023,2
