Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,1023,1023,0
34,1023,1023,0
66,1023,1023,0
100,1023,1023,0
138,1023,1023,0
167,1023,1023,0
200,1023,1023,0
234,1023,1023,0
266,1023,1023,0
317,1023,1023,0
334,1023,1023,0
369,1023,1023,0
400,1023,1023,0
435,1023,1023,0
465,1023,1023,0
499,1023,1023,0
535,1023,1023,0
567,1023,1023,0
601,1023,1023,0
636,1023,1023,0
666,1023,1023,0
700,1023,1023,0
733,1023,1023,0
770,1023,1023,0
801,1023,1023,0
835,1023,1023,0
868,1023,1023,0
899,1023,1023,0
937,1023,1023,0
967,1023,1023,0
1003,1023,1023,0
1036,1023,1023,0
1070,1023,1023,0
1102,1023,1023,0
1134,1023,1023,0
1168,1023,1023,0
1203,1023,1023,0
1238,1023,1023,0
1268,1023,1023,0
1307,1023,1023,0
1334,1023,1023,0
1368,1023,1023,0
1400,1023,1023,0
1436,1023,1023,0
1470,1023,1023,0
1501,1023,1023,0
1534,1023,1023,0
1567,1023,1023,0
1600,1023,1023,0
1636,1023,1023,0
1669,1023,1023,0
1722,1023,1023,0
1733,1023,1023,0
1769,1023,1023,0
1801,1023,1023,0
1835,1023,1023,0
1870,1023,1023,0
1901,1023,1023,0
1935,1023,1023,0
1969,1023,1023,0
2001,1023,1023,0
2035,1023,1023,0
2067,1023,1023,0
2103,1023,1023,0
2136,1023,1023,0
2169,1023,1023,0
2200,1023,1023,0
2235,1023,1023,0
2269,1023,1023,0
2302,1023,1023,0
2335,1023,1023,0
2367,1023,1023,0
2401,1023,1023,0
2434,1023,1023,0
2468,1023,1023,0
2501,1023,1023,0
2537,1023,1023,0
2567,1023,1023,0
2601,1023,1023,0
2634,1023,1023,0
2667,1023,1023,0
2700,1023,1023,0
2734,1023,1023,0
2769,1023,1023,0
2801,1023,1023,0
2834,1023,1023,0
2868,1023,1023,0
2901,1023,1023,0
2934,1023,1023,0
2969,1023,1023,0
3000,1023,1023,0
3036,1023,1023,0
3068,1023,1023,0
3100,1023,1023,0
3133,1023,1023,0
3168,1023,1023,0
3201,1023,1023,0
3234,1023,1023,0
3268,1023,1023,0
3300,1023,1023,0
3334,1023,1023,0
3366,1023,1023,0
3401,1023,1023,0
3434,1023,1023,0
3467,1023,1023,0
3499,1023,1023,0
3533,1023,1023,0
3568,1023,1023,0
3599,1023,1023,0
3636,1023,1023,0
3666,1023,1023,0
3699,1023,1023,0
3736,1023,1023,0
3768,1023,1023,0
3817,1023,1023,0
3836,1023,1023,0
3868,1023,1023,0
3900,1023,1023,0
3934,1023,1023,0
3967,1023,1023,0
4000,1023,1023,0
4035,1023,1023,0
4070,1023,1023,0
4100,1023,1023,0
4134,1023,1023,0
4166,1023,1023,0
4200,1023,1023,0
4234,1023,1023,0
4269,1023,1023,1
4301,1023,1023,1
4334,1023,1023,1
4368,1023,1023,1
4400,1023,1023,1
4433,1023,1023,1
4480,1023,1023,1
4502,1023,1023,1
4534,1023,1023,1
4567,1023,1023,1
4599,1023,1023,1
4634,1023,1023,1
4667,1023,1023,1
4701,1023,983,1
4734,1023,1023,1
4767,1023,1023,1
4800,1023,1023,1
4834,1023,1023,1
4867,1023,1023,1
4899,1023,1023,1
4936,1023,1023,1
4967,1023,1023,1
5000,1023,1023,1
5033,1023,1023,1
5067,1023,1023,1
5100,1023,1023,1
5134,1023,1023,1
5169,1023,1023,1
5200,1023,1023,1
5237,1023,1023,1
5267,1023,1023,1
5300,1023,1023,1
5334,1023,1023,1
5373,1023,1023,1
5401,1023,1023,1
5435,1023,1023,1
5467,1023,1023,1
5499,1023,1023,1
5533,1023,1023,1
5568,1023,1023,1
5600,1023,1023,1
5634,1023,1023,1
5666,1023,1023,1
5700,1023,1023,1
5733,1023,1023,1
5766,1023,1023,1
5800,1023,1023,1
5836,1023,1023,1
5868,1023,1023,1
5899,1023,1023,1
5936,1023,1023,1
5967,1023,1023,1
6000,1023,1023,1
6037,1023,1023,1
6066,1023,1023,1
6099,1023,1023,1
6135,1023,1023,1
6168,1023,1023,1
6202,1023,1023,1
6238,1023,1023,1
6269,1023,1023,1
6299,1023,1023,1
6335,1023,1023,1
6368,1023,1023,1
6399,1023,1023,1
6436,1023,1023,1
6469,1023,1023,1
6500,1023,1023,1
6536,1023,1023,1
6566,1023,1023,1
6601,1023,1023,1
6635,1023,1023,1
6670,1023,1023,1
6701,1023,1023,1
6734,1023,1023,1
6768,1023,1023,1
6800,1023,1023,1
6835,1023,1023,1
6872,1023,1023,1
6902,1023,1023,1
6937,1023,1023,1
6967,1023,1023,1
7001,1023,1023,1
7036,1023,1023,1
7068,1023,1023,1
7103,1023,1023,1
7135,1023,1023,1
7167,1023,1023,1
7203,1023,1023,1
7235,1023,1023,1
7269,1023,1023,1
7302,1023,1023,1
7338,1023,1023,1
7368,1023,1023,1
7401,1023,1023,1
7436,1023,1023,1
7469,1023,1023,1
7501,1023,1023,1
7537,1023,1023,1
7569,1023,1023,1
7603,1023,1023,1
7635,1023,1023,1
7670,1023,1023,1
7702,1023,1023,1
7736,1023,1023,1
7770,1023,1023,1
7842,1023,1023,1
7867,1023,1023,1
7902,1023,1023,1
7935,1023,1023,1
7969,1023,1023,1
8003,1023,1023,1
8037,1023,1023,1
8072,1023,1023,1
8104,1023,1023,1
8135,1023,1023,1
8169,1023,1023,1
8200,1023,1023,1
8236,1023,1023,1
8270,1023,1023,1
8303,1023,1023,1
8335,1023,1023,2
8368,1023,1023,2
8402,1023,1023,2
8436,1023,1023,2
8468,1023,1023,2
8501,1023,1023,2
8535,1023,1023,2
8600,1023,1023,2
8635,1023,1023,2
8668,1023,1023,2
8704,1023,1023,2
8735,1023,1023,2
8768,1023,1023,2
8799,1023,1023,2
8836,1023,1023,2
