Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,1020,1023,0
32,1021,1023,0
66,1019,1020,0
98,1023,1023,0
130,1023,1023,0
166,1023,1023,0
199,1023,1023,0
231,1019,1023,0
265,1021,1023,0
299,1023,1023,0
330,1023,1023,0
365,1023,1023,0
399,1023,1023,0
433,1023,1023,0
465,1023,1023,0
498,1021,1023,0
530,1023,1023,0
565,1023,1023,0
599,1023,1021,0
632,1023,1023,0
665,1020,1023,0
698,1020,1023,0
731,1023,1022,0
764,1023,1021,0
797,1023,1023,0
847,1015,1023,0
866,1023,1022,0
898,1023,1023,0
930,1023,1023,0
967,1023,1023,0
998,1023,1023,0
1030,1020,1023,0
1067,1023,1023,0
1098,1023,1023,0
1132,1019,1023,0
1163,1023,1023,0
1198,1023,1023,0
1230,1019,1022,0
1265,1023,1023,0
1299,1023,1023,0
1330,1023,1023,0
1363,1023,877,0
1397,1015,537,0
1430,1009,327,0
1463,1015,241,0
1498,1022,186,0
1530,1018,145,0
1564,1023,119,0
1598,1023,106,0
1630,1023,95,0
1663,1016,86,0
1698,1023,83,1
1730,1019,81,1
1765,1010,81,1
1798,1014,80,1
1829,1017,81,1
1863,1018,81,1
1898,1019,81,1
1930,1023,82,1
1964,1012,82,1
1997,1017,83,1
2030,1018,82,1
2062,1011,84,1
2097,1019,85,1
2131,1010,85,1
2165,1019,87,1
2198,1020,88,1
2230,1019,86,1
2263,1023,89,1
2296,1017,90,1
2330,1017,89,1
2364,1018,89,1
2397,1011,89,1
2431,1018,88,1
2463,1016,90,1
2497,1019,92,1
2530,1023,90,1
2563,1023,96,1
2599,1023,99,1
2630,1022,109,1
2663,1016,200,1
2698,1017,721,1
2730,1023,1023,1
2764,1017,1022,1
2798,1018,1023,1
2831,1021,1023,1
2864,1023,1023,1
2898,1023,1023,1
2930,1020,1022,1
2963,1021,1023,1
3000,1020,1023,1
3031,1023,1023,1
3063,1023,1023,1
3098,1023,1022,1
3131,1021,1023,1
3163,1019,1023,1
3198,1023,1023,1
3230,1023,1023,1
3264,1023,1023,1
3298,1018,1023,1
3330,1023,1023,1
3363,1023,1023,1
3397,1023,1023,1
3430,1023,1023,1
3464,1020,1023,2
3499,1022,1023,2
3530,1016,1023,2
3563,1023,1023,2
3598,1023,1023,2
3630,1023,1023,2
3664,1023,1020,2
3699,1018,1023,2
3729,1023,1023,2
3763,1023,1023,2
3798,1023,1023,2
3830,1023,1022,2
3863,1020,1023,2
3899,1021,1023,2
3929,1022,1023,2
3962,1023,1022,2
3996,1020,1023,2
4029,1023,1023,2
4063,1020,1023,2
4102,1023,1023,2
4132,1023,1023,2
4164,1023,1023,2
4196,1023,1023,2
4230,1015,1021,2
4263,1021,1021,2
4297,1020,1023,2
4333,1023,1023,2
4364,1023,1023,2
4397,1020,1023,2
4429,1020,1023,2
4464,1020,1023,2
4497,1023,1023,2
4532,1023,1023,2
4565,1021,1023,2
4599,1021,1022,2
4630,1023,1023,2
4663,1023,1023,2
4697,1023,1023,2
4733,1023,1023,2
4766,1018,1021,2
4799,1017,1020,2
4830,1023,1023,2
4865,1023,1022,2
4898,1023,1023,2
4931,1017,1022,2
4965,1022,1023,2
5001,1023,1023,2
5031,1023,1023,2
5064,1023,1023,2
5127,1019,1022,2
5157,1023,1023,2
5171,1023,1023,2
5200,1023,1023,2
5232,1023,1023,2
5264,1021,1022,2
5299,1023,1023,2
5331,1023,1019,2
5365,1023,1021,2
5399,1021,1021,2
5434,1021,1023,2
5463,1023,1023,2
5500,1023,1023,2
