Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,306,1021,0
33,307,1023,0
68,305,1023,0
102,302,1022,0
133,305,1022,0
167,305,1023,0
201,305,1023,0
233,298,1022,0
267,304,1023,0
301,302,1023,0
336,299,1023,0
367,305,1023,0
400,300,1023,0
434,300,1022,0
468,301,1023,0
502,304,1023,0
533,304,1023,0
566,308,1023,0
614,301,1023,0
633,302,1023,0
668,302,1023,0
702,306,1023,0
737,304,1023,0
771,304,1023,0
800,301,1021,0
832,302,1023,0
867,304,1023,0
901,303,1021,0
935,303,1023,0
969,302,1021,0
1001,300,1023,0
1034,305,1023,0
1067,306,1023,0
1101,304,1023,0
1134,302,1022,0
1168,303,1022,0
1201,301,1023,0
1234,304,1023,0
1268,304,1021,0
1301,301,1022,0
1334,303,1023,0
1368,309,1023,0
1402,303,1018,0
1436,310,1023,0
1471,303,1023,0
1503,304,1023,0
1533,305,1023,0
1568,306,1020,0
1602,302,1023,0
1635,303,1021,0
1668,304,1023,0
1701,305,1023,0
1734,306,1023,0
1768,302,1023,0
1801,302,1021,0
1836,300,1023,0
1869,306,1023,0
1901,303,1023,0
1934,301,1020,0
1968,303,1023,0
2000,304,1023,0
2035,307,1023,0
2070,312,1023,0
2101,301,1020,0
2133,301,1022,0
2166,301,1023,0
2201,305,1023,0
2232,304,1023,0
2269,307,1023,0
2302,301,1023,0
2334,302,1022,0
2368,304,1023,0
2400,307,1023,0
2434,303,1023,0
2469,302,1022,0
2502,300,1023,0
2535,303,1023,0
2568,305,1023,0
2601,303,1023,0
2635,302,1022,0
2668,301,1020,0
2702,304,1023,1
2734,304,1023,1
2768,304,1022,1
2800,303,1023,1
2834,302,1022,1
2868,299,1023,1
2903,304,1023,1
2935,302,1023,1
2970,301,1021,1
3001,302,1023,1
3034,304,1023,1
3068,308,1023,1
3102,303,1022,1
3134,302,1023,1
3168,301,1023,1
3201,306,1022,1
3234,308,1023,1
3268,301,1023,1
3300,302,1023,1
3336,306,1020,1
3369,309,1023,1
3402,303,1023,1
3435,304,1018,1
3468,304,1023,1
3500,303,1023,1
3534,306,1023,1
3571,307,1023,1
3600,300,1022,1
3635,305,1023,1
3667,302,1023,1
3700,302,1023,1
3734,313,1023,1
3768,306,1023,1
3802,308,1023,1
3836,307,1023,1
3869,304,1022,1
3900,303,1022,1
3935,304,1023,1
3967,306,1023,1
4000,307,1019,1
4033,305,1023,1
4067,304,1023,1
4100,310,1023,1
4134,305,1018,1
4169,302,1023,1
4200,304,1023,1
4233,305,1023,1
4270,302,1020,1
4300,303,1021,1
4334,304,1023,1
4368,305,1023,1
4400,305,1022,1
4435,301,1023,1
4470,301,1021,1
4500,299,1023,1
4534,307,1018,1
4568,306,1022,1
4600,301,1023,1
4633,301,1023,1
4669,303,1023,1
4699,301,1023,1
4733,298,1023,1
4766,299,1023,1
4799,302,1023,1
4833,302,1023,1
4869,300,1023,1
4900,297,1022,1
4936,296,1021,1
4968,297,1023,1
4999,299,1023,1
5033,302,1022,1
5068,296,1021,1
5102,296,1022,1
5135,297,1023,1
5170,296,1023,1
5198,299,1023,1
5234,299,1023,1
5268,301,1023,1
5301,300,1023,1
5334,295,1022,1
5367,296,1023,1
5399,297,1023,1
5434,302,1023,1
5467,303,1023,1
5500,295,1022,1
5537,301,1023,1
5568,301,1023,1
5599,298,1022,1
5634,288,1023,1
5667,297,1023,1
5700,298,1023,1
5735,301,1023,1
5769,296,1022,1
5800,296,1020,1
5833,299,1023,2
5912,306,1023,2
5932,304,1023,2
5968,306,1023,2
6000,303,1023,2
6036,303,1023,2
6066,303,1023,2
6102,305,1023,2
6133,304,1022,2
6167,303,1023,2
6202,305,1023,2
6234,313,1022,2
6269,322,1022,2
6301,336,1023,2
6335,352,1023,2
6367,356,1023,2
6402,370,1022,2
6434,399,1023,2
6467,424,1023,2
6501,433,1023,2
6543,447,1023,2
6566,457,1023,2
6600,458,1023,2
6635,457,1023,2
6669,454,1022,2
6701,455,1023,2
6732,455,1022,2
6769,455,1023,2
6798,451,1023,2
6835,452,1015,2
6869,455,1023,2
6899,455,1023,2
6934,452,1023,2
6966,449,1020,2
7000,451,1021,2
7034,451,1023,2
7068,454,1023,2
7100,446,1020,2
7132,447,1023,2
7167,448,1023,2
7199,450,1023,2
7235,447,1021,2
7267,442,1019,2
7303,444,1023,2
7333,438,1023,2
7366,444,1021,2
7399,439,1023,2
7433,442,1023,2
7485,442,1023,2
7501,444,1023,2
7536,438,1020,2
7567,439,1018,2
7599,442,1023,2
7633,441,1023,2
7666,435,1021,2
7700,434,1017,2
7735,435,1023,2
7767,421,1023,2
7799,393,1023,2
7833,366,1023,2
7868,356,1023,2
7900,338,1023,2
7934,329,1023,2
7967,332,1023,2
7999,326,1023,2
8033,329,1023,2
8067,319,1022,2
8099,317,1022,2
8135,318,1019,2
8169,318,1023,2
8200,322,1022,2
8233,324,1022,2
8268,324,1023,2
8300,329,1023,2
8332,330,1023,2
8368,333,1023,2
8401,334,1023,2
8434,327,1023,2
8466,333,1023,2
8499,335,1023,2
8534,333,1023,2
8567,331,1022,2
8600,334,1023,2
8634,334,1023,2
8666,329,1023,2
8699,332,1020,2
8734,333,1023,2
8766,332,1022,2
8802,336,1023,2
8834,329,1023,2
8866,330,1023,2
8900,332,1023,2
8934,331,1023,2
8966,331,1021,2
9002,332,1023,2
