Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,316,1023,0
32,315,1023,0
66,314,1023,0
97,314,1023,0
130,313,1023,0
163,313,1023,0
200,313,1023,0
233,312,1023,0
265,312,1023,0
298,313,1023,0
331,313,1023,0
363,312,1023,0
398,312,1023,0
433,312,1023,0
473,312,1023,0
499,312,1023,0
531,312,1023,0
563,312,1023,0
598,311,1023,0
631,311,1023,0
668,312,1023,0
699,312,1023,0
730,312,1023,0
763,312,1023,0
798,311,1023,0
830,312,1023,0
864,312,1023,0
900,313,1023,0
931,312,1022,0
963,312,1023,0
1011,312,1023,0
1031,312,1023,0
1067,312,1023,0
1102,311,1023,0
1132,312,1023,0
1164,311,1023,0
1197,311,1023,0
1230,311,1023,0
1265,311,1023,0
1298,311,1023,0
1333,312,1023,0
1363,312,1023,0
1397,310,1023,0
1455,310,1023,0
1465,311,1023,0
1496,311,1023,0
1532,311,1023,0
1562,311,1023,0
1597,310,1023,0
1631,310,1023,0
1667,310,1022,0
1698,311,1023,0
1732,310,1023,0
1765,310,1023,0
1796,310,1023,0
1830,310,1023,0
1864,310,1023,0
1896,310,1023,0
1929,309,1023,0
1965,309,1023,0
2001,310,1023,0
2029,309,1023,0
2076,309,1023,0
2098,309,1023,1
2129,308,1023,1
2165,309,1023,1
2201,309,1023,1
2231,307,1023,1
2263,308,1023,1
2296,308,1022,1
2331,308,1023,1
2362,308,1023,1
2402,308,1023,1
2431,307,1023,1
2462,308,1023,1
2507,308,1023,1
2530,307,1023,1
2562,308,1023,1
2600,308,1023,1
2632,307,1023,1
2662,307,1023,1
2700,307,1023,1
2730,307,1023,1
2762,307,1023,1
2797,307,1023,1
2833,308,1023,1
2862,308,1023,1
2896,307,1023,1
2928,307,1023,1
2963,307,1023,1
2996,309,1023,1
3031,307,1023,1
3076,307,1023,1
3103,308,1023,1
3133,308,1023,1
3162,308,1023,1
3197,307,1023,1
3230,307,1023,1
3267,307,1023,1
3301,308,1023,1
3331,307,1023,1
3362,307,1023,1
3401,307,1023,1
3430,307,1023,1
3464,307,1023,1
3506,307,1023,1
3536,307,1023,1
3566,308,1023,1
3601,307,1023,1
3631,308,1023,1
3669,307,1023,1
3704,307,1023,1
3739,307,1023,1
3769,307,1023,1
3800,307,1023,1
3831,307,1023,1
3862,307,1023,1
3899,306,1023,1
3932,306,1023,1
3966,306,1023,1
3999,306,1023,1
4029,306,1023,1
4064,305,1023,1
4118,306,1023,1
4131,305,1023,1
4168,305,1023,1
4282,306,1023,1
4298,306,1023,1
4331,306,1023,1
4362,305,1023,1
4402,306,1023,1
4435,306,1023,1
4467,307,1023,1
4501,307,1023,1
4532,308,1023,1
4562,308,1023,1
4600,309,1023,1
4634,310,1023,1
4664,311,1023,1
4699,311,1023,1
4731,312,1023,1
4762,312,1023,1
4806,313,1023,1
4832,314,1023,1
4869,316,1023,1
4900,319,1023,1
4932,319,1023,1
4965,322,1023,2
4998,322,1023,2
5033,322,1023,2
5066,322,1023,2
5101,322,1023,2
5132,321,1023,2
5164,322,1023,2
5198,321,1023,2
5232,321,1023,2
5266,321,1023,2
5303,320,1023,2
5331,321,1023,2
5362,320,1023,2
5398,319,1023,2
5431,320,1023,2
5466,319,1023,2
5504,319,1023,2
5535,319,1023,2
5562,319,1023,2
5599,318,1023,2
5631,317,1023,2
5662,317,1023,2
5701,316,1023,2
5736,316,1023,2
5765,317,1023,2
5799,318,1023,2
5830,317,1023,2
5863,317,1023,2
5897,316,1023,2
5932,316,1023,2
5966,316,1023,2
5998,315,1022,2
6032,315,1023,2
6066,315,1023,2
6099,315,1023,2
6129,314,1023,2
6170,315,1023,2
6199,315,1023,2
6233,314,1021,2
6263,315,1023,2
6298,314,1023,2
6329,314,1023,2
6364,314,1023,2
6403,314,1023,2
6437,315,1023,2
6471,315,1023,2
6499,315,1023,2
6531,314,1022,2
6563,315,1023,2
6610,314,1023,2
6630,315,1023,2
6682,315,1023,2
6698,314,1023,2
6729,316,1023,2
6773,314,1023,2
6798,314,1023,2
6835,315,1023,2
6864,315,1023,2
6898,316,1023,2
6929,314,1022,2
6963,315,1023,2
7031,315,1023,2
7074,314,1023,2
7099,314,1023,2
7129,315,1023,2
7161,316,1023,2
7196,315,1023,2
7232,314,1023,2
7262,316,1023,2
7302,316,1023,2
7333,319,1023,2
7363,321,1023,2
7397,322,1023,2
7435,324,1023,2
7468,326,1023,2
