Time_Stamp,FlexFinger,ForcePalm,Trimming_Id
0,1019,594,0
31,1019,356,0
65,1012,244,0
108,1020,206,0
131,1021,193,0
165,1018,183,0
200,1017,180,0
232,1022,184,0
265,1023,253,0
301,1022,570,0
333,1023,1019,0
364,1021,1023,0
398,1023,1023,0
431,1023,1022,0
464,1021,1023,0
498,1021,1023,0
531,1023,1023,0
564,1023,1023,0
597,1023,1023,0
632,1020,1022,0
663,1023,1023,0
698,1023,1023,0
734,1023,1023,0
764,1021,1023,0
797,1021,1023,0
831,1023,1023,0
863,1023,1023,0
902,1022,1023,0
932,1022,1021,0
964,1023,1023,0
998,1023,1023,0
1031,1023,1023,0
1063,1023,1020,0
1098,1023,1023,0
1130,1023,1022,0
1166,1018,1022,0
1198,1021,1023,0
1231,1023,1023,0
1264,1023,1023,0
1297,1022,1023,0
1331,1023,1023,0
1400,1023,1023,0
1431,1023,1023,0
1463,1021,1021,0
1498,1023,1023,0
1532,1023,1023,0
1563,1023,1023,0
1601,1023,1023,0
1632,1020,1023,0
1664,1023,1022,0
1698,1023,1023,0
1732,1021,1023,0
1762,1023,1023,0
1799,1023,1023,0
1832,1023,1023,0
1863,1021,1023,0
1898,1022,1023,0
1930,1023,1023,0
1963,1023,1023,0
1997,1022,1023,0
2032,1023,1020,0
2066,1023,1023,0
2098,1021,1023,0
2131,1019,1023,0
2163,1022,1023,0
2198,1023,1023,0
2232,1023,1023,0
2265,1023,1023,0
2298,1022,1023,0
2331,1023,1023,0
2363,1023,1023,0
2398,1023,1023,0
2430,1023,1023,0
2467,1023,1023,0
2499,329,1023,0
2531,329,1023,0
2563,328,1023,0
2599,331,1023,0
2631,332,1023,0
2664,332,1023,0
2701,335,1023,0
2732,335,1022,0
2763,337,1023,0
2797,337,1023,1
2865,334,1023,1
2899,335,1023,1
2931,334,1023,1
2963,333,1023,1
2997,335,1023,1
3034,342,1023,1
3063,350,1023,1
3099,360,1023,1
3132,363,1023,1
3164,361,1023,1
3196,361,1023,1
3231,356,1023,1
3263,353,1023,1
3297,352,1023,1
3333,351,1023,1
3364,350,1023,1
3400,350,1023,1
3431,350,1023,1
3463,348,1023,1
3496,351,1023,1
3531,348,1023,1
3564,349,1022,1
3599,351,1023,1
3632,349,1023,1
3664,353,1023,1
3697,350,1023,1
3731,353,1023,1
3765,356,1023,1
3797,358,1023,1
3833,357,1023,1
3863,359,1023,1
3897,360,1023,1
3931,361,1023,1
3964,360,1023,1
3999,360,1023,1
4032,360,1023,1
4063,360,1023,1
4097,360,1023,1
4131,362,1023,1
4163,359,1023,1
4200,359,1023,1
4233,358,1023,1
4264,359,1023,1
4297,356,1023,1
4330,356,1022,1
4363,355,1023,1
4397,353,1023,1
4431,355,1023,1
4464,356,1023,1
4497,352,1023,1
4530,352,1023,1
4563,352,1019,1
4598,350,1023,1
4632,354,1023,1
4665,353,1019,1
4696,353,1023,1
4730,352,1022,1
4763,351,1023,1
4797,351,1023,1
4830,343,1023,1
4865,332,1023,1
4900,327,1023,1
4930,324,1021,1
4962,325,1023,1
4998,326,1021,1
5031,326,1023,1
5065,328,1022,1
5101,334,1023,1
5130,336,1021,1
5164,336,1023,1
5199,335,1023,1
5231,337,1023,1
5264,339,1023,1
5300,338,1023,1
5331,336,1023,1
5362,336,1023,1
5398,336,1023,1
5430,336,1023,1
5462,338,1023,1
5499,337,1023,1
5534,338,1023,1
5618,336,1023,1
5631,337,1021,1
5664,338,1022,1
5698,338,1023,1
5733,337,1023,1
5765,337,1023,1
5799,336,1022,1
5830,336,1023,1
5864,335,1023,1
5899,336,1023,1
5933,346,1023,1
5966,1021,1023,1
5998,387,1023,1
6030,416,1022,1
6064,1020,1023,1
6097,1023,1023,1
6130,1023,1023,1
6169,1023,1022,1
6200,1020,1021,1
6231,1022,1023,1
6263,1023,1023,1
6304,1023,1023,1
6329,1023,1023,1
6367,1020,1021,1
6397,1020,1023,1
6431,1023,1019,1
6464,1022,1022,1
6497,1022,1023,1
6531,1023,1023,1
6565,1023,1023,2
6600,1021,1022,2
6631,1021,1021,2
6665,1023,1023,2
6698,1023,1023,2
6731,1023,1023,2
6813,1023,1023,2
6831,1022,1023,2
6865,1022,1023,2
6898,1022,1023,2
6931,1023,1023,2
6964,1023,1023,2
6998,1023,1023,2
7033,1022,1023,2
7065,1023,1023,2
7097,1023,1023,2
