Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
0,0.04336719;-0.3774891;1.312801,0.008871094;-0.3567758;1.346145,-0.02239222;-0.2391514;1.50994,0.04432436;-0.02982386;1.556519,0.2132281;0.01720388;1.543482,0.2005301;-0.4424145;1.474655,0
33,0.04312562;-0.3741911;1.312441,0.008938573;-0.3565514;1.346017,-0.02229604;-0.2391294;1.509386,0.04632267;-0.02623046;1.55633,0.2132457;0.01724088;1.543308,0.2002769;-0.4421419;1.474338,0
71,0.04341679;-0.3772562;1.312464,0.009046828;-0.3566279;1.345923,-0.02232767;-0.2387633;1.509405,0.04735552;-0.02441933;1.556728,0.213292;0.01726679;1.543322,0.2001489;-0.4420211;1.474476,0
98,0.04332065;-0.3761318;1.311791,0.009156016;-0.3567295;1.345645,-0.02242016;-0.2381593;1.509088,0.04799497;-0.02320132;1.556905,0.2133348;0.01727381;1.543327,0.2000702;-0.4419037;1.474733,0
131,0.04237917;-0.3717315;1.308421,0.00948443;-0.3562925;1.344236,-0.02266997;-0.2370569;1.506375,0.04854364;-0.02161932;1.556251,0.2134136;0.01731448;1.543261,0.2000623;-0.4418199;1.474755,0
165,0.04728357;-0.3849815;1.27313,0.009842624;-0.3540499;1.34342,-0.02270391;-0.234232;1.501075,0.0490136;-0.02062529;1.555565,0.2134747;0.01732672;1.543221,0.2001883;-0.4416798;1.474735,0
204,0.05313556;-0.3751945;1.283686,0.01224106;-0.3469432;1.344193,-0.02164132;-0.2283794;1.493803,0.04945601;-0.01931312;1.555206,0.2135415;0.01735608;1.543227,0.2005017;-0.4414303;1.474939,0
232,0.09508563;-0.3764946;1.245013,0.0502206;-0.3300919;1.296559,-0.01811765;-0.2319423;1.479329,0.04969527;-0.01826142;1.554868,0.213551;0.01735883;1.543239,0.2012642;-0.4413691;1.474831,0
268,0.1152422;-0.3599763;1.224518,0.05670382;-0.3242591;1.286592,-0.006975629;-0.2418935;1.450105,0.04992042;-0.01751328;1.554073,0.2135965;0.01737907;1.543206,0.2034359;-0.4408156;1.47412,0
299,0.1283724;-0.3277886;1.22957,0.06860206;-0.3078187;1.277632,-0.002698068;-0.2428002;1.446034,0.05023852;-0.01707162;1.553503,0.2136742;0.01741974;1.543358,0.2056657;-0.4404707;1.475157,0
331,0.1495339;-0.3183129;1.210941,0.08898911;-0.2903125;1.271061,0.01745687;-0.1953173;1.423757,0.05075995;-0.01661533;1.551637,0.2137177;0.01743894;1.543351,0.2074838;-0.4407867;1.475716,0
365,0.1732537;-0.3110566;1.203333,0.1164165;-0.2757825;1.264679,0.02947226;-0.1893104;1.41432,0.0510955;-0.01642742;1.549222,0.2138131;0.01745978;1.543306,0.2105267;-0.4414225;1.475673,0
397,0.186515;-0.3045051;1.209411,0.1227434;-0.2760258;1.262307,0.03762909;-0.1812594;1.40769,0.05066975;-0.01912487;1.540892,0.2138778;0.0175105;1.543289,0.2155566;-0.4416771;1.478001,0
431,0.2043757;-0.3046487;1.212203,0.1384707;-0.2714247;1.259094,0.04939947;-0.1764308;1.401788,0.05030087;-0.01985012;1.53764,0.213923;0.01752144;1.543268,0.2172076;-0.4416394;1.479291,0
466,0.2238957;-0.3052312;1.202026,0.161529;-0.2596683;1.249652,0.06807453;-0.1667267;1.390803,0.05021062;-0.02007787;1.533872,0.2139806;0.01756664;1.542632,0.2176779;-0.4412292;1.479628,0
498,0.2339661;-0.2983298;1.211876,0.1827254;-0.2544559;1.259927,0.0814896;-0.1583393;1.392871,0.05024082;-0.01993778;1.53313,0.2140171;0.01757694;1.542584,0.2186958;-0.4407105;1.481011,0
532,0.2414472;-0.2959286;1.217261,0.1943821;-0.2507429;1.262998,0.08850093;-0.1530921;1.39078,0.05029665;-0.01962144;1.531408,0.2141761;0.0175494;1.542062,0.2191801;-0.4403184;1.481519,0
564,0.2476807;-0.2972608;1.228651,0.2006458;-0.2522279;1.264459,0.09558941;-0.1520806;1.390855,0.05065683;-0.01935001;1.530072,0.2143486;0.01754815;1.541833,0.2196959;-0.4399322;1.482997,0
597,0.2538099;-0.3027602;1.23358,0.2091873;-0.2591149;1.262979,0.1100512;-0.1523807;1.388636,0.05120609;-0.0190613;1.528329,0.2147063;0.01749313;1.541293,0.2200434;-0.4398624;1.483553,0
630,-0.0142816;-0.4108252;1.305556,-0.01350685;-0.3645892;1.330393,0.1108453;-0.1498574;1.38955,0.05167377;-0.0189107;1.526715,0.215093;0.01728168;1.540459,0.2204625;-0.4398375;1.48385,0
666,-0.0166602;-0.414596;1.295411,-0.01194861;-0.3727369;1.326626,0.1332326;-0.1691333;1.375404,0.05213841;-0.01876549;1.525152,0.2155324;0.01692452;1.539343,0.2206614;-0.4398948;1.483975,0
699,-0.01610636;-0.4151066;1.287408,-0.01116076;-0.3715438;1.317269,0.1340404;-0.1696894;1.374418,0.05282851;-0.01863358;1.522851,0.2161214;0.01655636;1.538097,0.2209001;-0.4399673;1.484004,0
733,-0.01004508;-0.4110289;1.302636,-0.01023269;-0.361895;1.320937,0.1203989;-0.1520083;1.384904,0.05462959;-0.01931614;1.514824,0.21653;0.01634903;1.537713,0.2213064;-0.4401059;1.484486,0
764,-0.01080344;-0.4103306;1.302912,-0.01016686;-0.3635961;1.325634,0.122198;-0.1534639;1.384118,0.05546581;-0.01941019;1.511955,0.2169546;0.01626049;1.537332,0.2217099;-0.4401829;1.484908,0
797,-0.0100326;-0.4120325;1.306161,-0.009713809;-0.3638009;1.326645,0.1241831;-0.1547119;1.385475,0.05596388;-0.01944312;1.511021,0.2174408;0.01623116;1.537248,0.2222455;-0.4401097;1.485614,0
833,-0.01070002;-0.4129166;1.303909,-0.009248353;-0.3633223;1.322814,0.1245448;-0.15509;1.385493,0.05636971;-0.01926446;1.510407,0.217774;0.01618959;1.537182,0.2225562;-0.4401;1.486054,0
868,-0.02166299;-0.420844;1.27776,-0.009443549;-0.3634637;1.320519,0.1245044;-0.1554571;1.383724,0.0569108;-0.01892537;1.508913,0.2186105;0.01237304;1.532363,0.2227072;-0.4404618;1.485918,0
898,-0.01040443;-0.41273;1.300057,-0.009884848;-0.3635575;1.318978,0.1247594;-0.1562483;1.383169,0.05711447;-0.01879427;1.508553,0.2188755;0.01148987;1.532119,0.22281;-0.4406629;1.48601,0
931,-0.008995556;-0.4109609;1.301029,-0.01073251;-0.3651878;1.321867,0.1242777;-0.1573439;1.382946,0.0573;-0.01874899;1.508113,0.219183;0.01194741;1.53248,0.2228443;-0.4406479;1.486076,0
968,-0.01238938;-0.4104458;1.29643,-0.01237392;-0.3659542;1.321344,0.1198787;-0.1560315;1.380994,0.05749799;-0.0186193;1.507357,0.2193555;0.01222034;1.532552,0.2228461;-0.4406402;1.486075,0
