Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
0,-0.1108283;-0.08684786;1.462613,0.04966792;-0.1252347;1.425295,-0.05936781;-0.3198859;1.27738,-0.1957704;-0.4412001;1.16773,-0.2281983;-0.493417;1.145396,-0.09167851;-0.5258399;1.392522,0
31,-0.1109506;-0.08685321;1.462784,0.04959767;-0.125187;1.425378,-0.05882231;-0.3198598;1.278609,-0.1546778;-0.4755513;1.170071,-0.201855;-0.5176714;1.140653,-0.09173259;-0.5259086;1.392754,0
65,-0.1110363;-0.08683514;1.462766,0.04956575;-0.1251473;1.425368,-0.05884841;-0.3198393;1.278656,-0.1544737;-0.4753872;1.169695,-0.2018638;-0.5167634;1.138331,-0.09176321;-0.5259006;1.392762,0
101,-0.1111609;-0.08683196;1.462613,0.0494694;-0.125034;1.425224,-0.05889232;-0.3198268;1.278595,-0.1553742;-0.4735758;1.16769,-0.2011465;-0.5151252;1.137204,-0.09178375;-0.5259049;1.392649,0
134,-0.1115355;-0.08676019;1.462146,0.04940358;-0.125144;1.424872,-0.05893401;-0.3197547;1.27819,-0.1962361;-0.4388563;1.167189,-0.2284905;-0.4907808;1.144266,-0.09178073;-0.5259243;1.392245,0
165,-0.1117203;-0.08676517;1.462149,0.04921129;-0.125075;1.424752,-0.05892761;-0.3197492;1.278164,-0.1962475;-0.4388787;1.167244,-0.2284657;-0.49266;1.144815,-0.09179492;-0.5259201;1.392236,0
200,-0.1118917;-0.08673651;1.462098,0.04897854;-0.1249898;1.424542,-0.05892099;-0.3197426;1.278162,-0.1962565;-0.4390495;1.167498,-0.2283518;-0.4926855;1.145541,-0.09180837;-0.5259138;1.392221,0
232,-0.1119431;-0.08674153;1.462102,0.04880435;-0.1248712;1.424365,-0.05892601;-0.3197312;1.278136,-0.1541397;-0.4717329;1.163559,-0.2012035;-0.5154473;1.137858,-0.09182039;-0.5259078;1.392217,0
265,-0.112099;-0.08669338;1.462116,0.04870751;-0.1247536;1.424404,-0.05871684;-0.3192787;1.278444,-0.1538144;-0.4714013;1.163955,-0.200964;-0.5159053;1.139294,-0.09186752;-0.5258957;1.392245,0
299,-0.1123065;-0.08666193;1.462197,0.04854353;-0.1246156;1.424384,-0.05868923;-0.319188;1.278595,-0.1536967;-0.4713999;1.164179,-0.2028454;-0.5080581;1.143435,-0.09194644;-0.5258998;1.39234,0
333,-0.1124413;-0.08666181;1.462198,0.04842303;-0.1244951;1.424307,-0.05869843;-0.319181;1.278602,-0.1537482;-0.4713559;1.164171,-0.2009159;-0.5154646;1.13866,-0.09195361;-0.5259061;1.392335,0
365,-0.1125197;-0.08665039;1.462309,0.04828759;-0.1243736;1.424419,-0.05857112;-0.3188087;1.278945,-0.1533355;-0.4712053;1.164575,-0.2009825;-0.516144;1.140593,-0.09204502;-0.5259116;1.392516,0
400,-0.1125765;-0.08665682;1.462268,0.04810638;-0.1242384;1.424249,-0.0585084;-0.3184724;1.279035,-0.1531746;-0.4709252;1.164655,-0.2025256;-0.507233;1.141829,-0.09207656;-0.5258824;1.392444,0
431,-0.1127288;-0.08663272;1.4618,0.04779591;-0.1239252;1.42363,-0.05840851;-0.3179996;1.278725,-0.1533568;-0.4704144;1.164536,-0.2019487;-0.5054731;1.140775,-0.09212956;-0.5257753;1.392149,0
464,-0.1128558;-0.08655874;1.46196,0.04772931;-0.1237916;1.423714,-0.05841021;-0.3179193;1.278847,-0.2082463;-0.4351938;1.184822,-0.2391305;-0.4824788;1.16111,-0.0922375;-0.5256761;1.392307,0
500,-0.1128846;-0.08654375;1.461969,0.04765955;-0.1237264;1.423687,-0.05844453;-0.3177166;1.278798,-0.1664051;-0.4546344;1.156007,-0.2113829;-0.5057663;1.13991,-0.09228937;-0.5256255;1.392331,0
533,-0.1129183;-0.08648416;1.462072,0.04762699;-0.1236675;1.423702,-0.02545897;-0.2899951;1.304379,-0.1447606;-0.4187105;1.182815,-0.2027198;-0.4572272;1.158317,-0.09230738;-0.5255952;1.392349,0
565,-0.1129786;-0.08641821;1.462114,0.0474884;-0.1236192;1.423533,-0.02558012;-0.2899857;1.304258,-0.1448311;-0.4182801;1.18216,-0.2028163;-0.4547489;1.157402,-0.09247207;-0.5254592;1.392298,0
601,-0.1130186;-0.08636341;1.462038,0.0472135;-0.1235571;1.423092,-0.02637148;-0.2899904;1.303241,-0.1454761;-0.4177049;1.180338,-0.2030263;-0.4506417;1.152793,-0.0925985;-0.5253096;1.392237,0
